N	2gram	Bakhtin_Pr_5	EvropaiE
1	и в	35	37
2	в отношении	9	32
3	в пределах	11	25
4	точки зрения	7	23
5	что в	6	21
6	не только	10	18
7	с точки	2	17
8	в то	11	16
9	хотя бы	2	15
10	то же	15	15
11	отношении к	7	15
12	в своем	2	14
13	же время	10	14
14	но и	14	14
15	и не	27	14
16	но в	19	14
17	в этом	14	12
18	в том	5	11
19	так и	8	10
20	прежде всего	12	9
21	не может	18	9
22	в себе	5	9
23	только в	6	9
24	так же	7	9
25	к тому	6	8
26	в ее	3	8
27	было бы	3	8
28	в своей	4	8
29	между тем	4	8
30	как и	18	7
31	по своему	4	7
32	того что	3	7
33	с другой	4	7
34	так как	4	7
35	с этой	2	6
36	вовсе не	7	6
37	том что	3	6
38	может быть	14	6
39	как бы	31	6
40	то что	10	6
41	во всех	3	6
42	и даже	5	6
43	и на	6	6
44	то есть	16	6
45	столь же	2	5
46	не в	10	5
47	но не	6	5
48	одной из	2	5
49	как мы	8	5
50	в той	4	5
51	и по	2	5
52	в виде	7	5
53	ни было	3	4
54	то ни	3	4
55	вопрос о	2	4
56	или иной	4	4
57	бы то	3	4
58	в самом	6	4
59	то в	2	4
60	в ней	2	4
61	к ней	2	4
62	той или	4	4
63	даже в	5	4
64	по себе	4	4
65	сказать что	3	4
66	и к	12	3
67	но на	4	3
68	с тем	3	3
69	уже и	2	3
70	никогда не	4	3
71	и со	3	3
72	в них	4	3
73	вообще не	2	3
74	и от	3	3
75	с другом	4	3
76	этом смысле	3	3
77	в общем	3	3
78	мы видели	2	3
79	ли это	2	3
80	мы можем	2	3
81	друг с	4	3
82	из них	3	3
83	всяком случае	4	3
84	что и	3	3
85	говорит о	2	3
86	когда он	3	3
87	бы и	2	3
88	как в	5	3
89	она в	2	3
90	и для	8	3
91	и прежде	4	3
92	можно было	2	3
93	в которых	2	3
94	потому что	8	3
95	во всяком	4	3
96	тем что	4	3
97	ни на	2	3
98	о том	2	3
99	там где	7	3
100	большинстве случаев	2	3
101	что все	2	2
102	он сам	6	2
103	а не	4	2
104	в этих	2	2
105	и во	3	2
106	с этим	3	2
107	в большинстве	2	2
108	и все	15	2
109	в одном	6	2
110	к нему	13	2
111	именно потому	2	2
112	одна и	2	2
113	что на	2	2
114	и того	2	2
115	и как	2	2
116	в сторону	2	2
117	такой же	3	2
118	но как	4	2
119	но именно	2	2
120	что это	4	2
121	кажется что	2	2
122	дело идет	3	2
123	он не	13	2
124	в его	21	2
125	мог бы	2	2
126	и этот	2	2
127	в котором	3	2
128	и отчасти	2	2
129	в мире	4	2
130	вместе с	2	2
131	что же	7	2
132	а в	7	2
133	таким образом	7	2
134	на них	7	2
135	и что	6	2
136	и наконец	7	2
137	на этот	2	2
138	другой стороны	3	2
139	и тут	2	2
140	этот процесс	2	2
141	тому чтобы	2	2
142	с другими	2	2
143	или в	2	2
144	и та	2	2
145	и с	12	2
146	хотя и	2	2
147	ведь и	4	2
148	и то	5	2
149	по своей	2	2
150	как будто	4	2
151	мы должны	3	2
152	бы в	4	2
153	можем сказать	2	2
154	в эту	4	2
