N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	49
2	то есть	3	32
3	прежде всего	10	19
4	в его	9	18
5	не только	29	17
6	и его	9	17
7	и на	6	17
8	и не	11	15
9	в этом	20	15
10	в них	4	13
11	только в	6	13
12	но и	25	13
13	как и	5	11
14	как бы	2	11
15	в этой	6	10
16	все это	6	9
17	для него	11	9
18	в нем	13	9
19	отношение к	4	8
20	все же	2	7
21	один из	4	7
22	жизни и	2	7
23	не может	28	7
24	все эти	2	7
25	о мире	2	7
26	на протяжении	2	7
27	то что	5	6
28	в истории	2	6
29	с их	2	6
30	сказать что	2	6
31	и с	3	6
32	но он	9	6
33	точки зрения	4	6
34	в то	2	6
35	так как	3	6
36	в творчестве	10	6
37	с его	3	5
38	никогда не	14	5
39	в своем	10	5
40	уже в	4	5
41	в начале	2	5
42	но не	8	5
43	может быть	30	5
44	и потому	10	5
45	относится к	2	5
46	в своей	15	5
47	и во	2	4
48	в жизни	3	4
49	и к	2	4
50	в себе	7	4
51	том что	3	4
52	в этих	4	4
53	сих пор	2	4
54	этот процесс	3	4
55	до сих	2	4
56	отношения к	4	4
57	не было	18	4
58	а в	4	4
59	лишь в	6	4
60	тем что	4	4
61	с ним	2	4
62	но в	7	4
63	место в	2	3
64	связана с	2	3
65	о чем	2	3
66	жизни в	2	3
67	человека и	14	3
68	не был	7	3
69	что он	10	3
70	в ее	3	3
71	в том	6	3
72	было бы	10	3
73	в самом	11	3
74	к этим	2	3
75	со свободой	4	3
76	на земле	2	3
77	и все	10	3
78	и вот	3	3
79	был еще	4	3
80	менее всего	7	3
81	к нему	7	3
82	его творчества	2	3
83	также и	2	3
84	духа и	4	3
85	о том	2	3
86	и это	12	3
87	в виду	2	3
88	учение о	3	2
89	человек в	9	2
90	что в	10	2
91	для них	3	2
92	могут быть	2	2
93	мы еще	2	2
94	за пределы	4	2
95	никто не	2	2
96	о человеке	23	2
97	даже и	2	2
98	xix века	4	2
99	он был	14	2
100	в самой	7	2
101	это и	4	2
102	литературы и	2	2
103	все что	2	2
104	по сравнению	2	2
105	связано с	2	2
106	ничего не	3	2
107	до конца	14	2
108	была связана	2	2
109	одним из	2	2
110	у него	17	2
111	в ней	15	2
112	к ней	4	2
113	была еще	2	2
114	в него	3	2
115	еще в	2	2
116	природу и	2	2
117	себе и	2	2
118	в мире	10	2
119	вместе с	6	2
120	в их	4	2
121	должен был	4	2
122	вряд ли	3	2
123	того чтобы	2	2
124	особенно в	3	2
125	всего что	2	2
126	и еще	3	2
127	в конце	7	2
