N	2gram	Potebnia_M_2	Freidism
1	таким образом	11	24
2	и не	19	23
3	не может	12	20
4	прежде всего	7	18
5	в этом	8	15
6	в его	2	15
7	в душе	23	13
8	мы можем	12	13
9	может быть	23	13
10	и его	2	12
11	как и	7	11
12	как бы	9	11
13	то что	20	11
14	все эти	2	11
15	и потому	2	10
16	так и	5	10
17	самом деле	2	10
18	его в	3	10
19	с ним	5	10
20	но в	4	10
21	с его	2	9
22	в сознание	10	9
23	и в	24	9
24	во всех	7	9
25	по отношению	2	9
26	все что	3	8
27	что он	4	8
28	еще не	4	8
29	не только	15	8
30	все это	2	8
31	то же	12	8
32	только в	11	8
33	и все	3	8
34	так как	10	8
35	мы знаем	2	7
36	тот же	5	7
37	во всяком	7	7
38	один из	2	7
39	в самом	4	7
40	те же	3	7
41	сказать что	2	7
42	всяком случае	7	7
43	никогда не	4	6
44	вовсе не	9	6
45	для него	10	6
46	за пределы	2	6
47	того что	7	6
48	в ней	3	6
49	так сказать	4	6
50	хотя бы	2	6
51	но мы	3	5
52	в свою	6	5
53	не в	13	5
54	в чем	7	5
55	в то	6	5
56	что такое	2	5
57	что в	16	5
58	но и	9	5
59	на самом	2	5
60	в себя	2	5
61	для того	5	5
62	а в	8	5
63	и на	8	5
64	могут быть	8	5
65	с этим	7	5
66	в каком	3	5
67	мы должны	2	5
68	не менее	5	4
69	но не	12	4
70	в котором	4	4
71	в этих	3	4
72	из этих	4	4
73	в жизни	2	4
74	не дает	2	4
75	если мы	3	4
76	в собственном	2	4
77	с другими	5	4
78	всех этих	2	4
79	же время	2	4
80	которой мы	2	4
81	на этом	2	4
82	связанные с	2	4
83	при этом	13	4
84	от того	5	4
85	в нем	9	4
86	все же	5	4
87	не было	6	4
88	между ними	2	4
89	таким путем	4	4
90	мы находим	2	4
91	уже не	4	4
92	того чтобы	2	4
93	с самого	2	4
94	и для	3	4
95	совсем не	2	4
96	в которой	5	4
97	той же	3	4
98	мы не	11	4
99	в таком	4	4
100	с ними	3	4
101	потому что	49	4
102	во время	4	4
103	себя и	2	4
104	не могут	7	3
105	самого начала	2	3
106	о которой	3	3
107	главным образом	4	3
108	если бы	11	3
109	и есть	2	3
110	тому что	2	3
111	в них	5	3
112	и от	3	3
113	что все	2	3
114	а только	8	3
115	в себе	10	3
116	на другие	6	3
117	и как	6	3
118	но это	3	3
119	по поводу	6	3
120	и может	3	3
121	было бы	13	3
122	и тот	2	3
123	в общем	2	3
124	что может	2	3
125	и той	2	3
126	и чувств	2	3
127	на него	3	3
128	вместе с	11	3
129	где оно	2	3
130	со стороны	3	3
131	как в	10	3
132	одной и	2	3
133	и что	4	3
134	свою очередь	6	3
135	и по	2	3
136	между двумя	6	3
137	такой же	4	3
138	у него	2	3
139	две группы	2	3
140	может стать	2	3
141	слова и	3	3
142	таком случае	2	3
143	одна из	4	3
144	человека и	3	3
145	в сознании	23	3
146	уже в	5	2
147	этого не	2	2
148	зависит от	2	2
149	человека в	3	2
150	но все	2	2
151	что это	3	2
152	в нашем	2	2
153	в какой	2	2
154	того же	14	2
155	с другой	6	2
156	с которыми	2	2
157	это не	3	2
158	оно не	3	2
159	же что	3	2
160	стремление к	2	2
161	к этому	2	2
162	не можем	6	2
163	чувства и	4	2
164	и уже	5	2
165	но во	3	2
166	ничем не	2	2
167	тем не	6	2
168	для нас	31	2
169	влияние на	4	2
170	ни было	3	2
171	том что	8	2
172	них не	3	2
173	жизни ребенка	2	2
174	к больному	2	2
175	а не	18	2
176	связано с	2	2
177	что с	2	2
178	для сознания	2	2
179	в нашей	2	2
180	ли мы	2	2
181	одной стороны	3	2
182	из них	5	2
183	не совсем	3	2
184	внешнего мира	4	2
185	чувства к	2	2
186	душевной жизни	7	2
187	к другим	3	2
188	что мы	11	2
189	но если	2	2
190	относится к	3	2
191	для нее	2	2
192	на две	2	2
193	только для	5	2
194	как не	3	2
195	сих пор	4	2
196	что она	3	2
197	в нас	3	2
198	отношения к	2	2
199	а с	2	2
200	которых мы	3	2
201	с одной	4	2
202	что оно	4	2
203	и они	2	2
204	а потому	5	2
205	заметить что	6	2
206	должны быть	4	2
207	и у	3	2
208	тем же	3	2
209	и притом	3	2
210	так же	2	2
211	как на	3	2
212	рядом с	3	2
213	мы видим	2	2
214	это содержание	2	2
215	и то	3	2
216	их в	2	2
217	они не	4	2
218	сознание и	4	2
219	что и	11	2
220	и при	3	2
221	в другом	2	2
222	и вообще	3	2
223	до сих	4	2
224	когда мы	2	2
225	представлений и	3	2
226	как это	2	2
227	оно может	2	2
228	в эту	3	2
229	и поэтому	2	2
230	это было	2	2
