N	2gram	Tiupa_Narr_2	Myshleni
1	в том	14	42
2	том что	13	35
3	в процессе	2	27
4	таким образом	5	25
5	точки зрения	5	24
6	в этом	13	24
7	в качестве	14	21
8	и в	13	20
9	что в	4	19
10	то же	4	16
11	то что	8	15
12	не только	26	15
13	что они	3	14
14	с другой	5	12
15	при этом	14	12
16	потому что	2	12
17	может быть	10	12
18	в целом	3	11
19	так же	2	11
20	в его	6	11
21	с точки	2	11
22	того что	6	10
23	в себе	8	10
24	только в	11	10
25	одной стороны	5	9
26	но и	15	9
27	с одной	5	9
28	между тем	3	9
29	могли бы	2	9
30	как это	4	9
31	как и	4	9
32	что и	2	9
33	и не	14	8
34	и тем	5	8
35	и что	2	8
36	в результате	2	8
37	было бы	2	8
38	и более	2	7
39	как бы	6	7
40	этом отношении	3	7
41	в своей	4	7
42	самом деле	3	7
43	тем самым	5	7
44	а не	17	7
45	того чтобы	3	7
46	к тому	9	6
47	тому же	4	6
48	же как	2	6
49	такого рода	12	6
50	в самом	2	6
51	не может	8	6
52	те же	2	6
53	сказать что	3	6
54	по своей	3	6
55	что он	5	6
56	в силу	4	6
57	той же	2	6
58	можно было	2	6
59	перед нами	4	5
60	в частности	11	5
61	никогда не	6	5
62	это не	3	5
63	на то	2	5
64	не является	4	5
65	только не	2	5
66	если бы	4	5
67	и его	3	5
68	между собой	3	5
69	и к	6	5
70	все же	6	5
71	и того	3	5
72	о том	5	5
73	так и	9	5
74	как в	5	5
75	все эти	3	5
76	в нашем	2	4
77	тому что	3	4
78	в своем	6	4
79	как уже	2	4
80	для нас	2	4
81	что с	2	4
82	на том	3	4
83	роль в	2	4
84	с этой	3	4
85	как он	2	4
86	в сознании	2	4
87	состоит в	12	4
88	по своему	2	4
89	только что	2	4
90	не в	8	4
91	и для	3	4
92	в области	2	4
93	не менее	4	3
94	в какой	4	3
95	точно так	2	3
96	в этой	4	3
97	себе и	2	3
98	один из	3	3
99	со стороны	6	3
100	именно в	2	3
101	столь же	2	3
102	и когда	3	3
103	к которому	2	3
104	но в	6	3
105	отнюдь не	4	3
106	в настоящем	2	3
107	бы в	2	3
108	представляет собой	16	3
109	но не	3	3
110	со всеми	2	3
111	не являются	2	3
112	только к	3	3
113	в обоих	2	3
114	с таким	2	3
115	себя в	2	3
116	внимание на	3	3
117	в виде	2	3
118	в равной	2	3
119	в чем	2	3
120	место в	5	2
121	должна быть	2	2
122	прежде всего	6	2
123	именно то	2	2
124	в свою	2	2
125	для него	4	2
126	мы узнаем	2	2
127	что это	4	2
128	и у	4	2
129	вслед за	6	2
130	но для	2	2
131	в ней	2	2
132	в него	2	2
133	в нем	5	2
134	данном случае	6	2
135	в отличие	5	2
136	они не	2	2
137	не имеет	2	2
138	нам в	3	2
139	а в	9	2
140	для других	3	2
141	в данном	10	2
142	из этих	2	2
143	и здесь	2	2
144	в начале	2	2
145	мы имеем	3	2
146	в известном	3	2
147	у него	6	2
148	а потом	2	2
149	представить себе	3	2
150	в памяти	2	2
151	мы его	2	2
152	еще не	2	2
153	никак не	3	2
154	в современной	2	2
155	как показывает	2	2
156	далеко не	5	2
157	а также	6	2
158	раз в	2	2
159	только на	2	2
160	и т.п	6	2
161	тогда как	15	2
162	а с	2	2
163	если не	2	2
164	в той	5	2
165	может служить	2	2
166	и он	2	2
167	в слове	3	2
168	в таком	3	2
169	тому как	2	2
170	на одном	2	2
171	подобно тому	2	2
172	и т.д	4	2
173	здесь не	2	2
174	едва ли	3	2
175	отличие от	5	2
