N	3gram	Bakhtin_Pr_1	StatiiOP
1	в том что	3	17
2	для того чтобы	2	10
3	и т п	13	9
4	можно было бы	3	8
5	с точки зрения	6	8
6	в этом отношении	2	7
7	в данном случае	4	6
8	на самом деле	3	6
9	с другой стороны	4	6
10	в самом деле	3	5
11	не может быть	11	5
12	и в области	2	4
13	то же время	3	4
14	в то же	3	4
15	не только в	2	4
16	того или иного	2	4
17	так и в	2	4
18	в применении к	3	3
19	по отношению к	19	3
20	то или иное	2	3
21	в области изучения	2	2
22	с одной стороны	3	2
23	тем не менее	3	2
24	в иных случаях	3	2
25	но и в	2	2
