N	2gram	Tiupa_Anal_1	RusskieA
1	и в	18	36
2	не только	15	22
3	что в	5	19
4	том что	12	19
5	в том	27	17
6	и п	2	16
7	но и	17	16
8	так как	2	15
9	в этом	13	12
10	это не	6	10
11	как мы	2	10
12	как и	13	10
13	и т	3	10
14	вместе с	4	10
15	и на	5	10
16	потому что	2	10
17	а в	9	9
18	состоит в	11	8
19	из них	2	8
20	может быть	29	8
21	один из	2	8
22	и по	2	8
23	о том	5	8
24	что и	3	7
25	так и	4	7
26	между тем	5	7
27	представляют собой	2	7
28	и не	21	6
29	при этом	12	6
30	уже не	4	6
31	таким образом	3	6
32	то что	6	6
33	будто бы	3	6
34	при изучении	2	5
35	все же	4	5
36	как будто	3	5
37	как бы	5	5
38	из этих	2	4
39	как уже	2	4
40	к тому	7	4
41	представляет собой	16	4
42	еще не	3	4
43	еще в	2	4
44	в их	5	4
45	не может	22	4
46	а с	3	4
47	мы имеем	6	4
48	того что	4	4
49	только в	6	4
50	в качестве	31	3
51	думать что	2	3
52	и к	3	3
53	на этом	2	3
54	несмотря на	2	3
55	на каждом	2	3
56	как правило	4	3
57	а также	3	3
58	если в	3	3
59	не с	4	3
60	своего рода	3	3
61	то же	9	3
62	с точки	4	3
63	точки зрения	6	3
64	то есть	11	3
65	далеко не	6	3
66	этого слова	7	3
67	в области	4	3
68	и более	4	2
69	в частности	19	2
70	могут быть	4	2
71	в нашем	3	2
72	его и	2	2
73	между собой	2	2
74	только для	2	2
75	и потому	2	2
76	не просто	2	2
77	на все	2	2
78	его к	2	2
79	что именно	2	2
80	в нем	3	2
81	не что	4	2
82	равной степени	2	2
83	и как	5	2
84	в силу	3	2
85	такой же	2	2
86	но не	10	2
87	как известно	3	2
88	с целью	2	2
89	означает что	3	2
90	отнюдь не	15	2
91	имеет место	5	2
92	в его	13	2
93	ни одно	2	2
94	и с	2	2
95	в целом	5	2
96	и до	2	2
97	для этого	2	2
98	тогда как	14	2
99	все эти	2	2
100	в какой	2	2
101	на самом	2	2
102	а не	17	2
103	с ним	4	2
104	не случайно	3	2
105	между двумя	3	2
106	себя и	4	2
107	на себя	2	2
108	что иное	5	2
109	но в	8	2
110	в равной	3	2
111	как он	3	2
112	иное как	5	2
