N	2gram	Vygotskiy__5	SlovoVZh
1	не может	9	16
2	точки зрения	7	14
3	может быть	11	14
4	и его	6	13
5	как бы	19	13
6	таким образом	20	12
7	и в	30	12
8	в нашем	2	11
9	по отношению	2	11
10	и не	6	10
11	если бы	11	9
12	так как	9	9
13	прежде всего	4	8
14	художественного произведения	3	7
15	для нас	3	7
16	сказать что	9	7
17	в нем	7	6
18	все время	20	6
19	при этом	8	6
20	с помощью	2	6
21	в том	27	6
22	только в	5	6
23	в ней	4	6
24	художественной формы	3	5
25	то что	37	5
26	должна быть	2	5
27	никогда не	9	5
28	а не	8	5
29	можно сказать	2	5
30	то же	7	5
31	хотя бы	3	5
32	как и	6	5
33	том что	21	5
34	как в	3	5
35	что мы	11	5
36	героя и	7	5
37	и следовательно	2	5
38	но в	5	5
39	в виду	4	5
40	и к	4	4
41	все же	7	4
42	жизни и	6	4
43	так и	3	4
44	от того	4	4
45	с другой	9	4
46	на самом	2	4
47	зависимости от	7	4
48	не в	8	4
49	в этом	14	4
50	мы все	6	4
51	и на	3	4
52	материала и	5	4
53	дело в	2	4
54	в самом	14	4
55	не только	16	4
56	в котором	2	3
57	в них	4	3
58	и уже	3	3
59	находит свое	2	3
60	когда он	5	3
61	в своей	4	3
62	быть и	2	3
63	бы мы	3	3
64	сих пор	5	3
65	художественное произведение	5	3
66	все это	2	3
67	все эти	2	3
68	ясно что	6	3
69	по себе	7	3
70	но и	6	3
71	того что	8	3
72	и наконец	3	3
73	и герой	2	3
74	художественном произведении	2	3
75	ни в	3	3
76	он должен	8	3
77	так же	13	3
78	самом деле	8	3
79	мы не	3	3
80	формы и	3	3
81	и с	2	3
82	о том	10	3
83	в каком	3	3
84	в себе	5	3
85	для него	3	3
86	до сих	5	3
87	еще не	5	3
88	только на	4	3
89	и для	6	3
90	из этого	2	3
91	с героем	2	3
92	как только	4	2
93	уже в	6	2
94	с этой	2	2
95	но мы	2	2
96	с его	2	2
97	что и	3	2
98	в душе	2	2
99	но все	2	2
100	что в	24	2
101	данном случае	3	2
102	вместе с	12	2
103	себя и	2	2
104	и так	2	2
105	в зависимости	6	2
106	в этих	3	2
107	от этой	2	2
108	между собой	2	2
109	в форме	2	2
110	в своем	6	2
111	в отношении	2	2
112	другой стороны	5	2
113	это не	3	2
114	дело с	5	2
115	мы имеем	8	2
116	и все	4	2
117	и другие	3	2
118	формой и	3	2
119	этих двух	7	2
120	содержания и	4	2
121	с одной	12	2
122	была бы	3	2
123	к этому	3	2
124	что поэт	3	2
125	в себя	2	2
126	и что	23	2
127	искусства и	5	2
128	едва ли	2	2
129	не есть	4	2
130	с точки	2	2
131	и здесь	6	2
132	же самое	5	2
133	как на	11	2
134	стороны и	4	2
135	этого взаимодействия	2	2
136	в данном	3	2
137	и то	9	2
138	нас и	2	2
139	мы можем	7	2
140	но не	7	2
141	могут быть	8	2
142	одно и	3	2
143	до конца	2	2
144	в то	2	2
145	одной стороны	12	2
146	и совершенно	4	2
147	каком отношении	2	2
148	действия и	4	2
149	если же	2	2
150	и та	2	2
151	на примере	4	2
152	имеет место	3	2
153	там где	4	2
154	как это	7	2
155	ничего не	2	2
156	он не	3	2
157	мы никогда	2	2
158	согласие или	2	2
159	в его	4	2
160	и потому	5	2
161	между ними	2	2
