N	2gram	Tiupa_Lite_3	Formalny
1	и в	16	24
2	художественного произведения	2	23
3	в его	6	23
4	прежде всего	3	22
5	и не	22	20
6	так и	9	18
7	не может	8	16
8	точки зрения	7	16
9	в этом	14	15
10	в нем	2	14
11	может быть	12	14
12	с точки	3	13
13	не менее	2	11
14	как и	5	11
15	должно быть	4	11
16	в своей	7	11
17	и ее	2	10
18	то же	9	10
19	а не	12	10
20	и его	6	10
21	и потому	2	9
22	в то	9	9
23	произведения в	3	8
24	в ее	5	8
25	же время	7	8
26	именно в	5	8
27	в свою	2	8
28	то что	12	8
29	как в	5	8
30	лишь в	5	8
31	и на	2	8
32	не в	10	8
33	и с	2	8
34	место в	4	7
35	до конца	4	7
36	в единстве	3	7
37	не только	14	7
38	с ее	3	7
39	жизни и	3	7
40	но и	14	7
41	отнюдь не	3	6
42	было бы	2	6
43	в том	12	6
44	в этой	8	6
45	самом деле	3	6
46	еще не	6	6
47	как бы	8	6
48	в целом	5	6
49	художественное произведение	2	6
50	входит в	4	6
51	а в	5	6
52	отношения к	3	6
53	в живом	2	6
54	как это	3	6
55	по себе	2	5
56	у нас	2	5
57	при этом	15	5
58	во всех	2	5
59	в самом	3	5
60	со стороны	7	5
61	как мы	2	5
62	искусства и	3	5
63	того что	9	5
64	с другой	6	5
65	но в	3	5
66	с его	6	4
67	в частности	11	4
68	никогда не	4	4
69	не как	2	4
70	стороны и	2	4
71	и к	3	4
72	в мире	16	4
73	одной стороны	4	4
74	если бы	2	4
75	оно не	2	4
76	отношению к	4	4
77	так же	2	4
78	по отношению	4	4
79	что в	2	4
80	с одной	4	4
81	целом и	2	4
82	как на	3	4
83	с этой	2	4
84	как о	2	4
85	но не	4	3
86	связи с	2	3
87	то ни	2	3
88	в жизни	8	3
89	бы то	2	3
90	что он	5	3
91	это последнее	2	3
92	к тому	6	3
93	для него	2	3
94	и как	3	3
95	со всеми	2	3
96	об искусстве	4	3
97	один из	2	3
98	все же	2	3
99	же в	2	3
100	отношение к	2	3
101	когда он	2	3
102	время в	2	3
103	бытия в	2	3
104	по аналогии	2	3
105	тем самым	7	3
106	и наконец	3	3
107	и даже	2	3
108	его в	2	3
109	наконец в	3	3
110	более того	3	3
111	в основе	5	3
112	в себе	6	3
113	со всей	2	3
114	здесь не	2	3
115	жизнь как	2	3
116	в области	3	3
117	вещей в	2	2
118	жизни не	2	2
119	а лишь	2	2
120	жизни в	4	2
121	в лице	2	2
122	это не	5	2
123	произведение искусства	6	2
124	в одном	4	2
125	вопрос о	2	2
126	в году	5	2
127	том чтобы	2	2
128	все время	3	2
129	ни было	2	2
130	за свой	2	2
131	уже не	3	2
132	по существу	4	2
133	в противовес	7	2
134	только в	7	2
135	и если	4	2
136	действительности в	2	2
137	все более	2	2
138	как таковое	2	2
139	как раз	2	2
140	еще в	3	2
141	однако не	3	2
142	не с	2	2
143	что и	2	2
144	вместе с	5	2
145	он в	2	2
146	во всей	2	2
147	и вот	2	2
148	или иначе	2	2
149	в работе	2	2
150	между тем	3	2
151	в своих	2	2
152	чтобы он	2	2
153	на его	3	2
154	мира в	3	2
