N	2gram	Bakhtin_Fr_3	Tvorches
1	и в	40	20
2	в году	5	16
3	в романе	15	15
4	не только	13	13
5	как бы	3	11
6	в его	13	10
7	таким образом	10	10
8	в то	6	10
9	и его	17	9
10	и не	13	9
11	прежде всего	16	8
12	в том	8	8
13	при этом	3	8
14	но и	11	8
15	может быть	9	8
16	в этом	15	8
17	и с	8	8
18	это не	2	7
19	представление о	2	7
20	же время	6	7
21	что в	12	7
22	не может	3	7
23	то же	7	7
24	потому что	2	7
25	xix века	4	7
26	у него	8	6
27	в конце	3	6
28	что он	2	6
29	как и	11	6
30	в целом	2	6
31	в своей	6	6
32	так и	3	6
33	все это	4	6
34	именно в	2	6
35	а не	5	6
36	в основном	4	6
37	в мире	4	5
38	но это	3	5
39	еще не	3	5
40	но не	2	5
41	и сам	2	5
42	например в	2	5
43	все же	2	5
44	и даже	4	5
45	и на	8	5
46	в этой	3	5
47	о том	4	5
48	то есть	18	5
49	об этом	3	4
50	и от	3	4
51	в духе	7	4
52	мы не	2	4
53	том что	4	4
54	в дальнейшем	2	4
55	мы видим	5	4
56	на его	2	4
57	как в	3	4
58	все эти	8	4
59	а в	3	4
60	года и	2	4
61	и потому	4	4
62	если бы	3	4
63	но в	8	4
64	к этому	6	3
65	отношению к	2	3
66	одна из	3	3
67	для него	5	3
68	одной из	2	3
69	своего рода	2	3
70	в самом	6	3
71	он не	9	3
72	в котором	2	3
73	xx века	5	3
74	и др	7	3
75	один из	4	3
76	в нем	5	3
77	то что	5	3
78	и это	2	3
79	вместе с	3	3
80	сих пор	4	3
81	в их	4	3
82	по отношению	3	3
83	так как	4	3
84	в свете	3	3
85	одним из	2	3
86	тем что	3	3
87	к роману	2	3
88	в своих	5	3
89	в себе	3	3
90	в начале	3	3
91	в плане	2	3
92	между тем	3	3
93	до сих	4	3
94	включает в	2	2
95	уже в	2	2
96	не менее	2	2
97	и есть	3	2
98	с другой	2	2
99	в одном	7	2
100	вовсе не	12	2
101	в этот	2	2
102	и ее	2	2
103	в литературе	5	2
104	в ее	3	2
105	у нас	4	2
106	как о	2	2
107	как известно	2	2
108	и если	2	2
109	в частности	3	2
110	том же	2	2
111	к жизни	2	2
112	только для	3	2
113	в первой	2	2
114	по преимуществу	2	2
115	в истории	4	2
116	на землю	2	2
117	в ту	7	2
118	так в	4	2
119	и далее	2	2
120	в отличие	3	2
121	начиная с	3	2
122	не было	5	2
123	и других	6	2
124	самом деле	3	2
125	связь с	6	2
126	и у	2	2
127	и наконец	3	2
128	не так	3	2
129	особенно в	4	2
130	рядом с	2	2
131	роль в	4	2
132	из этой	2	2
133	имеет в	2	2
134	тут же	2	2
135	образ и	2	2
136	в основе	5	2
137	из них	4	2
138	в которой	2	2
139	и еще	2	2
140	только в	3	2
141	но ведь	3	2
142	из этого	2	2
143	так сказать	5	2
144	их в	3	2
145	отличие от	3	2
146	одном из	2	2
