N	2gram	Medvedev_V_1	Myslijsy
1	и в	26	24
2	может быть	22	23
3	в сознании	4	23
4	то что	6	20
5	и не	19	19
6	а не	7	18
7	в том	15	18
8	что в	10	16
9	по себе	2	15
10	не только	25	15
11	было бы	7	13
12	не в	6	13
13	в слове	3	13
14	но не	2	12
15	не может	17	12
16	то же	10	12
17	если бы	3	11
18	что мы	2	11
19	что и	3	11
20	вместе с	7	11
21	только в	7	11
22	таким образом	31	11
23	для него	8	10
24	в себе	6	10
25	тогда когда	2	10
26	вовсе не	3	9
27	в нем	6	9
28	как бы	5	9
29	но и	10	9
30	а в	3	8
31	том что	8	8
32	более или	6	8
33	или менее	6	8
34	в этом	26	8
35	могут быть	5	8
36	не могут	7	7
37	прежде всего	13	7
38	мысль о	2	7
39	во всех	6	7
40	как и	7	7
41	того что	3	7
42	между собою	2	7
43	с этим	3	7
44	в чем	2	7
45	связи с	4	6
46	с другой	11	6
47	в одном	4	6
48	и как	3	6
49	по поводу	2	6
50	и т	23	6
51	не было	7	6
52	между тем	5	6
53	в то	6	6
54	не менее	2	5
55	по крайней	2	5
56	крайней мере	2	5
57	же в	6	5
58	что они	3	5
59	что не	3	5
60	о том	10	5
61	и их	3	5
62	так и	5	5
63	в них	4	5
64	бы не	2	5
65	от того	2	5
66	для того	3	5
67	с другими	2	5
68	из них	9	5
69	все же	5	5
70	в которой	2	5
71	во время	3	4
72	главным образом	7	4
73	никогда не	4	4
74	из этих	7	4
75	образом в	3	4
76	что он	4	4
77	одна из	4	4
78	еще не	2	4
79	должны быть	2	4
80	в самом	4	4
81	между прочим	2	4
82	в котором	3	4
83	с одной	2	4
84	что оно	3	4
85	тому как	2	4
86	подобно тому	2	4
87	они не	2	4
88	как он	2	4
89	так сказать	2	4
90	одном из	3	4
91	с тем	3	4
92	но в	2	4
93	на вопрос	2	3
94	но даже	3	3
95	так например	2	3
96	это не	7	3
97	и от	3	3
98	человека и	3	3
99	хотя и	2	3
100	от них	2	3
101	то это	2	3
102	них не	4	3
103	и при	5	3
104	очевидно что	7	3
105	одной стороны	2	3
106	и может	2	3
107	например в	3	3
108	вслед за	2	3
109	относится к	2	3
110	в ней	2	3
111	если в	2	3
112	его в	3	3
113	в целом	4	3
114	что она	2	3
115	только что	4	3
116	что его	2	3
117	т п	9	3
118	т д	14	3
119	человека в	2	3
120	что без	2	3
121	и у	2	3
122	и для	2	3
123	его не	3	3
124	как на	3	3
125	что для	3	3
126	с ними	4	3
127	как например	2	3
128	далеко не	2	3
129	представлений и	2	3
130	том как	3	3
131	в каждом	2	2
132	и весь	2	2
133	всех этих	2	2
134	и есть	5	2
135	из себя	2	2
136	и его	6	2
137	что у	2	2
138	хотя бы	19	2
139	не столько	2	2
140	что многие	2	2
141	что ни	2	2
142	в жизни	2	2
143	что все	3	2
144	с нею	2	2
145	между ними	3	2
146	к этому	9	2
147	зависит от	2	2
148	с его	3	2
149	мы знаем	3	2
150	остановимся на	2	2
151	бы в	3	2
152	у нас	2	2
153	все эти	6	2
154	так же	3	2
155	у него	6	2
156	же время	5	2
157	в нашей	4	2
158	было в	2	2
159	в общем	2	2
160	что например	2	2
161	собою и	2	2
162	в его	14	2
163	и потому	2	2
164	один из	5	2
165	все это	10	2
166	другой стороны	8	2
167	вообще и	2	2
168	в связи	3	2
169	восприятия и	2	2
170	например что	3	2
171	видно из	3	2
172	того чтобы	3	2
173	что такое	2	2
174	и впечатления	2	2
175	и по	3	2
176	должно быть	2	2
177	как это	12	2
178	также что	2	2
179	или в	3	2
180	по отношению	7	2
181	их в	6	2
182	сказать что	5	2
183	тому что	6	2
184	даже и	3	2
185	в другом	2	2
186	само собою	2	2
187	что нет	2	2
