N	2gram	Propp_Russ_1	Literetu
1	и не	6	22
2	тогда как	2	17
3	и в	36	16
4	при этом	6	15
5	не только	22	14
6	но и	16	14
7	в этом	12	14
8	а не	2	12
9	то что	6	12
10	может быть	8	12
11	в том	17	12
12	в частности	2	11
13	своего рода	3	10
14	то же	3	9
15	так и	7	9
16	е годы	2	9
17	того что	4	9
18	в жизни	2	8
19	том что	19	8
20	в е	2	8
21	не может	4	8
22	как бы	5	8
23	точки зрения	3	7
24	только в	4	7
25	состоит в	8	6
26	к тому	4	6
27	еще не	4	6
28	в его	2	6
29	о том	8	6
30	в качестве	3	5
31	это не	10	5
32	в году	2	5
33	как и	10	5
34	в целом	2	5
35	вместе с	10	5
36	как в	5	5
37	а в	9	5
38	то есть	3	5
39	но не	2	4
40	по существу	4	4
41	до конца	2	4
42	и для	2	4
43	хотя и	2	4
44	из них	8	4
45	входит в	4	4
46	а также	3	4
47	одно из	5	4
48	как будто	5	4
49	в одном	3	4
50	только для	2	3
51	отнюдь не	2	3
52	в г	4	3
53	и как	2	3
54	о чем	3	3
55	например в	2	3
56	и к	3	3
57	и а	4	3
58	еще в	4	3
59	уже не	6	3
60	с точки	3	3
61	не случайно	2	3
62	потому что	10	3
63	там где	2	3
64	как это	8	3
65	в области	3	3
66	но в	2	3
67	между тем	7	3
68	что в	19	2
69	не менее	3	2
70	песни и	3	2
71	что у	2	2
72	к этому	4	2
73	в нем	2	2
74	у нас	8	2
75	связи с	4	2
76	что ему	2	2
77	в свою	3	2
78	несмотря на	3	2
79	во всех	4	2
80	нас к	2	2
81	вплоть до	4	2
82	себя и	2	2
83	к жизни	3	2
84	один из	8	2
85	не с	3	2
86	что и	7	2
87	все же	5	2
88	когда он	2	2
89	с ней	2	2
90	как мы	10	2
91	так же	3	2
92	как например	3	2
93	а и	5	2
94	не означает	2	2
95	с ними	5	2
96	в своих	2	2
97	и на	10	2
98	и с	2	2
99	тем что	4	2
100	далеко не	3	2
101	на себя	2	2
102	представляет собой	4	2
103	и потому	2	2
