N	2gram	Medvedev_U_1	Problema
1	и не	8	28
2	не только	10	24
3	только в	2	23
4	в том	2	20
5	и в	14	20
6	то что	7	15
7	у нас	3	14
8	было бы	3	14
9	но и	4	14
10	не в	2	13
11	даже и	2	13
12	не есть	2	12
13	в себе	2	12
14	том что	2	12
15	прежде всего	8	11
16	по себе	2	11
17	может быть	6	9
18	все это	5	9
19	в этом	7	9
20	если бы	2	8
21	что он	2	8
22	таким образом	2	8
23	но в	3	8
24	с другой	4	7
25	это не	3	7
26	мы не	2	7
27	то же	5	7
28	а не	10	7
29	и с	2	7
30	хотя бы	5	7
31	всех этих	2	6
32	по крайней	2	6
33	как и	3	6
34	но это	2	6
35	крайней мере	2	6
36	другой стороны	3	6
37	же самое	2	6
38	но не	2	5
39	не может	7	5
40	но даже	2	4
41	и для	2	4
42	в этой	4	4
43	в своей	3	4
44	что она	2	4
45	тех или	2	4
46	и только	5	4
47	как раз	2	4
48	в то	3	4
49	в художественном	5	4
50	это уже	2	3
51	для всех	2	3
52	все они	2	3
53	если не	2	3
54	этом смысле	2	3
55	для него	3	3
56	конечно не	4	3
57	и является	2	3
58	в его	2	3
59	только к	3	3
60	что и	2	3
61	бы и	2	3
62	в буквальном	2	3
63	самом деле	2	3
64	что мы	2	3
65	тем что	2	3
66	или иных	2	3
67	в области	3	3
68	в частности	3	2
69	для этого	3	2
70	в конце	2	2
71	с его	2	2
72	а его	2	2
73	в самом	2	2
74	нам представляется	2	2
75	перестает быть	5	2
76	все же	3	2
77	ни было	3	2
78	и то	3	2
79	произведения искусства	3	2
80	это было	2	2
