N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	28
2	может быть	13	25
3	не может	5	15
4	а не	16	15
5	никогда не	4	14
6	что в	3	12
7	то же	5	12
8	не только	24	12
9	только в	8	11
10	что он	5	10
11	все же	4	10
12	прежде всего	11	10
13	но и	17	10
14	в том	16	9
15	о том	2	9
16	то что	10	9
17	и не	12	9
18	не в	8	9
19	так и	4	9
20	таким образом	3	8
21	в этом	12	8
22	но в	3	8
23	это не	4	7
24	том что	14	7
25	еще не	4	7
26	было бы	2	7
27	и др	3	7
28	а в	3	7
29	с другой	3	6
30	не менее	7	6
31	к тому	2	6
32	тем не	2	6
33	в этой	4	6
34	его в	3	6
35	должна быть	2	5
36	не должен	3	5
37	в силу	4	5
38	но не	4	5
39	например в	3	5
40	в качестве	17	5
41	дело не	2	5
42	в своем	11	5
43	можно было	2	5
44	в его	7	5
45	связи с	6	4
46	превращается в	2	4
47	в пределах	3	4
48	представляет собой	4	4
49	одной стороны	2	4
50	даже в	2	4
51	один из	3	4
52	в связи	4	4
53	с одной	2	4
54	как и	6	4
55	того что	6	4
56	и даже	3	4
57	хотя бы	2	4
58	потому что	3	4
59	в основе	3	4
60	могут быть	2	4
61	как будто	2	4
62	как правило	2	4
63	все эти	2	4
64	я не	7	3
65	не как	4	3
66	для этого	4	3
67	на этом	2	3
68	при этом	19	3
69	должен быть	2	3
70	то это	2	3
71	отношению к	2	3
72	исходит из	3	3
73	из них	4	3
74	в их	3	3
75	уже не	7	3
76	и его	4	3
77	чтобы не	2	3
78	как это	8	3
79	по отношению	3	3
80	также и	3	3
81	тем что	2	3
82	в другом	2	3
83	в то	5	3
84	дело в	3	3
85	раз и	2	3
86	эта мысль	2	3
87	в рамках	6	2
88	отличие от	5	2
89	в частности	15	2
90	именно так	2	2
91	столь же	4	2
92	то он	2	2
93	их не	2	2
94	по своей	3	2
95	одна из	3	2
96	для него	2	2
97	что не	2	2
98	мы в	2	2
99	что такое	2	2
100	как бы	7	2
101	по этому	2	2
102	относится к	2	2
103	еще в	4	2
104	а для	2	2
105	и тем	4	2
106	в нем	2	2
107	не есть	2	2
108	себя в	6	2
109	в целом	8	2
110	в русской	10	2
111	всего в	3	2
112	со стороны	4	2
113	как в	5	2
114	как раз	4	2
115	то и	2	2
116	не на	2	2
117	в отличие	5	2
118	и только	2	2
119	еще и	3	2
120	приводит к	3	2
121	а только	2	2
122	одним из	5	2
123	во многих	2	2
124	отказ от	7	2
125	между тем	2	2
126	однако в	2	2
127	xix века	6	2
128	в себе	7	2
129	в конечном	5	2
130	на это	2	2
131	как он	2	2
132	ведет к	4	2
133	в области	3	2
