N	2gram	Vinokur_Vv_1	Literetu
1	и не	13	22
2	тогда как	2	17
3	и в	27	16
4	при этом	3	15
5	не только	21	14
6	но и	5	14
7	в этом	34	14
8	а не	3	12
9	то что	17	12
10	может быть	24	12
11	в том	31	12
12	в частности	3	11
13	не в	8	10
14	такого рода	2	10
15	своего рода	3	10
16	то же	8	9
17	того что	12	9
18	в то	5	9
19	том что	26	8
20	не может	13	8
21	в этой	3	8
22	как бы	5	8
23	в своей	4	7
24	же время	5	7
25	себя в	2	7
26	со стороны	12	7
27	точки зрения	7	7
28	только в	13	7
29	состоит в	2	6
30	с другой	8	6
31	к тому	4	6
32	еще не	4	6
33	в его	10	6
34	и его	5	6
35	в себе	4	6
36	в другом	3	6
37	о том	15	6
38	в качестве	7	5
39	это не	8	5
40	что он	4	5
41	в ее	11	5
42	как и	5	5
43	соответствии с	2	5
44	особого рода	4	5
45	в целом	5	5
46	вместе с	6	5
47	а именно	6	5
48	в отличие	3	5
49	а в	5	5
50	этом отношении	3	5
51	именно в	8	5
52	отличие от	3	5
53	но не	7	4
54	никогда не	3	4
55	однако в	3	4
56	по существу	2	4
57	до конца	3	4
58	одной стороны	4	4
59	в начале	3	4
60	и для	4	4
61	одним из	5	4
62	хотя и	3	4
63	об искусстве	4	4
64	говоря уже	2	4
65	отношению к	4	4
66	из них	3	4
67	не говоря	2	4
68	данном случае	5	4
69	в тексте	4	4
70	по отношению	4	4
71	входит в	2	4
72	с одной	4	4
73	а также	3	4
74	должно быть	2	4
75	в данном	11	4
76	одно из	5	4
77	как будто	3	4
78	в одном	4	4
79	ни к	2	3
80	прежде всего	8	3
81	в г	5	3
82	в соответствии	2	3
83	и как	9	3
84	о чем	4	3
85	например в	2	3
86	в самом	12	3
87	однако не	4	3
88	и тем	5	3
89	но уже	2	3
90	жизни и	2	3
91	бы и	2	3
92	уже не	5	3
93	самом деле	6	3
94	с точки	2	3
95	те кто	2	3
96	как на	11	3
97	той же	4	3
98	потому что	14	3
99	как это	5	3
100	в области	4	3
101	но в	10	3
102	между тем	8	3
103	что в	11	2
104	не менее	8	2
105	если бы	2	2
106	все более	3	2
107	так или	4	2
108	как о	4	2
109	с этой	4	2
110	не как	3	2
111	в конце	3	2
112	к этому	3	2
113	вопрос о	8	2
114	по себе	9	2
115	большей части	2	2
116	ни с	2	2
117	стороны и	3	2
118	со всей	3	2
119	в нем	13	2
120	и ее	4	2
121	у нас	2	2
122	и при	2	2
123	связи с	3	2
124	так чтобы	3	2
125	того же	3	2
126	во втором	2	2
127	можно сказать	3	2
128	было бы	5	2
129	и сам	2	2
130	что не	5	2
131	несмотря на	2	2
132	во всех	2	2
133	от себя	3	2
134	том чтобы	6	2
135	текста и	3	2
136	в работе	3	2
137	не вполне	4	2
138	один из	6	2
139	не с	2	2
140	то это	3	2
141	что и	3	2
142	а так	2	2
143	все же	8	2
144	отношение к	3	2
145	во второй	3	2
146	время в	2	2
147	с ней	2	2
148	и тогда	3	2
149	как мы	9	2
150	внимание на	4	2
151	так же	3	2
152	как раз	4	2
153	как например	5	2
154	еще и	3	2
155	о природе	7	2
156	и наоборот	2	2
157	но с	4	2
158	из того	2	2
159	и вот	3	2
160	одно дело	2	2
161	того чтобы	21	2
162	для того	21	2
163	действительности в	2	2
164	о которой	2	2
165	в принципе	2	2
166	другой стороны	5	2
167	и даже	5	2
168	жизни как	2	2
169	или иначе	4	2
170	в своих	2	2
171	и на	3	2
172	и с	2	2
173	тем что	6	2
174	он и	2	2
175	представляет собой	12	2
176	чтобы он	2	2
177	же самое	2	2
178	его в	6	2
179	в первом	5	2
180	здесь не	2	2
181	в каждой	2	2
182	если это	2	2
