N	2gram	Tiupa_Anal_1	DiskursI
1	в себе	11	19
2	при этом	12	17
3	состоит в	11	16
4	в качестве	31	16
5	и в	18	16
6	может быть	29	16
7	как и	13	16
8	в этом	13	16
9	и не	21	15
10	а не	17	14
11	в частности	19	12
12	и т.п	5	12
13	в отличие	6	12
14	отличие от	6	12
15	то есть	11	12
16	в мире	8	11
17	представляет собой	16	11
18	но и	17	11
19	тогда как	14	11
20	но в	8	11
21	том что	12	10
22	не только	15	10
23	своего рода	3	10
24	со стороны	2	10
25	такого рода	5	9
26	так и	4	9
27	не может	22	9
28	в том	27	8
29	а также	3	8
30	в рамках	3	7
31	художественного письма	2	7
32	прежде всего	6	7
33	в нем	3	7
34	ни в	4	7
35	но не	10	7
36	при всей	2	7
37	в данном	2	7
38	по мысли	3	6
39	с его	3	6
40	отнюдь не	15	6
41	себя в	6	6
42	еще не	3	6
43	все же	4	6
44	в своей	6	6
45	данном случае	2	6
46	то же	9	6
47	тем самым	7	6
48	по своей	6	6
49	в противоположность	2	5
50	а с	3	5
51	что в	5	5
52	с другой	4	5
53	в противовес	2	5
54	же время	6	5
55	для него	2	5
56	героя в	2	5
57	то что	6	5
58	и на	5	5
59	коммуникативного события	14	5
60	в то	9	5
61	я в	3	5
62	лирического героя	2	5
63	одного из	2	4
64	не сводится	2	4
65	в пределах	2	4
66	художественного целого	10	4
67	одной стороны	3	4
68	как бы	5	4
69	отношению к	5	4
70	по отношению	6	4
71	этом отношении	2	4
72	с одной	3	4
73	роль в	2	4
74	потому что	2	4
75	в основе	6	4
76	точки зрения	6	4
77	в этой	5	4
78	и то	2	4
79	о том	5	4
80	не является	2	4
81	я и	6	4
82	текста а	4	3
83	могут быть	4	3
84	столь же	4	3
85	это не	6	3
86	не столько	2	3
87	из виду	2	3
88	из этих	2	3
89	и все	3	3
90	или иной	6	3
91	уже не	4	3
92	и того	5	3
93	и как	5	3
94	не в	14	3
95	соответствии с	2	3
96	можно сказать	2	3
97	мысль о	2	3
98	субъекта в	2	3
99	он не	3	3
100	той или	6	3
101	в его	13	3
102	еще в	2	3
103	в котором	3	3
104	мире и	2	3
105	из них	2	3
106	коммуникативное событие	6	3
107	присутствия в	2	3
108	в тексте	5	3
109	для данного	2	3
110	жизненной позиции	2	3
111	иначе говоря	9	3
112	все эти	2	3
113	внутренней речи	5	3
114	также и	2	3
115	с позиций	2	3
116	и его	5	3
117	ведет к	3	3
118	поведения в	2	3
119	одного и	2	3
120	в другом	4	3
121	как будто	3	3
122	только в	6	3
123	не следует	4	3
124	жизни но	2	3
125	мира в	2	3
126	место в	3	2
127	на роль	2	2
128	другого в	3	2
129	никогда не	2	2
130	которая в	3	2
131	и одновременно	3	2
132	и другого	4	2
133	бытия и	2	2
134	в целом	5	2
135	личности в	3	2
136	вследствие этого	3	2
137	как уже	2	2
138	или иного	3	2
139	в ходе	3	2
140	в той	8	2
141	что он	3	2
142	основе своей	2	2
143	всякий раз	3	2
144	такой же	2	2
145	времени и	6	2
146	перед лицом	6	2
147	того же	4	2
148	рассказ о	2	2
149	отношение к	2	2
150	свое время	2	2
151	в ряду	2	2
152	далеко не	6	2
153	в свое	2	2
154	исторической поэтики	2	2
155	природе своей	2	2
156	для себя	2	2
157	ни одно	2	2
158	не с	4	2
159	что и	3	2
160	с точки	4	2
161	системы ценностей	2	2
162	не к	2	2
163	вместе с	4	2
164	что же	2	2
165	того и	3	2
166	именно в	4	2
167	и состоит	5	2
168	в себя	6	2
169	сводится к	5	2
170	значении этого	7	2
171	не более	4	2
172	по природе	3	2
173	объекта и	3	2
174	более чем	4	2
175	в принципе	8	2
176	другой стороны	2	2
177	должно быть	2	2
178	а в	9	2
179	той же	2	2
180	что как	3	2
181	тому как	3	2
182	совпадает с	2	2
183	и с	2	2
184	может иметь	2	2
185	не о	2	2
186	реальности и	2	2
187	подобно тому	3	2
188	и адресата	2	2
189	на примере	2	2
190	здесь не	2	2
191	в области	4	2
192	мы имеем	6	2
193	между тем	5	2
194	произведения как	7	2
