N	3gram	Vinokur_Ku_1	StatiiOP
1	в том что	15	16
2	о том что	5	11
3	в этом отношении	5	9
4	и т д	14	6
5	к тому что	2	5
6	том что он	4	5
7	до сих пор	4	5
8	вместе с тем	3	5
9	для того чтобы	15	5
10	обратить внимание на	2	4
11	то обстоятельство что	8	4
12	с другой стороны	6	3
13	во всяком случае	5	3
14	речь идет о	2	3
15	и т п	18	3
16	только потому что	6	2
17	в самом деле	7	2
18	но все же	2	2
19	так и в	2	2
20	на то что	2	2
21	в той мере	5	2
22	более или менее	3	2
23	с точки зрения	9	2
24	той мере в	5	2
25	не в том	4	2
26	мере в какой	5	2
27	тем не менее	4	2
