N	2gram	Nazirov_Vr_1	NovoeSre
1	не может	2	16
2	и в	8	16
3	и не	5	11
4	что в	7	9
5	он не	3	8
6	в том	3	8
7	как и	6	7
8	в этом	8	7
9	может быть	4	7
10	с его	3	6
11	никогда не	2	6
12	но это	2	6
13	в нем	6	5
14	все это	4	5
15	в ней	4	5
16	не только	9	5
17	не менее	2	4
18	то что	7	4
19	в них	2	4
20	это не	4	4
21	и все	7	4
22	не было	5	4
23	о том	4	4
24	но и	7	3
25	в своей	2	3
26	в истории	4	3
27	в мире	2	3
28	еще не	2	3
29	наряду с	3	3
30	в россии	5	3
31	к ним	2	3
32	я не	3	2
33	место в	2	2
34	у него	5	2
35	вместе с	2	2
36	и т.п	2	2
37	а в	2	2
38	в одну	2	2
39	уже не	2	2
40	и даже	6	2
41	так же	4	2
42	том что	3	2
43	же как	2	2
44	одна из	2	2
45	и с	6	2
46	и что	8	2
47	права на	2	2
48	в себе	2	2
49	в то	5	2
50	и это	2	2
51	но в	6	2
52	нашего времени	2	2
