N	2gram	Tiupa_Disk_1	FransuaR
1	и в	16	49
2	то есть	20	32
3	прежде всего	11	19
4	в его	7	18
5	не только	28	17
6	и его	2	17
7	и на	5	17
8	и не	11	15
9	в этом	15	15
10	в них	4	13
11	только в	7	13
12	но и	14	13
13	в году	2	13
14	в эпоху	5	13
15	как и	16	11
16	как бы	5	11
17	и т.п	12	11
18	в этой	2	10
19	для него	4	9
20	и др	2	9
21	в нем	9	9
22	в сущности	2	8
23	отношение к	4	8
24	все же	3	7
25	один из	3	7
26	не может	9	7
27	таким образом	3	7
28	то же	7	7
29	как мы	2	7
30	на протяжении	2	7
31	именно в	3	6
32	то что	5	6
33	в литературе	2	6
34	в истории	4	6
35	в себя	5	6
36	же время	4	6
37	здесь в	2	6
38	времени и	3	6
39	во всех	5	6
40	так и	8	6
41	сказать что	3	6
42	точки зрения	3	6
43	в то	3	6
44	с его	4	5
45	никогда не	2	5
46	в своем	6	5
47	уже в	2	5
48	в начале	2	5
49	но не	11	5
50	при этом	13	5
51	может быть	17	5
52	и потому	3	5
53	в своей	5	5
54	в особенности	4	5
55	роль в	7	5
56	с другой	10	4
57	и во	2	4
58	и к	4	4
59	в себе	7	4
60	том что	19	4
61	и о	4	4
62	в своих	3	4
63	в форме	2	4
64	отношения к	2	4
65	не было	7	4
66	а в	5	4
67	лишь в	4	4
68	характер и	2	4
69	тем что	3	4
70	но в	8	4
71	но они	2	3
72	с одной	9	3
73	о чем	2	3
74	жизни в	2	3
75	в одном	2	3
76	что он	4	3
77	в ее	3	3
78	в г	2	3
79	в том	23	3
80	большей или	2	3
81	в значительной	2	3
82	одной стороны	9	3
83	из них	3	3
84	в самом	3	3
85	точка зрения	2	3
86	направлен на	2	3
87	с ее	2	3
88	другой стороны	3	3
89	и все	2	3
90	или меньшей	2	3
91	также и	3	3
92	и вообще	2	3
93	далеко не	10	3
94	о том	8	3
95	в виду	2	3
96	одного из	2	2
97	в противоположность	2	2
98	связи с	4	2
99	одну из	2	2
100	что в	4	2
101	могут быть	4	2
102	за пределы	2	2
103	в качестве	34	2
104	зрения на	3	2
105	что касается	2	2
106	это в	2	2
107	вследствие этого	3	2
108	для понимания	2	2
109	в тех	2	2
110	можно сказать	5	2
111	эти жанры	2	2
112	есть в	2	2
113	литературы в	2	2
114	так например	2	2
115	и без	2	2
116	в пределах	2	2
117	еще не	14	2
118	по словам	2	2
119	такого рода	4	2
120	значительной степени	2	2
121	одним из	2	2
122	хотя и	2	2
123	еще в	3	2
124	из наиболее	2	2
125	в их	5	2
126	целый ряд	2	2
127	и даже	3	2
128	тому как	3	2
129	своего времени	2	2
130	во всяком	2	2
131	одной из	4	2
132	подобно тому	2	2
133	наших дней	2	2
134	на его	4	2
135	как к	2	2
136	в другом	2	2
137	и т.д	4	2
138	в произведении	3	2
