N	2gram	Bakhtin_KF_1	EvropaiC
1	в том	6	31
2	и в	24	24
3	том что	4	20
4	все эти	10	19
5	не может	27	18
6	то что	7	17
7	может быть	45	15
8	все же	5	15
9	точки зрения	12	13
10	в своем	16	12
11	самом деле	3	12
12	в этом	14	12
13	все это	10	11
14	между тем	4	11
15	отношению к	22	10
16	как бы	9	10
17	из себя	8	10
18	по отношению	26	10
19	во всех	11	10
20	так и	2	10
21	культуры и	5	10
22	при этом	4	9
23	как и	5	9
24	что в	4	9
25	не в	12	8
26	если бы	8	8
27	и все	7	8
28	ясно что	3	8
29	с точки	9	8
30	не менее	3	7
31	для этого	2	7
32	но и	9	7
33	и не	26	7
34	о том	3	7
35	что он	2	7
36	на самом	3	7
37	того чтобы	2	7
38	для того	3	7
39	должна быть	4	6
40	в этой	2	6
41	того что	3	6
42	и на	3	6
43	с ним	5	6
44	в сознании	2	6
45	еще не	4	6
46	что и	7	6
47	в мире	6	6
48	только в	16	6
49	именно в	5	5
50	что это	3	5
51	в целом	10	5
52	и их	6	5
53	как к	2	5
54	потому что	2	5
55	его в	5	5
56	но в	5	5
57	к этому	2	5
58	в то	3	5
59	по своему	3	5
60	в его	40	5
61	не только	5	5
62	не будет	2	5
63	быть и	3	5
64	и для	9	5
65	но все	5	5
66	лишь в	8	5
67	в себе	21	5
68	никогда не	5	4
69	та же	2	4
70	тем не	2	4
71	это есть	2	4
72	лишь при	3	4
73	отношение к	5	4
74	в их	8	4
75	должно быть	6	4
76	и то	2	4
77	всех этих	3	4
78	данный момент	3	4
79	он не	6	4
80	не есть	20	4
81	что эта	2	4
82	совершенно не	6	4
83	то же	5	4
84	а с	2	4
85	из которых	2	4
86	хотя бы	4	4
87	в виде	2	4
88	и т.д	2	4
89	в области	2	4
90	может не	2	3
91	а лишь	3	3
92	вопрос о	2	3
93	ее и	6	3
94	к которой	2	3
95	для нас	4	3
96	в нем	28	3
97	от того	3	3
98	то ни	2	3
99	и других	2	3
100	а в	4	3
101	это не	10	3
102	что только	2	3
103	и потому	2	3
104	с тем	2	3
105	прежде всего	2	3
106	в жизни	2	3
107	и того	2	3
108	во всем	7	3
109	от него	3	3
110	и может	3	3
111	конечно не	7	3
112	жизнь и	2	3
113	в данном	2	3
114	ничего общего	2	3
115	и это	12	3
116	и весь	2	2
117	независимо от	3	2
118	себя и	2	2
119	тому что	2	2
120	вследствие этого	2	2
121	сводится к	2	2
122	ценностей не	2	2
123	для него	8	2
124	же время	2	2
125	в свою	3	2
126	нет в	4	2
127	к нему	12	2
128	от себя	10	2
129	к ним	4	2
130	но для	2	2
131	в ней	3	2
132	в виду	3	2
133	в котором	24	2
134	с ее	2	2
135	бы то	2	2
136	ценности и	4	2
137	ни было	4	2
138	от своей	5	2
139	для этой	3	2
140	с ними	3	2
141	но как	5	2
142	говорить о	2	2
143	не было	8	2
144	а это	2	2
145	а для	2	2
146	в основе	5	2
147	отнюдь не	6	2
148	тогда когда	3	2
149	чтобы быть	2	2
150	должен быть	7	2
151	вовсе не	7	2
152	самого факта	2	2
153	конечно в	2	2
154	при условии	2	2
155	культура в	2	2
156	но не	12	2
157	ближе к	3	2
158	было бы	8	2
159	жизни и	8	2
160	тем как	3	2
161	в процессе	2	2
162	в ту	2	2
163	в себя	7	2
164	ко всему	5	2
165	тем самым	4	2
166	и ее	2	2
167	в другом	3	2
168	не знает	5	2
169	этого слова	2	2
170	и только	6	2
171	из него	3	2
