N	2gram	Nazirov_Tv_2	Literetu
1	не только	13	24
2	при этом	8	19
3	но и	8	17
4	а не	6	16
5	в том	8	16
6	в частности	2	15
7	том что	4	14
8	может быть	8	13
9	тогда как	3	13
10	в году	16	13
11	и не	9	12
12	в этом	8	12
13	прежде всего	8	11
14	своего рода	3	11
15	то что	3	10
16	в русской	2	10
17	не в	4	8
18	в целом	6	8
19	и в	20	8
20	только в	2	8
21	не менее	2	7
22	я не	2	7
23	в его	10	7
24	как бы	11	7
25	уже не	3	7
26	в себе	3	7
27	как и	6	6
28	и сам	5	6
29	себя в	2	6
30	xix века	7	6
31	то есть	5	6
32	казалось бы	3	5
33	с этой	3	5
34	что он	6	5
35	наш взгляд	2	5
36	же время	7	5
37	как в	4	5
38	не может	7	5
39	то же	7	5
40	в отличие	2	5
41	уже в	2	5
42	тем самым	4	5
43	на наш	2	5
44	одним из	3	5
45	не столько	2	5
46	в то	10	5
47	отличие от	2	5
48	это не	7	4
49	в конце	6	4
50	но не	5	4
51	еще не	5	4
52	все же	5	4
53	из них	2	4
54	по преимуществу	2	4
55	в своей	6	4
56	так и	6	4
57	никогда не	11	4
58	друг друга	2	4
59	и его	9	4
60	в своих	3	4
61	в этой	5	4
62	в основе	2	3
63	не было	2	3
64	в душе	4	3
65	что в	7	3
66	и есть	2	3
67	с другой	2	3
68	сводится к	2	3
69	что его	2	3
70	одна из	3	3
71	например в	5	3
72	в самом	3	3
73	у него	6	3
74	том же	2	3
75	один из	3	3
76	и др	3	3
77	ли не	2	3
78	в их	3	3
79	приводит к	2	3
80	по отношению	3	3
81	бы не	2	3
82	а в	4	3
83	таким образом	10	3
84	же году	2	3
85	в принципе	4	3
86	и даже	5	3
87	потому что	7	3
88	во всяком	2	3
89	но в	4	3
90	классической литературы	2	3
91	его в	3	3
92	это уже	2	2
93	отнюдь не	4	2
94	у достоевского	30	2
95	превращается в	3	2
96	человека и	3	2
97	в мире	5	2
98	тому же	2	2
99	х годов	3	2
100	что я	2	2
101	для него	3	2
102	читателя в	5	2
103	xviii века	2	2
104	в искусстве	2	2
105	всяком случае	2	2
106	xx века	3	2
107	не является	3	2
108	в нем	3	2
109	отношению к	3	2
110	эта мысль	2	2
111	и только	2	2
112	все эти	4	2
113	самом деле	2	2
114	что не	3	2
115	воздействие на	2	2
116	во многих	2	2
117	роль в	2	2
118	евгения онегина	3	2
119	не случайно	2	2
120	между тем	3	2
121	героя с	2	2
122	тем что	3	2
123	могут быть	2	2
124	и м	2	2
125	более не	2	2
126	как правило	2	2
127	о том	5	2
128	творческого процесса	4	2
129	нет ничего	3	2
130	в россии	2	2
