N	2gram	Tiupa_Narr_1	slovoVRo
1	в романе	2	46
2	чужого слова	4	40
3	и в	11	39
4	может быть	15	37
5	и его	10	33
6	то есть	9	26
7	не только	31	24
8	и не	23	22
9	но и	27	21
10	не может	8	20
11	в нем	4	19
12	до конца	2	17
13	в этом	12	16
14	так и	5	15
15	а не	13	14
16	слова в	4	13
17	как в	4	13
18	отличие от	2	13
19	в пределах	2	13
20	в отличие	2	12
21	не в	6	9
22	и с	3	9
23	прежде всего	4	8
24	себя в	2	8
25	оно не	2	8
26	точки зрения	5	8
27	с его	4	7
28	при этом	19	7
29	для него	4	7
30	еще не	4	7
31	в его	6	7
32	как бы	6	7
33	никогда не	4	7
34	в этих	2	7
35	и даже	2	7
36	как мы	2	7
37	с ним	2	7
38	все же	4	6
39	как и	13	6
40	в своем	3	6
41	но не	4	6
42	она не	2	6
43	в сущности	2	6
44	жизни и	6	6
45	в слове	3	6
46	так сказать	2	6
47	но в	7	6
48	с другой	2	5
49	это не	3	5
50	и для	2	5
51	и все	3	5
52	по себе	4	5
53	том что	7	5
54	или иной	4	5
55	только в	12	5
56	в том	8	5
57	той или	5	5
58	один из	6	5
59	человека в	2	5
60	уже не	8	5
61	с ними	2	5
62	героя и	2	5
63	не менее	3	4
64	отношению к	3	4
65	же время	4	4
66	зависимости от	2	4
67	одна из	4	4
68	в зависимости	2	4
69	по отношению	3	4
70	входит в	2	4
71	то же	8	4
72	в той	2	4
73	в таком	2	4
74	и иных	2	4
75	а в	13	4
76	и на	5	4
77	дело с	2	4
78	в то	4	4
79	здесь не	2	4
80	если она	2	3
81	перед нами	5	3
82	что в	3	3
83	хотя бы	2	3
84	национального языка	2	3
85	установкой на	2	3
86	и от	2	3
87	язык как	2	3
88	в состав	3	3
89	в свою	2	3
90	точек зрения	2	3
91	с установкой	2	3
92	связи с	2	3
93	у него	7	3
94	всех его	2	3
95	и как	3	3
96	в ней	4	3
97	к нему	4	3
98	быть и	2	3
99	этом отношении	3	3
100	лишь в	3	3
101	героя в	3	3
102	а также	6	3
103	сказать что	2	3
104	между тем	3	3
105	еще раз	3	3
106	в особенности	2	3
107	в чем	2	3
108	как это	3	3
109	во всяком	2	3
110	действующих лиц	5	2
111	в данном	11	2
112	с языком	2	2
113	не было	3	2
114	в сфере	2	2
115	хотя и	4	2
116	однако в	3	2
117	в нашем	3	2
118	его и	2	2
119	жизни в	2	2
120	и чужого	2	2
121	не всегда	3	2
122	в себе	6	2
123	что он	3	2
124	она может	2	2
125	с ее	2	2
126	на протяжении	7	2
127	свою очередь	2	2
128	своего и	2	2
129	все что	2	2
130	о нем	3	2
131	всяком случае	2	2
132	точка зрения	5	2
133	сих пор	2	2
134	то что	9	2
135	дело в	2	2
136	вместе с	2	2
137	где они	2	2
138	в форме	2	2
139	так в	4	2
140	в связи	2	2
141	особенно в	2	2
142	именно в	3	2
143	мы не	3	2
144	и т.п	8	2
145	того чтобы	4	2
146	для того	3	2
147	роль в	2	2
148	слов в	2	2
149	или в	6	2
150	также и	3	2
151	в результате	2	2
152	он не	3	2
153	к его	2	2
154	но как	3	2
155	в противовес	3	2
156	о том	4	2
157	в области	2	2
158	в одном	4	2
159	до сих	2	2
