N	2gram	Tiupa_Disk_2	UchenyiS
1	и в	16	14
2	а не	14	10
3	не только	10	10
4	и не	15	8
5	прежде всего	7	8
6	то что	5	7
7	в этом	16	7
8	не может	9	7
9	может быть	16	6
10	все это	2	5
11	то же	6	5
12	но и	11	4
13	в этой	4	4
14	с другой	5	4
15	но в	11	3
16	как и	16	3
17	и то	4	3
18	все же	6	3
19	не следует	3	3
20	в своей	6	3
21	в частности	12	3
22	же время	5	3
23	другой стороны	2	3
24	для него	5	3
25	это не	3	3
26	в то	5	3
27	в области	2	3
28	не о	2	3
29	том что	10	2
30	но не	7	2
31	в том	8	2
32	с его	6	2
33	не в	3	2
34	и для	2	2
35	но это	3	2
36	должна быть	2	2
37	в противовес	5	2
38	не столько	3	2
39	о чем	2	2
40	только в	3	2
41	и с	2	2
42	могут быть	3	2
43	что он	2	2
44	в себе	19	2
45	установку на	2	2
46	этом отношении	4	2
47	сводится к	2	2
48	что и	2	2
49	в его	3	2
50	более чем	2	2
51	между тем	2	2
52	на первый	2	2
