N	2gram	Losev_Prob_5	Hudozhes
1	и в	30	28
2	том что	17	19
3	в ее	3	18
4	и не	12	18
5	в том	12	15
6	а не	5	14
7	не в	7	13
8	в этом	17	13
9	о том	12	12
10	как и	7	11
11	при этом	4	11
12	в его	12	11
13	не только	18	11
14	уже не	6	10
15	но и	13	9
16	в себе	4	9
17	что он	7	8
18	может быть	7	8
19	так и	7	8
20	между тем	2	8
21	я не	2	7
22	жизни в	4	7
23	и все	9	7
24	к тому	2	7
25	об этом	4	7
26	в частности	4	7
27	отношению к	2	7
28	по отношению	2	7
29	с ним	3	7
30	это не	2	6
31	можно сказать	6	6
32	в котором	2	6
33	то что	18	6
34	жизни и	2	6
35	в своей	22	6
36	человеческой жизни	2	6
37	то же	2	6
38	а в	6	6
39	и с	5	6
40	тем что	2	6
41	для себя	5	6
42	в то	4	6
43	и другие	3	5
44	не менее	5	5
45	у него	11	5
46	в своем	11	5
47	как бы	6	5
48	как в	2	5
49	да и	2	5
50	в этой	10	5
51	что в	5	5
52	и сам	4	5
53	в самом	5	5
54	наряду с	2	5
55	никогда не	7	5
56	и его	6	5
57	ничего не	2	5
58	тем не	5	4
59	говорит о	7	4
60	но не	7	4
61	что они	3	4
62	в качестве	4	4
63	для того	3	4
64	о своем	2	4
65	вслед за	2	4
66	и о	5	4
67	он не	3	4
68	что и	6	4
69	и сама	2	4
70	как раз	5	4
71	то и	2	4
72	не может	5	4
73	того чтобы	2	4
74	как будто	3	4
75	только в	9	4
76	в других	3	4
77	бы не	3	3
78	все время	3	3
79	была бы	2	3
80	в них	2	3
81	с другой	6	3
82	о себе	2	3
83	в одном	3	3
84	человека и	4	3
85	прежде всего	6	3
86	в нем	6	3
87	для нас	10	3
88	любви и	4	3
89	самом деле	2	3
90	все что	2	3
91	как о	4	3
92	еще не	3	3
93	одной стороны	3	3
94	было бы	4	3
95	по поводу	2	3
96	в это	2	3
97	несмотря на	6	3
98	раз в	2	3
99	в ней	3	3
100	ли в	2	3
101	не все	2	3
102	на него	2	3
103	а с	4	3
104	с одной	3	3
105	едва ли	4	3
106	и он	4	3
107	внимание на	3	3
108	по его	2	3
109	так же	5	3
110	или в	4	3
111	можно было	2	3
112	и на	6	3
113	что у	5	3
114	будто бы	5	3
115	к нему	3	3
116	мы читаем	6	2
117	только для	2	2
118	он сам	3	2
119	прежде чем	2	2
120	отнюдь не	4	2
121	однако в	3	2
122	за него	2	2
123	именно в	3	2
124	и просто	2	2
125	гораздо более	4	2
126	в духе	3	2
127	вовсе не	8	2
128	со всей	2	2
129	как мы	2	2
130	ли он	2	2
131	с такой	2	2
132	но тем	2	2
133	это уже	2	2
134	этот мотив	4	2
135	бы с	2	2
136	что не	2	2
137	и к	4	2
138	а также	3	2
139	до сих	2	2
140	один из	2	2
141	все же	9	2
142	людей в	5	2
143	не будет	2	2
144	отношение к	2	2
145	из них	2	2
146	вместе с	7	2
147	сих пор	2	2
148	данном случае	2	2
149	но еще	2	2
150	к людям	4	2
151	и тогда	2	2
152	здесь не	7	2
153	того как	5	2
154	еще и	4	2
155	на душе	2	2
156	жизнь в	3	2
157	именно на	2	2
158	во втором	2	2
159	и у	5	2
160	который в	9	2
161	хотя бы	2	2
162	и для	6	2
163	с точки	8	2
164	в данном	2	2
165	и то	5	2
166	тем как	2	2
167	у которого	2	2
168	сказать что	9	2
169	потому что	13	2
170	в виде	10	2
171	точки зрения	10	2
172	в роли	2	2
173	в другом	3	2
174	и только	2	2
175	его в	6	2
176	но в	9	2
177	видит в	3	2
178	тоже не	2	2
179	же не	4	2
180	любви к	2	2
