N	2gram	Vinokur_Ku_2	Hudozhes
1	том что	11	16
2	и в	23	14
3	так и	4	13
4	а не	10	12
5	в том	19	12
6	не только	20	12
7	при этом	2	12
8	прежде всего	8	11
9	и т	39	11
10	в этом	18	11
11	в своей	2	10
12	у него	3	9
13	что он	5	9
14	как и	2	9
15	в качестве	8	9
16	то же	6	9
17	как в	3	8
18	то что	9	8
19	же время	3	8
20	т п	24	8
21	между тем	6	8
22	в этой	6	8
23	в то	4	8
24	в его	5	8
25	ничего не	4	8
26	казалось бы	3	7
27	это не	6	7
28	к тому	4	7
29	уже не	8	7
30	не в	8	7
31	еще не	5	7
32	своего рода	4	7
33	как бы	4	7
34	не может	9	7
35	именно в	3	7
36	а в	3	7
37	никогда не	2	6
38	что в	10	6
39	было бы	15	6
40	в глазах	2	6
41	не менее	7	5
42	перед нами	4	5
43	в частности	2	5
44	об этом	5	5
45	может быть	15	5
46	только в	5	5
47	но и	7	5
48	самом деле	9	5
49	и его	3	5
50	можно было	9	5
51	потому что	25	5
52	ни в	4	5
53	точки зрения	14	5
54	но в	11	5
55	связи с	3	4
56	в своем	2	4
57	т е	22	4
58	и от	2	4
59	и все	2	4
60	на то	4	4
61	можно сказать	4	4
62	а только	3	4
63	тем не	6	4
64	она не	2	4
65	несмотря на	5	4
66	в самом	12	4
67	и о	4	4
68	он уже	2	4
69	в ней	3	4
70	один из	5	4
71	что она	3	4
72	как раз	3	4
73	не было	4	4
74	того что	3	4
75	он не	3	4
76	как будто	2	4
77	в конце	4	4
78	и это	3	4
79	всего лишь	3	4
80	и с	7	4
81	но не	6	3
82	если бы	12	3
83	отнюдь не	4	3
84	что у	2	3
85	превращается в	2	3
86	с этим	3	3
87	же в	3	3
88	это в	2	3
89	во введении	2	3
90	как мы	3	3
91	говорить о	4	3
92	на этом	3	3
93	в пределах	4	3
94	по преимуществу	2	3
95	речь идет	2	3
96	в нем	4	3
97	все же	7	3
98	со стороны	4	3
99	приводит к	5	3
100	то и	3	3
101	в связи	4	3
102	т д	14	3
103	и для	2	3
104	этом отношении	3	3
105	все эти	12	3
106	лишь в	5	3
107	того чтобы	11	3
108	и даже	2	3
109	к этой	3	3
110	с точки	8	3
111	и по	3	3
112	в своих	2	3
113	тем что	3	3
114	однако и	2	3
115	и на	6	3
116	будто бы	2	3
117	а также	3	3
118	ни к	15	2
119	так или	2	2
120	так в	3	2
121	конечном счете	2	2
122	и потому	2	2
123	на фоне	3	2
124	ясно что	5	2
125	вопрос о	9	2
126	или иного	2	2
127	по себе	10	2
128	в конечном	2	2
129	что на	4	2
130	мы знаем	4	2
131	состоит в	2	2
132	да и	6	2
133	в другом	2	2
134	с той	2	2
135	же как	2	2
136	и что	8	2
137	до конца	3	2
138	на себе	4	2
139	никак не	3	2
140	хотя и	4	2
141	слова как	3	2
142	только для	2	2
143	на том	2	2
144	что когда	3	2
145	в форме	3	2
146	что же	5	2
147	в их	2	2
148	все это	5	2
149	если можно	2	2
150	не знает	3	2
151	все равно	2	2
152	и не	16	2
153	на самом	2	2
154	это так	3	2
155	только потому	8	2
156	что не	6	2
157	в речи	6	2
158	того или	2	2
159	не имеет	4	2
160	бы на	2	2
161	должно быть	4	2
162	речь в	5	2
163	своей собственной	3	2
164	той же	2	2
165	или иначе	3	2
166	с ними	2	2
167	с этой	2	2
168	в результате	4	2
169	характер и	2	2
170	в первый	3	2
171	что я	4	2
172	о котором	2	2
173	слова в	6	2
174	отказ от	2	2
175	отсюда и	2	2
176	не следует	5	2
177	здесь не	3	2
