N	2gram	Nazirov_Vr_1	Problemy
1	и не	5	31
2	и в	8	29
3	в его	3	24
4	может быть	4	24
5	в этом	8	22
6	т е	3	21
7	как бы	4	19
8	в нем	6	19
9	точки зрения	2	19
10	для него	2	18
11	у достоевского	4	16
12	не только	9	15
13	то что	7	15
14	но и	7	14
15	и его	3	14
16	то же	5	14
17	рядом с	2	14
18	уже не	2	13
19	с точки	2	13
20	достоевского не	4	12
21	как и	6	12
22	о себе	3	12
23	роман достоевского	2	12
24	достоевского в	7	12
25	не может	2	12
26	таким образом	2	12
27	из подполья	3	10
28	в то	5	10
29	с его	3	9
30	это не	4	9
31	все же	6	9
32	в романе	6	9
33	же время	5	9
34	о нем	6	9
35	в своем	3	8
36	что он	4	8
37	что в	7	8
38	в своей	2	8
39	в том	3	8
40	о достоевском	2	7
41	том что	3	7
42	достоевского и	7	7
43	и как	3	7
44	а в	2	7
45	в себе	2	7
46	но в	6	7
47	все это	4	6
48	в конце	3	6
49	достоевский в	8	6
50	несмотря на	4	6
51	одним из	3	6
52	как раз	2	6
53	в мире	2	6
54	так же	4	6
55	его в	3	6
56	еще не	2	5
57	и о	3	5
58	у него	5	5
59	он не	3	5
60	между тем	5	5
61	и это	2	5
62	с ним	4	5
63	но это	2	4
64	и с	6	4
65	не было	5	4
66	достоевского к	3	4
67	тем что	3	4
68	как же	2	4
69	их в	2	4
70	в этой	2	4
71	человека в	3	4
72	уже в	4	3
73	я не	3	3
74	он сам	2	3
75	никогда не	2	3
76	в них	2	3
77	достоевского с	9	3
78	одна из	2	3
79	достоевский не	3	3
80	и у	3	3
81	в своих	4	3
82	достоевский был	2	3
83	но как	2	3
84	далеко не	3	3
85	отношения к	2	3
86	и уже	3	2
87	связи с	3	2
88	его и	2	2
89	и во	3	2
90	и ее	2	2
91	он писал	2	2
92	же в	2	2
93	достоевского он	2	2
94	при этом	4	2
95	в котором	6	2
96	отношение к	2	2
97	и даже	6	2
98	в той	2	2
99	и что	8	2
100	к себе	2	2
101	у тургенева	11	2
102	в ней	4	2
103	но он	3	2
104	в истории	4	2
105	его на	2	2
106	в россии	5	2
107	же не	2	2
