N	2gram	Propp_Isto_7	Problemy
1	и не	4	31
2	и в	24	29
3	может быть	14	24
4	а не	8	22
5	в этом	12	22
6	т е	16	21
7	как бы	4	19
8	в нем	6	19
9	точки зрения	4	19
10	не только	21	15
11	то что	7	15
12	но и	11	14
13	и его	3	14
14	то же	8	14
15	уже не	2	13
16	как и	6	12
17	не может	14	12
18	таким образом	7	12
19	в самом	2	10
20	в то	2	10
21	только в	6	10
22	героя и	5	10
23	там где	5	10
24	с его	3	9
25	это не	10	9
26	все же	9	9
27	но не	6	9
28	все эти	2	9
29	что он	21	8
30	что в	13	8
31	потому что	9	8
32	в том	7	8
33	прежде всего	2	7
34	вовсе не	4	7
35	том что	10	7
36	не в	9	7
37	она не	2	7
38	так и	5	7
39	в форме	2	7
40	а в	10	7
41	и на	2	7
42	но в	5	7
43	все это	8	6
44	в одной	2	6
45	в конце	3	6
46	не могут	2	6
47	к нему	7	6
48	что она	5	6
49	как в	12	6
50	так же	6	6
51	его в	3	6
52	так как	8	6
53	перед нами	2	5
54	и др	2	5
55	же что	2	5
56	было бы	2	5
57	но все	4	5
58	еще не	8	5
59	и о	2	5
60	у него	10	5
61	он не	6	5
62	героя а	2	5
63	и это	2	5
64	с ним	5	5
65	ничего не	5	5
66	превращается в	3	4
67	из одного	3	4
68	в литературе	2	4
69	что и	8	4
70	но это	3	4
71	в свете	3	4
72	и т	17	4
73	тем что	6	4
74	но эта	2	4
75	как мы	3	4
76	они не	2	4
77	и наконец	3	4
78	в основе	2	4
79	уже в	3	3
80	в другой	3	3
81	никогда не	4	3
82	в них	3	3
83	с другой	9	3
84	все в	2	3
85	ни в	2	3
86	по существу	4	3
87	одна из	7	3
88	кроме того	3	3
89	себе и	3	3
90	он может	4	3
91	на него	2	3
92	в их	4	3
93	другой стороны	8	3
94	тому что	2	3
95	например в	3	3
96	и у	2	3
97	друг друга	2	3
98	отличается от	2	3
99	и здесь	12	3
100	ее как	2	3
101	сказать что	2	3
102	он в	2	3
103	мы должны	4	3
104	и этим	3	3
105	все его	2	3
106	на вопрос	4	2
107	что герой	12	2
108	всех этих	6	2
109	связи с	3	2
110	с этой	6	2
111	но они	3	2
112	и от	2	2
113	вопрос о	3	2
114	и нет	2	2
115	и ее	2	2
116	так что	3	2
117	мы видим	10	2
118	ее он	2	2
119	отсюда же	2	2
120	при этом	4	2
121	эта форма	3	2
122	есть и	4	2
123	а его	3	2
124	на себя	2	2
125	героя его	2	2
126	тот же	2	2
127	кажется что	3	2
128	со своим	4	2
129	конечно не	2	2
130	с героем	2	2
131	что из	2	2
132	до сих	2	2
133	в котором	2	2
134	один из	7	2
135	в один	2	2
136	на его	2	2
137	отношение к	5	2
138	сих пор	3	2
139	данном случае	3	2
140	мы уже	4	2
141	по своим	3	2
142	то и	4	2
143	и даже	3	2
144	нами в	2	2
145	здесь мы	5	2
146	и что	10	2
147	к себе	3	2
148	на этот	2	2
149	или даже	2	2
150	в данном	4	2
151	этот вопрос	2	2
152	но он	2	2
153	его на	2	2
154	героя но	2	2
155	в которой	2	2
156	даже там	2	2
157	е в	2	2
158	с этим	2	2
159	тоже не	3	2
