N	2gram	Losev_Vlad_1	Problema
1	и в	31	44
2	вовсе не	5	37
3	и не	17	35
4	то есть	3	34
5	может быть	6	28
6	потому что	11	25
7	то что	18	23
8	в том	11	21
9	только в	9	19
10	в этом	14	17
11	для нас	4	16
12	также и	10	16
13	сказать что	7	16
14	даже и	9	16
15	и даже	15	14
16	не только	24	14
17	и то	10	14
18	не в	5	13
19	и т	2	13
20	т д	2	13
21	то же	6	13
22	так что	10	12
23	но в	12	12
24	том что	14	12
25	не менее	2	10
26	но и	19	10
27	отнюдь не	3	10
28	у нас	6	10
29	как и	4	10
30	тем не	2	10
31	так и	6	10
32	и от	5	9
33	в нем	4	9
34	и с	14	9
35	так как	8	9
36	что он	12	9
37	в то	8	9
38	никак не	4	9
39	в его	12	9
40	что и	5	9
41	во всяком	2	9
42	и это	2	9
43	таким образом	3	9
44	что в	14	8
45	ни в	2	8
46	а именно	2	8
47	того что	2	8
48	что мы	2	8
49	но это	3	8
50	было бы	2	8
51	он не	10	8
52	что же	5	8
53	как раз	7	8
54	как мы	9	8
55	в себе	4	8
56	и вообще	4	8
57	здесь не	3	8
58	с другой	3	7
59	не может	6	7
60	в связи	3	7
61	уже не	3	7
62	еще и	7	7
63	все эти	3	7
64	и что	6	7
65	мы должны	2	7
66	с ним	5	7
67	это и	2	7
68	указывает на	2	7
69	и потому	6	7
70	никогда не	9	6
71	можно сказать	6	6
72	и если	5	6
73	всяком случае	2	6
74	в целом	3	6
75	такого рода	4	6
76	жизни и	5	6
77	но только	3	6
78	ясно что	2	6
79	и к	6	6
80	о том	11	6
81	все же	3	6
82	в виде	3	6
83	не было	5	5
84	в нашем	4	5
85	в конце	9	5
86	да и	4	5
87	что они	3	5
88	с тем	2	5
89	и сам	6	5
90	хотя и	4	5
91	другой стороны	3	5
92	все это	5	5
93	то и	2	5
94	в своем	4	5
95	а в	9	5
96	точки зрения	2	5
97	и здесь	3	5
98	еще не	2	5
99	за пределы	3	5
100	и о	2	5
101	в своей	4	5
102	как в	3	5
103	собственно говоря	3	5
104	только на	3	5
105	тем самым	2	5
106	и его	7	5
107	едва ли	3	5
108	он сам	2	4
109	но даже	2	4
110	при этом	2	4
111	и притом	3	4
112	совершенно не	2	4
113	ни с	4	4
114	всякого рода	2	4
115	но как	5	4
116	же касается	4	4
117	раз и	3	4
118	на первый	2	4
119	то время	2	4
120	мы уже	7	4
121	а также	5	4
122	на этот	6	4
123	в чем	2	4
124	тут же	7	4
125	тем что	2	4
126	в каком	2	4
127	дело в	4	4
128	уже в	7	3
129	что у	4	3
130	на то	5	3
131	в тех	2	3
132	к тому	3	3
133	жизнь в	2	3
134	и как	4	3
135	в этой	4	3
136	для него	7	3
137	кроме того	7	3
138	в самом	2	3
139	и такие	2	3
140	вся эта	3	3
141	именно так	2	3
142	чем не	2	3
143	и очень	3	3
144	что для	4	3
145	конце концов	3	3
146	и ни	2	3
147	а это	2	3
148	для его	2	3
149	необходимо сказать	2	3
150	об этом	7	3
151	тем более	2	3
152	но не	3	3
153	в качестве	6	3
154	из этого	2	3
155	иной раз	6	3
156	если не	3	3
157	и все	4	3
158	с первого	2	3
159	что такое	2	3
160	хотя бы	2	3
161	ничего не	3	3
162	этот раз	4	3
163	не был	5	2
164	мы будем	2	2
165	время и	2	2
166	в частности	2	2
167	не очень	5	2
168	в отношении	3	2
169	того же	6	2
170	не столько	2	2
171	что все	2	2
172	и можно	2	2
173	он будет	2	2
174	мы читаем	2	2
175	совсем не	4	2
176	но что	3	2
177	никак нельзя	2	2
178	у с	3	2
179	по поводу	12	2
180	со своим	5	2
181	в котором	6	2
182	из них	2	2
183	и за	2	2
184	и до	2	2
185	что дело	2	2
186	и по	8	2
187	как на	2	2
188	в результате	2	2
189	он и	6	2
190	в начале	3	2
191	мы сейчас	7	2
192	как это	7	2
193	нисколько не	2	2
194	всей его	2	2
195	то он	6	2
196	о его	2	2
197	очень мало	2	2
198	по существу	2	2
199	а к	22	2
200	от него	2	2
201	по своему	3	2
202	не имели	2	2
203	между прочим	11	2
204	нам представляется	3	2
205	только к	3	2
206	для нее	2	2
207	для себя	2	2
208	дело не	2	2
209	к толстого	15	2
210	и особенно	4	2
211	себя в	4	2
212	когда он	5	2
213	не будем	2	2
214	вместе с	3	2
215	на основании	2	2
216	даже не	2	2
217	только что	2	2
218	жизнь и	3	2
219	а с	5	2
220	и у	4	2
221	и для	2	2
222	и всегда	3	2
223	это можно	3	2
224	мы и	4	2
225	пока еще	2	2
226	еще на	2	2
227	первый план	2	2
228	он в	3	2
229	разного рода	6	2
230	в которой	4	2
231	это было	6	2
