N	3gram	Vinokur_Ku_1	Vvedenie
1	и т д	14	36
2	для того чтобы	15	20
3	о том что	5	12
4	в том что	15	12
5	тем не менее	4	8
6	не может быть	3	8
7	в этом смысле	3	8
8	то же время	2	6
9	в самом деле	7	6
10	в то же	2	6
11	до сих пор	4	6
12	мере в какой	5	5
13	той мере в	5	5
14	и т п	18	5
15	с другой стороны	6	5
16	не трудно видеть	3	5
17	в той мере	5	5
18	в том чтобы	8	5
19	т е в	2	4
20	по крайней мере	5	4
21	можно было бы	3	4
22	в этом случае	2	4
23	в этом отношении	5	4
24	во всяком случае	5	4
25	по отношению к	8	4
26	так или иначе	2	4
27	в свое время	2	3
28	и в самом	2	3
29	вместе с тем	3	3
30	заключается в том	2	3
31	но все же	2	3
32	что же касается	4	2
33	с точки зрения	9	2
34	не в том	4	2
35	в данном отношении	2	2
36	хотя бы и	2	2
37	в связи с	3	2
38	состоит в том	3	2
39	в соответствии с	3	2
40	обратить внимание на	2	2
