N	2gram	Propp_Morf_1	RusskieA
1	и в	13	36
2	а а	2	25
3	не только	4	22
4	что в	8	19
5	том что	4	19
6	в том	6	17
7	т е	21	17
8	но и	4	16
9	так как	16	15
10	во время	6	14
11	и другие	6	13
12	в этом	14	12
13	в других	3	11
14	это не	6	10
15	как мы	6	10
16	как и	3	10
17	и т	41	10
18	потому что	3	10
19	об этом	4	9
20	т д	39	9
21	а в	7	9
22	с тем	2	8
23	состоит в	2	8
24	у нас	2	8
25	мы увидим	8	8
26	из них	3	8
27	может быть	52	8
28	один из	5	8
29	и по	2	8
30	о том	2	8
31	как это	3	8
32	что они	2	7
33	что и	7	7
34	так и	6	7
35	между тем	5	7
36	представляют собой	11	7
37	и не	12	6
38	для нас	2	6
39	так например	3	6
40	с этого	2	6
41	уже не	2	6
42	таким образом	21	6
43	мы не	8	6
44	не имеет	2	6
45	в виде	2	6
46	то что	8	6
47	этом случае	8	5
48	все же	7	5
49	как будто	2	5
50	как бы	3	5
51	а и	3	5
52	в которых	2	5
53	как в	3	5
54	того как	2	5
55	тому что	4	4
56	к этому	3	4
57	с собой	3	4
58	как уже	2	4
59	в тех	6	4
60	к тому	4	4
61	по существу	12	4
62	представляет собой	17	4
63	одна из	4	4
64	животных и	3	4
65	еще не	3	4
66	связи с	10	4
67	следующим образом	3	4
68	и др	10	4
69	во всех	4	4
70	в некоторых	3	4
71	и их	2	4
72	в россии	2	4
73	не может	14	4
74	в связи	9	4
75	входит в	2	4
76	а с	2	4
77	мы имеем	9	4
78	и что	2	4
79	того что	3	4
80	но это	6	4
81	тем что	4	4
82	только в	2	4
83	не менее	5	3
84	можно сделать	2	3
85	в этих	13	3
86	в качестве	5	3
87	но все	3	3
88	чаще всего	7	3
89	в поле	4	3
90	и к	4	3
91	увидим ниже	5	3
92	тем не	5	3
93	вывод что	2	3
94	на этом	3	3
95	несмотря на	4	3
96	а также	4	3
97	если в	5	3
98	в настоящее	3	3
99	не с	2	3
100	этого момента	3	3
101	или на	3	3
102	не будем	4	3
103	приводит к	2	3
104	то же	7	3
105	она в	2	3
106	с точки	2	3
107	так же	3	3
108	ничего не	4	3
109	точки зрения	2	3
110	как например	2	3
111	настоящее время	3	3
112	из приведенных	2	3
113	далеко не	5	3
114	встречается и	3	2
115	независимо от	3	2
116	в частности	2	2
117	могут быть	16	2
118	в нашем	3	2
119	его и	2	2
120	между собой	4	2
121	е а	2	2
122	та же	2	2
123	с этим	11	2
124	в образе	4	2
125	главным образом	4	2
126	в различных	2	2
127	в в	2	2
128	и как	5	2
129	мы видим	13	2
130	но не	4	2
131	они и	3	2
132	тем и	2	2
133	быть и	2	2
134	в большинстве	3	2
135	она не	2	2
136	но есть	3	2
137	означает что	2	2
138	например в	2	2
139	составные части	7	2
140	на другие	2	2
141	не значит	2	2
142	друг к	2	2
143	и другим	3	2
144	в целом	3	2
145	к другу	2	2
146	значит что	3	2
147	сделать из	2	2
148	что она	2	2
149	не на	2	2
150	тогда как	2	2
151	относятся к	2	2
152	все эти	2	2
153	в какой	3	2
154	на самом	4	2
155	а не	11	2
156	и пр	37	2
157	и для	2	2
158	после чего	2	2
159	или в	4	2
160	этот вопрос	2	2
161	мы можем	2	2
162	хотя и	3	2
163	себя и	2	2
164	и здесь	5	2
165	но в	2	2
166	мы должны	3	2
167	в один	3	2
168	там где	5	2
169	большинстве случаев	3	2
170	иногда в	5	2
171	в числе	2	2
