N	2gram	Vinokur_St_3	Formalny
1	т е	8	34
2	и в	25	24
3	в его	12	23
4	прежде всего	10	22
5	и не	10	20
6	так и	5	18
7	и пр	13	17
8	не может	7	16
9	точки зрения	7	16
10	в этом	24	15
11	может быть	19	14
12	на почве	5	13
13	с точки	4	13
14	таким образом	10	13
15	и т	8	12
16	не менее	2	11
17	как и	4	11
18	в своей	4	11
19	в их	3	11
20	вовсе не	2	10
21	и ее	2	10
22	то же	5	10
23	в ней	4	10
24	а не	5	10
25	и его	3	10
26	все это	8	9
27	в то	7	9
28	же время	3	8
29	в свою	2	8
30	то что	12	8
31	как в	6	8
32	т д	2	8
33	лишь в	4	8
34	произведения и	2	8
35	и на	6	8
36	не в	6	8
37	и с	4	8
38	место в	6	7
39	до конца	3	7
40	не только	12	7
41	с ее	2	7
42	но и	9	7
43	и здесь	3	6
44	было бы	7	6
45	в том	20	6
46	в этой	14	6
47	самом деле	2	6
48	до сих	2	6
49	еще не	2	6
50	как бы	6	6
51	сих пор	2	6
52	в целом	4	6
53	а в	6	6
54	все эти	3	6
55	на основе	2	6
56	должен быть	2	5
57	у нас	4	5
58	и др	4	5
59	во всех	2	5
60	в самом	2	5
61	со стороны	3	5
62	как мы	2	5
63	того что	5	5
64	с другой	5	5
65	но в	5	5
66	с его	3	4
67	независимо от	5	4
68	никогда не	2	4
69	не как	2	4
70	и к	4	4
71	для этого	2	4
72	одной стороны	3	4
73	и может	2	4
74	если бы	4	4
75	всяком случае	4	4
76	т п	6	4
77	в связи	3	4
78	что в	19	4
79	с одной	2	4
80	как на	6	4
81	в которой	4	4
82	с этой	3	4
83	во всяком	4	4
84	как о	2	4
85	к этой	2	4
86	но не	2	3
87	в отношении	2	3
88	всех этих	3	3
89	связи с	3	3
90	борьба с	2	3
91	в них	5	3
92	в жизни	4	3
93	что он	19	3
94	к тому	2	3
95	его как	3	3
96	для него	3	3
97	но это	4	3
98	в каждом	4	3
99	ни на	2	3
100	в общем	4	3
101	на язык	3	3
102	он не	5	3
103	один из	2	3
104	все же	4	3
105	отношение к	4	3
106	отличается от	4	3
107	всего в	4	3
108	в россии	6	3
109	в особенности	4	3
110	не было	4	3
111	и других	2	3
112	мы не	2	3
113	и наконец	3	3
114	этого слова	2	3
115	так сказать	2	3
116	в области	6	3
117	а как	4	2
118	и более	3	2
119	с тем	4	2
120	это не	7	2
121	с этим	7	2
122	в системе	3	2
123	в году	5	2
124	том чтобы	2	2
125	все время	2	2
126	ни в	5	2
127	нас не	2	2
128	уже не	3	2
129	но все	2	2
130	более и	2	2
131	одна из	2	2
132	только в	6	2
133	но есть	2	2
134	и если	3	2
135	одной из	2	2
136	все более	2	2
137	этот образ	2	2
138	от того	2	2
139	к ней	4	2
140	как раз	3	2
141	была бы	4	2
142	нет и	2	2
143	точка зрения	4	2
144	вместе с	2	2
145	от нее	3	2
146	не на	2	2
147	и что	3	2
148	не так	3	2
149	его не	2	2
150	в результате	2	2
151	между тем	6	2
152	в своих	8	2
153	на его	4	2
154	к которому	3	2
155	ничего не	4	2
156	жизни но	2	2
157	и это	5	2
158	на нее	2	2
159	в эту	4	2
160	произведения как	2	2
161	что такое	7	2
