N	2gram	Bakhtin_Pr_1	Problemy
1	и в	38	34
2	и не	42	29
3	как бы	22	27
4	что он	2	23
5	в его	43	22
6	может быть	26	19
7	в нем	15	19
8	не может	27	19
9	и все	3	19
10	как и	7	18
11	к себе	2	17
12	но в	4	16
13	все это	3	16
14	и его	16	16
15	в этом	15	16
16	и с	17	15
17	прежде всего	13	15
18	он не	3	15
19	то же	5	14
20	с самим	2	14
21	к нему	10	14
22	самом деле	6	13
23	но и	9	12
24	же время	3	12
25	и к	3	12
26	в то	4	12
27	себя самого	4	11
28	вовсе не	2	11
29	то что	8	11
30	на самом	4	11
31	не только	9	10
32	слова и	3	10
33	не в	7	9
34	самим собою	2	9
35	а не	5	9
36	никогда не	5	8
37	себя и	3	8
38	в самом	7	8
39	и т	14	8
40	точки зрения	8	8
41	с ним	5	8
42	и для	11	8
43	в другом	2	8
44	слова в	7	7
45	я не	2	7
46	что в	7	7
47	и даже	3	7
48	все же	6	7
49	на него	3	7
50	как мы	7	7
51	что не	4	7
52	там где	6	7
53	в пределах	6	6
54	отношение к	10	6
55	не знает	3	6
56	и на	3	6
57	с ними	4	6
58	с его	2	6
59	от него	3	6
60	отношению к	19	6
61	так и	5	6
62	т п	13	6
63	в плане	7	6
64	в себе	4	6
65	только в	13	6
66	что это	2	5
67	это не	5	5
68	и от	3	5
69	и что	2	5
70	того что	2	5
71	дело идет	2	5
72	в целом	3	5
73	по отношению	21	5
74	таким образом	10	5
75	на них	3	5
76	лишь в	2	5
77	а в	6	5
78	и наконец	6	5
79	нему и	2	5
80	мы должны	2	5
81	что и	2	5
82	к своему	2	5
83	и у	2	5
84	хотя бы	4	5
85	в слове	3	5
86	в чем	2	5
87	то ни	3	4
88	с другой	7	4
89	что все	2	4
90	переходим к	2	4
91	ни было	3	4
92	ни в	11	4
93	да и	3	4
94	но это	3	4
95	на этом	2	4
96	все и	2	4
97	при этом	5	4
98	бы то	3	4
99	как к	2	4
100	человека как	2	4
101	все эти	5	4
102	рядом с	5	4
103	но как	2	4
104	в начале	2	4
105	его в	9	4
106	если бы	3	4
107	этом смысле	3	4
108	но не	12	4
109	еще не	7	4
110	как в	4	4
111	и прежде	5	4
112	в мире	3	4
113	с точки	6	4
114	с другими	3	4
115	тем что	2	4
116	в виде	2	4
117	и это	3	4
118	ничего не	6	4
119	не менее	4	3
120	в каждом	2	3
121	в том	8	3
122	хотя и	3	3
123	в него	2	3
124	в виду	4	3
125	в котором	2	3
126	есть только	2	3
127	другой стороны	4	3
128	как такового	3	3
129	должно быть	5	3
130	слова с	2	3
131	в ней	4	3
132	нуждается в	2	3
133	говорить о	3	3
134	во всем	2	3
135	в высшей	5	3
136	большинстве случаев	5	3
137	с миром	4	3
138	и во	2	3
139	раз и	2	3
140	в ее	4	3
141	том что	3	3
142	между тем	7	3
143	со словом	5	3
144	ивана карамазова	2	3
145	нет и	3	3
146	но зато	2	3
147	в своей	7	3
148	и как	8	3
149	высшей степени	5	3
150	далеко не	5	3
151	не было	2	2
152	человек в	2	2
153	и внешнего	2	2
154	ибо в	2	2
155	столь же	2	2
156	вообще не	7	2
157	вследствие этого	3	2
158	или иной	2	2
159	тем не	3	2
160	в большинстве	5	2
161	например в	3	2
162	совпадает с	2	2
163	не является	3	2
164	он может	2	2
165	в форме	4	2
166	отличается от	2	2
167	в своем	5	2
168	и только	4	2
169	которых мы	4	2
170	что оно	2	2
171	чем не	2	2
172	не входит	10	2
173	того или	2	2
174	особенно в	2	2
175	и мир	2	2
176	той или	2	2
177	о том	4	2
178	сказать что	4	2
179	и должно	3	2
180	себя как	5	2
181	слово в	2	2
182	к которому	4	2
183	или как	3	2
184	вне себя	4	2
185	а как	3	2
186	отнюдь не	19	2
187	в них	5	2
188	он должен	2	2
189	его целом	5	2
190	не с	4	2
191	как его	3	2
192	а к	2	2
193	более того	4	2
194	было бы	8	2
195	мы увидим	3	2
196	со всеми	3	2
197	конечно не	5	2
198	за пределы	12	2
199	во всех	11	2
200	и потому	4	2
201	войти в	2	2
202	слова не	3	2
203	входят в	3	2
204	и события	2	2
205	в отличие	5	2
206	входит в	8	2
207	бы не	2	2
208	но с	3	2
209	к чему	2	2
210	и он	2	2
211	и ее	2	2
212	и вообще	2	2
213	показать что	2	2
214	отличие от	5	2
