N	2gram	Potebnia_M_3	VerxiiNi
1	и в	30	26
2	таким образом	14	22
3	с тем	7	18
4	вместе с	12	15
5	в этом	10	15
6	точки зрения	2	13
7	как бы	3	12
8	в том	32	11
9	может быть	28	10
10	не только	21	10
11	и с	2	10
12	из этих	9	10
13	связи с	2	9
14	что в	17	9
15	но и	19	9
16	в области	2	9
17	так как	13	9
18	с другой	7	8
19	но не	7	8
20	и не	15	8
21	как на	5	8
22	том что	18	7
23	но все	2	7
24	одной стороны	3	7
25	из них	6	7
26	к нему	3	7
27	то что	18	7
28	а с	2	7
29	с одной	7	7
30	потому что	46	7
31	к тому	7	6
32	и потому	4	6
33	несмотря на	2	6
34	что и	13	6
35	все же	2	6
36	так и	11	6
37	все это	4	6
38	в себе	16	6
39	мы должны	4	6
40	о том	2	6
41	образом в	3	5
42	крайней мере	5	5
43	отношение к	2	5
44	до сих	3	5
45	одной из	2	5
46	в его	4	5
47	сих пор	3	5
48	или менее	3	5
49	так же	3	5
50	а не	15	5
51	того чтобы	3	5
52	для того	4	5
53	не имеет	6	5
54	в силу	3	5
55	более или	3	5
56	по крайней	5	5
57	и от	4	4
58	что все	3	4
59	и вместе	3	4
60	что он	6	4
61	в нем	9	4
62	в смысле	4	4
63	в самом	8	4
64	в котором	4	4
65	целый ряд	2	4
66	не может	6	4
67	а в	12	4
68	то же	23	4
69	что оно	11	4
70	и что	10	4
71	и тогда	3	4
72	и по	4	4
73	с другими	5	4
74	в которых	2	4
75	во время	2	4
76	в виде	2	4
77	он не	4	4
78	в то	10	4
79	только в	21	4
80	то есть	34	4
81	в этой	2	4
82	далеко не	4	4
83	не менее	5	3
84	что это	4	3
85	если бы	12	3
86	так или	2	3
87	как о	2	3
88	точно так	12	3
89	к этому	3	3
90	можно сказать	3	3
91	для него	9	3
92	так что	7	3
93	и как	5	3
94	и при	4	3
95	в своем	5	3
96	и если	2	3
97	и о	2	3
98	тем не	3	3
99	отношению к	5	3
100	при этом	3	3
101	уже не	6	3
102	того что	18	3
103	и даже	2	3
104	в которой	3	3
105	в таком	3	3
106	с этой	2	3
107	в других	2	3
108	в одном	2	3
109	уже в	5	2
110	не могут	5	2
111	только не	2	2
112	именно в	3	2
113	одно из	5	2
114	перестает быть	4	2
115	из себя	2	2
116	первое время	2	2
117	в них	5	2
118	по тому	5	2
119	не как	2	2
120	тогда когда	9	2
121	в образе	3	2
122	на все	2	2
123	прежде всего	3	2
124	не всегда	2	2
125	в свою	3	2
126	на то	2	2
127	от них	2	2
128	этого последнего	2	2
129	ему в	2	2
130	к одной	3	2
131	сознании и	2	2
132	мы видели	4	2
133	в начале	3	2
134	что именно	4	2
135	по своему	2	2
136	все что	4	2
137	же время	5	2
138	так например	2	2
139	что мы	8	2
140	еще не	5	2
141	мысль о	5	2
142	вслед за	3	2
143	должно было	2	2
144	бы например	2	2
145	но вместе	4	2
146	и проч	16	2
147	один из	4	2
148	не к	4	2
149	жизни и	2	2
150	то или	2	2
151	связь с	3	2
152	заключает в	5	2
153	только что	8	2
154	в разных	2	2
155	не было	4	2
156	если не	4	2
157	этом отношении	2	2
158	те же	6	2
159	можно только	2	2
160	в одно	3	2
161	и на	3	2
162	людей и	2	2
163	сказать что	5	2
164	не в	15	2
165	мы можем	3	2
166	и наконец	2	2
167	тем и	3	2
168	не могла	2	2
169	и после	2	2
170	ничего общего	2	2
171	и все	3	2
172	и это	4	2
173	относится к	4	2
174	между тем	9	2
175	из него	2	2
176	в новом	2	2
