N	3gram	Vinokur_St_1	Dialekti
1	и т д	21	19
2	с точки зрения	8	12
3	в том что	17	7
4	то же время	4	4
5	по крайней мере	2	4
6	в то же	4	4
7	можно было бы	8	4
8	на то что	4	4
9	с другой стороны	6	4
10	не значит что	3	3
11	не имеет ничего	2	3
12	имеет ничего общего	2	3
13	может быть и	2	3
14	и в этом	3	3
15	ничего общего с	3	3
16	не может быть	5	3
17	что в нем	2	3
18	т д и	2	2
19	на точку зрения	2	2
20	о том что	11	2
21	с одной стороны	2	2
22	т д но	4	2
23	и т п	9	2
24	в этом отношении	7	2
25	до сих пор	7	2
26	во всяком случае	6	2
27	на самом деле	6	2
28	и даже не	2	2
29	то или иное	3	2
