N	2gram	Tiupa_Lite_1	FransuaR
1	и в	8	49
2	то есть	6	32
3	прежде всего	11	19
4	в его	7	18
5	не только	24	17
6	и его	4	17
7	и не	12	15
8	в этом	12	15
9	только в	8	13
10	но и	17	13
11	в году	13	13
12	как и	6	11
13	как бы	7	11
14	и т.п	4	11
15	в этой	4	10
16	для него	2	9
17	и др	3	9
18	в нем	2	9
19	в сущности	2	8
20	все же	4	7
21	один из	3	7
22	жизни и	3	7
23	не может	5	7
24	таким образом	3	7
25	то же	5	7
26	все эти	2	7
27	то что	10	6
28	xviii века	2	6
29	в себя	2	6
30	же время	5	6
31	так и	4	6
32	с их	3	6
33	точки зрения	6	6
34	в то	5	6
35	с его	5	5
36	никогда не	4	5
37	в своем	11	5
38	уже в	5	5
39	из этих	2	5
40	но не	4	5
41	при этом	19	5
42	может быть	13	5
43	относится к	2	5
44	в своей	4	5
45	с точки	2	5
46	роль в	2	5
47	с другой	3	4
48	нового времени	2	4
49	в жизни	6	4
50	в себе	7	4
51	том что	14	4
52	одна из	3	4
53	в своих	4	4
54	не было	3	4
55	а в	3	4
56	лишь в	4	4
57	в области	3	4
58	тем что	2	4
59	но в	3	4
60	с одной	2	3
61	превращается в	2	3
62	человека и	2	3
63	что он	5	3
64	же в	5	3
65	в том	16	3
66	да и	3	3
67	одной стороны	2	3
68	было бы	2	3
69	из них	4	3
70	несмотря на	3	3
71	в самом	3	3
72	даже в	2	3
73	что для	2	3
74	этом отношении	2	3
75	можно было	2	3
76	также и	3	3
77	далеко не	3	3
78	о том	2	3
79	в виду	3	3
80	одного из	3	2
81	связи с	6	2
82	одну из	2	2
83	что в	3	2
84	для них	2	2
85	могут быть	2	2
86	перестает быть	4	2
87	за пределы	2	2
88	в качестве	17	2
89	та же	2	2
90	для понимания	2	2
91	xix века	6	2
92	только то	2	2
93	в пределах	3	2
94	еще не	4	2
95	в формах	4	2
96	по поводу	2	2
97	такого рода	10	2
98	вплоть до	2	2
99	одним из	5	2
100	у него	3	2
101	еще в	4	2
102	из наиболее	2	2
103	в мире	2	2
104	по преимуществу	4	2
105	в их	3	2
106	в связи	4	2
107	ко всему	2	2
108	и даже	3	2
109	и прежде	3	2
110	тому как	2	2
111	своего времени	2	2
112	во всяком	3	2
113	нуждается в	3	2
114	себе в	2	2
115	подобно тому	2	2
116	в другом	2	2
117	в конце	4	2
118	в художественном	4	2
119	тех же	3	2
120	всяком случае	2	2
