N	3gram	Losev_Prob_2	KulturaY
1	и т д	6	14
2	в том что	4	10
3	можно было бы	2	9
4	для того чтобы	2	8
5	с другой стороны	5	7
6	в самом деле	2	7
7	по крайней мере	6	6
8	во всяком случае	10	5
9	само по себе	2	5
10	в этом смысле	5	5
11	тем не менее	12	5
12	не только в	2	4
13	не может быть	3	4
14	в этой области	3	4
15	в связи с	5	3
16	в то же	4	3
17	точно так же	3	3
18	в конце концов	7	3
19	можно сказать что	3	2
20	на то что	4	2
21	может быть только	2	2
22	то или иное	2	2
23	тем самым мы	2	2
24	хотя бы и	3	2
25	в том случае	2	2
26	на самом деле	2	2
27	того или иного	5	2
28	не говоря уже	4	2
29	говоря уже о	4	2
30	в этом случае	7	2
31	и вовсе не	4	2
32	только в том	4	2
33	так или иначе	6	2
