N	2gram	Medvedev_F_3	Literetu
1	и не	30	22
2	и в	27	16
3	при этом	8	15
4	не только	9	14
5	но и	10	14
6	в этом	18	14
7	а не	17	12
8	то что	8	12
9	может быть	25	12
10	в том	7	12
11	не в	12	10
12	то же	15	9
13	так и	21	9
14	того что	3	9
15	в то	7	9
16	в жизни	11	8
17	том что	4	8
18	не может	24	8
19	в этой	2	8
20	как бы	8	8
21	в своей	6	7
22	же время	7	7
23	со стороны	4	7
24	точки зрения	16	7
25	только в	8	7
26	с его	2	6
27	в стихах	2	6
28	с другой	6	6
29	к тому	4	6
30	еще не	6	6
31	в его	7	6
32	и его	19	6
33	в себе	3	6
34	о том	4	6
35	это не	3	5
36	что он	6	5
37	в ее	4	5
38	как и	14	5
39	лишь в	9	5
40	в целом	4	5
41	вместе с	6	5
42	как в	4	5
43	в отличие	2	5
44	этом отношении	3	5
45	в основе	3	5
46	в поэзии	3	5
47	отличие от	2	5
48	место в	10	4
49	но не	5	4
50	никогда не	5	4
51	однако в	2	4
52	даже в	2	4
53	до конца	4	4
54	и для	6	4
55	одним из	3	4
56	отношению к	3	4
57	из них	2	4
58	данном случае	4	4
59	по отношению	3	4
60	жизни в	3	4
61	входит в	8	4
62	в данном	6	4
63	произведения в	6	3
64	все время	6	3
65	в единстве	5	3
66	отнюдь не	8	3
67	прежде всего	4	3
68	более того	6	3
69	в романе	4	3
70	и как	4	3
71	то в	2	3
72	совершенно не	7	3
73	в самом	11	3
74	в сторону	2	3
75	в слове	4	3
76	еще в	3	3
77	и тем	3	3
78	с ее	2	3
79	но уже	2	3
80	жизни и	4	3
81	бы и	3	3
82	уже не	3	3
83	самом деле	16	3
84	с точки	14	3
85	той же	3	3
86	тому как	5	3
87	потому что	7	3
88	там где	7	3
89	как это	4	3
90	отношения к	2	3
91	в области	2	3
92	но в	6	3
93	между тем	7	3
94	художественного произведения	7	2
95	ни было	5	2
96	сознания и	2	2
97	что в	8	2
98	не менее	7	2
99	если бы	12	2
100	то ни	4	2
101	как о	2	2
102	оно не	3	2
103	не как	2	2
104	в конце	3	2
105	к этому	2	2
106	вследствие этого	3	2
107	романа и	2	2
108	по себе	4	2
109	ни с	2	2
110	стороны и	2	2
111	или иной	2	2
112	в нем	15	2
113	и ее	6	2
114	у нас	3	2
115	связи с	5	2
116	так чтобы	2	2
117	художественного творчества	2	2
118	а на	2	2
119	того же	3	2
120	на жизнь	2	2
121	между людьми	3	2
122	можно сказать	3	2
123	было бы	6	2
124	во всех	3	2
125	о нем	3	2
126	в реальное	2	2
127	что и	2	2
128	все же	6	2
129	бы то	4	2
130	время в	3	2
131	и тогда	2	2
132	как мы	8	2
133	так же	9	2
134	как раз	8	2
135	в нас	2	2
136	а и	3	2
137	и только	2	2
138	художественное произведение	11	2
139	человека в	2	2
140	того чтобы	5	2
141	для того	4	2
142	действительности в	3	2
143	ориентировано на	2	2
144	другой стороны	5	2
145	и даже	2	2
146	в своих	6	2
147	и на	3	2
148	мы и	3	2
149	и с	3	2
150	быть только	2	2
151	тем что	5	2
152	подобно тому	4	2
153	он и	3	2
154	же самое	3	2
155	установка на	4	2
156	его в	7	2
157	и потому	5	2
158	здесь не	2	2
159	ее в	3	2
