N	2gram	Vygotskiy__2	UchenyiS
1	и в	32	14
2	а не	7	10
3	не только	12	10
4	и не	10	8
5	то что	21	7
6	в этом	13	7
7	не может	17	7
8	в искусстве	21	6
9	может быть	18	6
10	эстетического объекта	2	6
11	в художественном	6	5
12	хотя бы	3	5
13	художественное произведение	6	5
14	все это	5	5
15	и только	2	5
16	то же	13	5
17	но и	10	4
18	в этой	6	4
19	конечном счете	3	4
20	в их	3	4
21	с другой	3	4
22	в конечном	3	4
23	но в	3	3
24	как и	10	3
25	и то	3	3
26	все же	4	3
27	в своей	3	3
28	в частности	3	3
29	бы то	2	3
30	произведения искусства	4	3
31	очевидно что	2	3
32	для этого	3	3
33	формы в	3	3
34	то ни	2	3
35	же время	2	3
36	другой стороны	2	3
37	это не	2	3
38	в то	5	3
39	не как	3	3
40	было бы	11	3
41	этой области	2	3
42	форму и	2	2
43	том что	21	2
44	но не	2	2
45	в том	37	2
46	как прием	3	2
47	художественной формы	12	2
48	по существу	3	2
49	художественного произведения	5	2
50	мы не	3	2
51	с его	2	2
52	не в	8	2
53	и для	4	2
54	но это	2	2
55	бы и	3	2
56	если бы	6	2
57	только в	7	2
58	искусства как	2	2
59	и с	4	2
60	но даже	2	2
61	тем что	9	2
62	сих пор	5	2
63	при таком	4	2
64	материала и	2	2
65	могут быть	4	2
66	что он	13	2
67	и у	2	2
68	мы получаем	2	2
69	в себе	2	2
70	материал не	3	2
71	как раз	5	2
72	до сих	5	2
73	формы и	6	2
74	же самое	6	2
75	в конце	3	2
76	могли бы	2	2
77	к области	3	2
78	что все	9	2
79	этом отношении	5	2
80	что материал	2	2
81	в самом	12	2
82	не могут	3	2
83	по себе	12	2
84	сводится к	2	2
85	ничего не	4	2
86	самом деле	16	2
87	что она	16	2
88	что и	17	2
89	в его	2	2
90	между тем	4	2
91	конце концов	3	2
92	таким образом	21	2
93	материал для	4	2
94	это было	3	2
95	художественном произведении	5	2
