N	2gram	Vinokur_Ku_1	NovoeSre
1	а не	8	17
2	не может	7	16
3	и в	24	16
4	и не	12	11
5	и есть	2	10
6	что в	17	9
7	он не	2	8
8	в том	30	8
9	как и	2	7
10	это есть	2	7
11	в этом	14	7
12	может быть	13	7
13	с его	4	6
14	никогда не	2	6
15	не в	11	6
16	лишь в	2	6
17	ни в	2	6
18	должен быть	4	5
19	в нем	4	5
20	все это	6	5
21	xix века	5	5
22	в ней	6	5
23	не только	10	5
24	не менее	7	4
25	то что	9	4
26	в них	7	4
27	это не	7	4
28	и все	2	4
29	не было	3	4
30	не имеет	2	4
31	и для	2	4
32	должно быть	3	4
33	есть лишь	3	4
34	потому что	23	4
35	прежде всего	9	4
36	и мы	2	4
37	о том	9	4
38	и потому	4	4
39	к жизни	2	3
40	но и	6	3
41	не есть	4	3
42	должна быть	3	3
43	в своей	2	3
44	в истории	3	3
45	с другой	7	3
46	вопрос о	2	3
47	в духе	3	3
48	и пр	15	3
49	к тому	5	3
50	что такое	6	3
51	с тем	5	3
52	конечно не	2	3
53	как в	4	3
54	еще не	5	3
55	это было	2	3
56	что все	2	2
57	я не	2	2
58	том и	2	2
59	вместе с	7	2
60	так и	7	2
61	что она	3	2
62	для этого	3	2
63	другой стороны	6	2
64	и было	2	2
65	мы говорим	2	2
66	а в	5	2
67	этом смысле	3	2
68	все эти	6	2
69	быть в	2	2
70	уже не	8	2
71	роль в	4	2
72	того чтобы	17	2
73	и даже	3	2
74	хотя бы	10	2
75	но не	5	2
76	так же	4	2
77	по существу	4	2
78	это и	4	2
79	том что	21	2
80	в смысле	2	2
81	можно было	6	2
82	в русском	4	2
83	есть в	4	2
84	и с	5	2
85	и что	5	2
86	с этим	4	2
87	и на	4	2
88	в себе	3	2
89	ли это	2	2
90	с их	3	2
91	в то	2	2
92	не имеют	3	2
93	когда мы	2	2
94	том чтобы	8	2
95	как это	3	2
96	и должно	2	2
97	хотя и	3	2
98	но в	2	2
