N	2gram	Losev_Vlad_2	Mirosoze
1	и в	30	46
2	у достоевского	2	34
3	в нем	4	22
4	у него	19	22
5	может быть	7	21
6	в этом	20	20
7	никогда не	7	18
8	для него	9	18
9	и не	18	18
10	не только	12	18
11	но и	8	15
12	не может	9	15
13	как и	5	13
14	не есть	4	13
15	а не	7	13
16	прежде всего	6	12
17	друг друга	2	12
18	потому что	9	12
19	не было	10	11
20	в ней	4	11
21	но он	3	11
22	у нас	6	11
23	и он	4	11
24	но в	8	10
25	он не	4	10
26	в себе	6	10
27	он был	6	9
28	не в	9	9
29	и есть	2	8
30	но это	4	8
31	как бы	5	8
32	в своем	8	8
33	так как	5	8
34	отношение к	4	8
35	она не	2	8
36	на земле	2	8
37	в этой	4	7
38	человек не	2	7
39	что он	13	7
40	и к	6	7
41	и потому	2	7
42	как в	3	7
43	хотя бы	3	7
44	и для	3	7
45	он сам	2	6
46	что это	4	6
47	так же	4	6
48	того что	5	6
49	жизни и	6	6
50	не могу	2	6
51	то же	4	5
52	я не	4	5
53	в отношении	3	5
54	и вот	3	5
55	совсем не	4	5
56	в самом	2	5
57	те же	3	5
58	это не	2	5
59	в конце	13	5
60	и все	7	5
61	к тому	2	5
62	то что	20	5
63	в своей	5	5
64	для того	2	5
65	и его	6	5
66	в его	11	5
67	и это	3	5
68	что в	12	4
69	до конца	7	4
70	только и	3	4
71	не имеет	2	4
72	в русском	2	4
73	также и	6	4
74	с его	4	4
75	в свою	3	4
76	том что	12	4
77	что и	3	4
78	себя в	2	4
79	так и	5	4
80	уже не	3	4
81	того чтобы	2	4
82	народа и	2	4
83	его на	3	4
84	он же	2	3
85	и от	2	3
86	на все	2	3
87	и можно	2	3
88	ни в	7	3
89	в том	18	3
90	жизни в	2	3
91	не мог	8	3
92	в своих	2	3
93	и на	4	3
94	сказать что	11	3
95	и с	14	3
96	о том	4	3
97	его в	4	3
98	как он	2	3
99	нет ничего	3	3
100	в россии	3	3
101	с ним	5	3
102	в них	3	3
103	и во	2	3
104	с которым	2	3
105	есть и	2	3
106	того как	2	3
107	и она	2	3
108	той же	4	3
109	только в	6	3
110	в чем	2	3
111	уже в	3	2
112	не был	2	2
113	в этих	4	2
114	я и	2	2
115	да и	3	2
116	так что	5	2
117	как у	2	2
118	и если	4	2
119	на его	4	2
120	такого рода	2	2
121	хотя и	6	2
122	же и	2	2
123	к нему	2	2
124	людей в	2	2
125	как к	2	2
126	отношения к	3	2
127	должно быть	3	2
128	его не	2	2
129	а в	11	2
130	в более	2	2
131	не о	2	2
132	точки зрения	7	2
133	приходит к	2	2
134	было для	2	2
135	на этом	2	2
136	него и	2	2
137	бы его	2	2
138	себе в	2	2
139	а за	2	2
140	тогда когда	2	2
141	по себе	5	2
142	которая есть	2	2
143	то в	5	2
144	связи с	8	2
145	после того	2	2
146	и что	5	2
147	тот же	5	2
148	себе и	2	2
149	в сущности	2	2
150	во всех	3	2
151	он уже	5	2
152	к ней	3	2
153	еще в	2	2
154	вместе с	8	2
155	который был	2	2
156	что же	8	2
157	россии и	2	2
158	еще более	3	2
159	что не	2	2
160	можно было	2	2
161	нас в	2	2
162	сам по	2	2
163	правда в	2	2
164	как будто	2	2
165	в которой	4	2
166	ничего не	2	2
