N	2gram	Bakhtin_Fr_1	Stilisti
1	и в	65	42
2	как бы	22	27
3	не только	10	27
4	и т.п	17	24
5	прежде всего	11	22
6	но и	10	15
7	и не	22	14
8	может быть	6	12
9	не может	3	12
10	точки зрения	7	11
11	как и	5	11
12	мы уже	12	11
13	что мы	2	10
14	как мы	6	10
15	в этом	15	10
16	при этом	6	9
17	то что	3	9
18	все же	6	8
19	в ней	6	8
20	речевого общения	3	8
21	в себе	3	8
22	и это	2	8
23	никогда не	6	7
24	и от	2	7
25	и на	11	7
26	потому что	5	7
27	так как	6	7
28	с его	5	7
29	и его	10	7
30	только в	7	7
31	ничего не	3	7
32	или иной	5	6
33	мы будем	3	6
34	не в	4	6
35	в этой	4	6
36	на его	2	6
37	в форме	3	6
38	и так	2	6
39	в нем	13	6
40	во всех	9	6
41	в процессе	2	6
42	так и	10	6
43	речи и	2	6
44	в области	7	6
45	не является	3	5
46	и их	3	5
47	и с	3	5
48	и наконец	2	5
49	в его	9	5
50	в той	5	5
51	с точки	3	5
52	и без	2	4
53	не просто	3	4
54	можно сказать	2	4
55	к тому	2	4
56	влияние на	7	4
57	но все	3	4
58	связаны с	3	4
59	в самом	4	4
60	той или	5	4
61	все это	9	4
62	того что	2	4
63	о том	2	4
64	его в	7	4
65	но в	14	4
66	и к	4	4
67	мы видим	2	4
68	так называемые	2	4
69	на него	2	4
70	уже не	3	4
71	самом деле	3	4
72	и пр	5	4
73	то есть	45	4
74	так сказать	4	4
75	это не	3	3
76	главным образом	6	3
77	для нас	4	3
78	и само	2	3
79	и эта	3	3
80	но для	3	3
81	хотя и	2	3
82	в целом	2	3
83	не к	2	3
84	из них	4	3
85	жизни и	7	3
86	от того	2	3
87	во второй	2	3
88	и вот	2	3
89	и даже	8	3
90	их в	2	3
91	сказать что	6	3
92	и здесь	3	3
93	ни на	2	3
94	в виду	3	3
95	и все	5	3
96	в одном	5	3
97	но при	2	3
98	в ее	3	3
99	том что	6	3
100	в тех	3	3
101	еще не	6	3
102	нет и	2	3
103	отношения к	2	3
104	да и	2	3
105	только на	2	3
106	на самом	6	3
107	между ними	4	3
108	и для	2	3
109	роль в	2	3
110	связи с	4	3
111	не знает	6	3
112	понимания и	3	2
113	в частности	5	2
114	или даже	2	2
115	связанный с	3	2
116	всех его	2	2
117	нам придется	2	2
118	в том	16	2
119	но это	3	2
120	времени и	6	2
121	на отдельные	2	2
122	для него	5	2
123	до конца	2	2
124	несмотря на	2	2
125	значительной степени	2	2
126	форме и	2	2
127	в этих	2	2
128	отношение к	4	2
129	в отношении	6	2
130	этом отношении	3	2
131	еще и	5	2
132	все эти	10	2
133	но эта	2	2
134	в своих	5	2
135	даже и	3	2
136	по своей	3	2
137	нет ничего	3	2
138	и ни	3	2
139	в жизни	4	2
140	в основе	8	2
141	ни к	2	2
142	значение и	2	2
143	что он	3	2
144	но не	2	2
145	по своему	8	2
146	и потому	10	2
147	в своей	5	2
148	сих пор	4	2
149	связь с	5	2
150	как в	5	2
151	мы найдем	2	2
152	в значительной	6	2
153	и он	2	2
154	к нему	3	2
155	в дальнейшем	8	2
156	с ним	3	2
157	или в	2	2
158	этот вопрос	2	2
159	и вообще	3	2
