N	2gram	Vygotskiy__2	Psycholo
1	то что	20	32
2	и в	15	31
3	в том	33	30
4	что в	14	23
5	может быть	9	22
6	таким образом	14	20
7	при помощи	4	20
8	при этом	3	19
9	так как	4	18
10	не может	9	17
11	как и	6	16
12	том что	27	16
13	и не	7	16
14	точки зрения	26	15
15	только в	4	14
16	а не	3	13
17	не только	15	13
18	что и	2	13
19	так же	4	12
20	если мы	6	12
21	мы не	10	12
22	в этом	19	12
23	в самом	11	11
24	с таким	6	11
25	могут быть	2	11
26	социальной психологии	2	11
27	не в	8	11
28	на то	6	10
29	в сущности	9	10
30	того что	17	10
31	потому что	7	10
32	по себе	7	9
33	ни в	2	9
34	как в	4	9
35	самом деле	6	9
36	никогда не	8	8
37	всякий раз	2	8
38	вместе с	6	8
39	все это	4	8
40	показать что	5	8
41	и что	8	8
42	во всяком	7	8
43	что мы	9	8
44	что он	12	7
45	том чтобы	4	7
46	только тогда	2	7
47	и его	4	7
48	заключается в	8	7
49	того чтобы	12	7
50	тому как	2	7
51	сказать что	6	7
52	о том	9	7
53	что это	6	6
54	этой теории	3	6
55	вовсе не	6	6
56	зависимости от	6	6
57	очевидно что	3	6
58	одной стороны	7	6
59	было бы	10	6
60	если бы	8	6
61	из этих	4	6
62	всяком случае	6	6
63	отнюдь не	2	6
64	целый ряд	2	6
65	а в	4	6
66	что она	3	6
67	для того	10	6
68	и даже	5	6
69	в его	2	6
70	и есть	2	5
71	само по	2	5
72	эта теория	2	5
73	и все	3	5
74	тогда когда	5	5
75	не является	9	5
76	все же	4	5
77	мы видим	4	5
78	с одной	7	5
79	для нас	4	5
80	говорит что	5	5
81	несмотря на	4	5
82	как бы	7	5
83	в зависимости	6	5
84	в целом	10	5
85	в процессе	11	5
86	и для	2	5
87	то же	5	5
88	с и	4	5
89	с другой	6	5
90	это есть	2	5
91	иначе говоря	2	5
92	подобно тому	2	5
93	к тому	7	4
94	в которой	4	4
95	в котором	2	4
96	все время	3	4
97	в виду	6	4
98	прежде всего	4	4
99	столь же	2	4
100	в себе	2	4
101	указывает на	2	4
102	отличие от	3	4
103	по существу	5	4
104	же как	2	4
105	мы увидим	2	4
106	в последнее	4	4
107	у него	2	4
108	точка зрения	3	4
109	в этих	2	4
110	со стороны	3	4
111	к этому	4	4
112	в совершенно	4	4
113	те же	3	4
114	для всех	4	4
115	с этой	2	4
116	в результате	3	4
117	мы можем	10	4
118	этого слова	3	4
119	там где	6	4
120	как это	6	4
121	мы имеем	3	4
122	уже в	5	3
123	не могут	2	3
124	состоит в	3	3
125	в частности	6	3
126	к которым	4	3
127	думается что	2	3
128	конечном счете	4	3
129	как совершенно	3	3
130	в своем	9	3
131	точку зрения	6	3
132	что у	3	3
133	с в	4	3
134	рассматриваться как	3	3
135	что все	4	3
136	представление о	5	3
137	вопрос о	5	3
138	в собственном	3	3
139	стороны и	2	3
140	и другой	2	3
141	и к	6	3
142	что на	2	3
143	мы знаем	7	3
144	мысль что	6	3
145	в силу	2	3
146	но не	3	3
147	все что	5	3
148	смысле слова	5	3
149	не можем	3	3
150	из которых	3	3
151	в этой	6	3
152	он не	7	3
153	в конечном	4	3
154	речь идет	2	3
155	но мы	3	3
156	в своей	4	3
157	и той	2	3
158	собственном смысле	3	3
159	так и	8	3
160	что при	3	3
161	так точно	2	3
162	который в	4	3
163	тому чтобы	2	3
164	в отличие	3	3
165	мышления и	16	3
166	что оно	4	3
167	и других	2	3
168	от того	2	3
169	это обстоятельство	2	3
170	и по	3	3
171	той же	2	3
172	в которых	3	3
173	и только	3	3
174	с этим	3	3
175	во всем	2	3
176	и это	3	3
177	что эта	6	3
178	это все	2	3
179	на деле	5	3
180	но в	6	3
181	в основе	3	2
182	в известном	2	2
183	не существует	3	2
184	на вопрос	4	2
185	этих двух	2	2
186	в книге	2	2
187	сама по	2	2
188	и составляет	2	2
189	видели что	5	2
190	казалось бы	8	2
191	уже и	2	2
192	независимо от	4	2
193	этом смысле	2	2
194	в другой	2	2
195	по этому	6	2
196	и как	2	2
197	бы мы	2	2
198	в них	4	2
199	должны будем	2	2
200	в применении	2	2
201	человека и	3	2
202	и теперь	2	2
203	в такой	2	2
204	с ним	3	2
205	на место	2	2
206	смысле этого	3	2
207	утверждает что	3	2
208	бы что	2	2
209	самому себе	2	2
210	есть ли	2	2
211	из всех	2	2
212	психологического исследования	2	2
213	представляет собой	2	2
214	что они	3	2
215	имеем все	2	2
216	более или	2	2
217	что здесь	2	2
218	в качестве	4	2
219	есть нечто	2	2
