N	2gram	Voloshinov_1	Formalny
1	и не	10	30
2	и в	12	27
3	может быть	14	25
4	не может	16	24
5	так и	4	21
6	социальная оценка	2	19
7	и его	13	19
8	таким образом	12	18
9	в этом	4	18
10	а не	5	17
11	точки зрения	14	16
12	самом деле	3	16
13	и пр	3	15
14	в нем	6	15
15	в процессе	6	15
16	то же	5	15
17	между ними	2	15
18	на самом	4	14
19	как и	5	14
20	с точки	2	14
21	не в	4	12
22	если бы	9	12
23	в самом	4	11
24	в жизни	5	11
25	художественное произведение	3	11
26	место в	2	10
27	но и	3	10
28	так как	9	9
29	не только	4	9
30	так же	3	9
31	социального общения	4	9
32	что в	2	8
33	ни в	3	8
34	при этом	6	8
35	в пределах	3	8
36	как бы	13	8
37	с помощью	6	8
38	отнюдь не	5	8
39	и все	2	8
40	то что	5	8
41	только в	6	8
42	не менее	3	7
43	в том	6	7
44	все это	3	7
45	в то	2	7
46	его в	4	7
47	между тем	3	7
48	художественного произведения	7	7
49	в его	2	7
50	там где	2	7
51	истории литературы	2	6
52	все время	6	6
53	с другой	4	6
54	идеологического творчества	2	6
55	все эти	3	6
56	но в	5	6
57	в литературе	4	6
58	оценки и	2	6
59	более того	2	6
60	еще не	3	6
61	все же	4	6
62	в своей	3	6
63	хотя бы	5	6
64	и для	3	6
65	в данном	2	6
66	и ее	3	6
67	вместе с	2	6
68	независимо от	2	5
69	никогда не	5	5
70	зависимости от	4	5
71	ни было	4	5
72	поэтическое произведение	5	5
73	высказывания и	2	5
74	другой стороны	2	5
75	в ней	6	5
76	социальных оценок	3	5
77	в художественном	3	5
78	в зависимости	2	5
79	но не	2	5
80	высказывание как	2	5
81	и потому	2	5
82	если же	2	5
83	уже в	2	4
84	то ни	3	4
85	прежде всего	8	4
86	да и	3	4
87	до конца	2	4
88	и является	4	4
89	бы то	3	4
90	жизни и	4	4
91	данном случае	2	4
92	смысл и	2	4
93	содержания и	2	4
94	и те	2	4
95	от всех	2	4
96	о том	3	4
97	как это	2	4
98	мы можем	2	4
99	между собой	2	4
100	тогда когда	2	4
101	по себе	3	4
102	не есть	2	4
103	том что	5	4
104	социальной жизни	2	4
105	она не	2	4
106	в корне	2	4
107	конечно не	3	4
108	как в	5	4
109	только на	3	4
110	мы не	3	4
111	могут быть	2	4
112	слова и	6	4
113	из этого	3	4
114	в этих	2	3
115	материала и	4	3
116	в какой	2	3
117	это не	2	3
118	формы и	3	3
119	те же	2	3
120	можно сказать	5	3
121	является для	2	3
122	для нас	7	3
123	должна быть	5	3
124	того что	3	3
125	имеет место	2	3
126	в виду	5	3
127	к материалу	4	3
128	по отношению	11	3
129	и что	2	3
130	произведения и	3	3
131	высказывания как	4	3
132	и на	4	3
133	сказать что	7	3
134	и с	3	3
135	и следовательно	5	3
136	нуждается в	3	3
137	к его	2	3
138	и более	3	3
139	в них	3	3
140	ясно что	3	3
141	в условиях	2	3
142	художественном произведении	3	3
143	литературы и	4	3
144	же самое	2	3
145	оно не	2	3
146	отношению к	11	3
147	дело с	2	3
148	уже не	4	3
149	в себе	3	3
150	может стать	2	3
151	в поэзии	3	3
152	в отношении	2	2
153	была бы	2	2
154	на все	2	2
155	ее и	3	2
156	но это	2	2
157	такой же	2	2
158	художественного творчества	3	2
159	в формах	2	2
160	метод в	2	2
161	общения и	2	2
162	совпадает с	2	2
163	но для	3	2
164	известной степени	2	2
165	в котором	3	2
166	и др	5	2
167	от того	4	2
168	жизнью и	2	2
169	допустим что	2	2
170	в своем	2	2
171	справедливо и	3	2
172	в самое	2	2
173	оценок и	2	2
174	свое выражение	4	2
175	слово в	3	2
176	с его	2	2
177	перестает быть	2	2
178	в такой	3	2
179	к этому	2	2
180	стороны и	2	2
181	и притом	2	2
182	а к	2	2
183	за пределы	4	2
184	в основном	2	2
185	мы ни	5	2
186	что и	2	2
187	тем не	3	2
188	как не	2	2
189	внутренней речи	3	2
190	бы не	2	2
191	и содержания	2	2
192	социальной группы	3	2
193	до известной	2	2
194	форма в	2	2
195	быть только	2	2
196	в каком	3	2
197	дело в	4	2
198	героя и	5	2
199	здесь не	3	2
200	ничего не	2	2
