N	2gram	Propp_Isto_1	DiskursI
1	в себе	2	19
2	при этом	3	17
3	в качестве	5	16
4	и в	28	16
5	может быть	25	16
6	как и	4	16
7	в этом	8	16
8	и не	9	15
9	а не	15	14
10	в частности	2	12
11	в отличие	2	12
12	отличие от	2	12
13	представляет собой	4	11
14	но и	10	11
15	но в	8	11
16	том что	7	10
17	не только	12	10
18	со стороны	2	10
19	так и	9	9
20	не может	15	9
21	в том	9	8
22	как в	2	8
23	в рамках	2	7
24	не менее	6	7
25	прежде всего	10	7
26	в нем	2	7
27	но не	5	7
28	себя в	2	6
29	еще не	7	6
30	все же	10	6
31	то же	12	6
32	по своей	2	6
33	ни к	2	5
34	а с	2	5
35	что в	12	5
36	в своем	5	5
37	с другой	6	5
38	для него	2	5
39	героя в	5	5
40	то что	9	5
41	и на	4	5
42	в то	3	5
43	в одном	5	4
44	к этому	2	4
45	в пределах	4	4
46	одной стороны	4	4
47	как бы	2	4
48	отношению к	3	4
49	по отношению	3	4
50	с одной	4	4
51	потому что	4	4
52	в основе	4	4
53	можно назвать	2	4
54	в этой	6	4
55	о том	9	4
56	перед нами	3	3
57	могут быть	4	3
58	восходит к	5	3
59	в этих	7	3
60	столь же	2	3
61	это не	7	3
62	уже не	3	3
63	и как	2	3
64	не в	9	3
65	в исторической	6	3
66	здесь в	2	3
67	не знают	3	3
68	мысль о	2	3
69	например в	5	3
70	он не	2	3
71	в его	5	3
72	в русской	2	3
73	еще в	2	3
74	в котором	3	3
75	в сказании	2	3
76	из них	3	3
77	приводит к	2	3
78	все эти	4	3
79	также и	3	3
80	и его	3	3
81	ведет к	2	3
82	но это	4	3
83	в другом	3	3
84	не знает	5	3
85	как будто	4	3
86	только в	11	3
87	его в	6	3
88	же как	2	2
89	никогда не	14	2
90	а сам	2	2
91	в большинстве	4	2
92	в целом	2	2
93	вследствие этого	2	2
94	первый взгляд	2	2
95	как уже	2	2
96	на первый	2	2
97	что он	10	2
98	должна быть	5	2
99	живет в	2	2
100	легко может	2	2
101	в ней	7	2
102	не с	3	2
103	что и	6	2
104	с той	2	2
105	но уже	2	2
106	вместе с	6	2
107	с ней	2	2
108	что же	3	2
109	не на	2	2
110	именно в	3	2
111	там же	2	2
112	к своему	2	2
113	все это	4	2
114	не более	2	2
115	другой стороны	5	2
116	и для	4	2
117	должно быть	2	2
118	а в	7	2
119	их в	5	2
120	и с	4	2
121	дело в	3	2
122	здесь не	4	2
123	в области	2	2
124	мы имеем	13	2
125	между тем	2	2
