N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	65
2	то есть	5	45
3	как бы	8	22
4	и не	22	22
5	и т.п	6	17
6	в том	12	16
7	в этом	14	15
8	но в	3	14
9	в нем	2	13
10	прежде всего	3	11
11	и на	2	11
12	том числе	3	10
13	и его	6	10
14	и потому	2	10
15	не только	14	10
16	но и	14	10
17	так и	9	10
18	в его	6	9
19	во всех	2	9
20	в основе	5	8
21	и даже	2	8
22	его в	2	7
23	в области	3	7
24	числе и	2	7
25	жизни и	3	7
26	точки зрения	7	7
27	только в	7	7
28	никогда не	4	6
29	не знает	2	6
30	том что	8	6
31	все же	2	6
32	как мы	2	6
33	еще не	6	6
34	при этом	15	6
35	может быть	12	6
36	искусства и	3	6
37	в году	5	6
38	одно из	4	6
39	с его	6	5
40	в одном	4	5
41	в частности	11	5
42	жизни в	4	5
43	потому что	3	5
44	отличие от	5	5
45	или иной	2	5
46	между людьми	2	5
47	для него	2	5
48	в своей	7	5
49	той или	2	5
50	и одновременно	2	5
51	еще и	2	5
52	как в	5	5
53	как и	5	5
54	в своих	2	5
55	между тем	3	5
56	xix века	2	5
57	связи с	2	4
58	и к	3	4
59	не в	10	4
60	в этой	8	4
61	это как	3	4
62	отношение к	2	4
63	совершенно не	3	4
64	в самом	3	4
65	из них	4	4
66	в отличие	5	4
67	мира и	2	4
68	входит в	4	4
69	в жизни	8	4
70	жизни здесь	2	3
71	но одновременно	2	3
72	что в	2	3
73	это не	5	3
74	что он	5	3
75	в ее	5	3
76	мы и	2	3
77	самом деле	3	3
78	о нем	2	3
79	по своей	3	3
80	даже в	4	3
81	с точки	3	3
82	то что	12	3
83	как раз	2	3
84	не может	8	3
85	этом отношении	5	3
86	уже не	3	3
87	во всей	2	3
88	жизни как	2	3
89	с другой	6	3
90	он и	2	3
91	в себе	6	3
92	и вовсе	2	3
93	далеко не	2	3
94	и с	2	3
95	мира в	3	3
96	ни к	3	2
97	но не	4	2
98	к тому	6	2
99	жизнью в	3	2
100	в противоположность	2	2
101	ни с	2	2
102	можно сказать	2	2
103	же в	2	2
104	восходящая к	3	2
105	а затем	3	2
106	в романе	3	2
107	более того	3	2
108	до конца	4	2
109	одной стороны	4	2
110	несмотря на	2	2
111	например в	3	2
112	на его	3	2
113	хотя и	4	2
114	не вполне	2	2
115	для своего	2	2
116	первых десятилетий	3	2
117	и для	4	2
118	в целом	5	2
119	во второй	2	2
120	время в	2	2
121	к жизни	2	2
122	отношения к	3	2
123	с одной	4	2
124	себе самому	3	2
125	и вот	2	2
126	того что	9	2
127	что не	2	2
128	и наконец	3	2
129	одним из	4	2
130	к себе	8	2
131	быть только	2	2
132	но с	2	2
133	еще раз	2	2
134	о том	6	2
135	со второй	2	2
