N	2gram	Bakhtin_Fr_8	Otkroven
1	у него	7	22
2	и в	56	19
3	но и	9	13
4	и не	9	13
5	в этом	14	12
6	а не	2	11
7	не в	3	11
8	может быть	3	11
9	не только	8	11
10	человека и	2	10
11	и все	6	10
12	в нем	8	10
13	никогда не	5	9
14	не было	5	9
15	потому что	6	9
16	прежде всего	6	9
17	он был	12	8
18	ни с	5	7
19	но он	3	7
20	до конца	11	7
21	он не	5	7
22	в его	18	7
23	все это	8	6
24	как и	5	6
25	то что	3	5
26	а в	2	5
27	в том	13	5
28	для него	2	5
29	в этой	6	5
30	в самом	9	5
31	в творчестве	5	5
32	с его	5	4
33	того чтобы	4	4
34	и его	12	4
35	все эти	15	4
36	не может	2	4
37	что в	5	4
38	к нему	2	3
39	в этих	11	3
40	это не	2	3
41	что он	2	3
42	для того	2	3
43	в своих	4	3
44	еще не	10	3
45	и ее	4	3
46	в себе	4	3
47	было бы	2	3
48	когда он	2	3
49	о том	4	3
50	с ним	2	3
51	как бы	11	3
52	уже в	2	2
53	все же	2	2
54	что и	3	2
55	и для	2	2
56	с тем	2	2
57	так и	13	2
58	в своем	3	2
59	как к	2	2
60	что все	4	2
61	к этому	2	2
62	и к	4	2
63	в ее	6	2
64	в которой	4	2
65	в других	2	2
66	что для	3	2
67	том что	8	2
68	так что	3	2
69	в другом	3	2
70	ничто не	2	2
71	и на	7	2
72	и то	2	2
73	что они	2	2
74	сказать что	3	2
75	и с	8	2
76	совсем не	2	2
77	момент в	2	2
78	его в	2	2
79	в своей	2	2
80	так как	4	2
81	и о	3	2
82	не могли	2	2
83	хотя и	2	2
84	но в	6	2
85	и потому	4	2
