N	2gram	Kanaev_Sov_1	StatiiOP
1	и в	7	29
2	в том	4	27
3	в этом	7	21
4	что в	2	19
5	не только	4	19
6	в его	2	13
7	в и	2	13
8	все это	3	11
9	в которой	2	11
10	таким образом	11	10
11	и не	6	9
12	и пр	2	8
13	но в	3	8
14	но все	2	7
15	в самом	2	7
16	вместе с	4	7
17	в одном	3	6
18	вопрос о	4	6
19	все же	3	6
20	и что	2	6
21	прежде всего	5	5
22	было бы	3	5
23	как бы	4	5
24	а не	3	5
25	точки зрения	12	5
26	времени и	2	4
27	не в	3	4
28	и к	3	4
29	в нем	3	4
30	еще более	2	4
31	ничего не	6	4
32	не менее	2	3
33	самого начала	3	3
34	что это	2	3
35	с этим	2	3
36	у нас	3	3
37	и именно	2	3
38	и даже	2	3
39	всяком случае	2	3
40	из них	4	3
41	самом деле	2	3
42	с самого	3	3
43	и по	2	3
44	во всяком	2	3
45	в конце	3	2
46	конечно в	2	2
47	тем не	2	2
48	как и	6	2
49	то ни	2	2
50	в этой	3	2
51	как известно	2	2
52	не дает	2	2
53	на его	2	2
54	такого рода	2	2
55	может быть	12	2
56	тем же	2	2
57	и потому	3	2
58	нет и	4	2
59	в некоторых	2	2
60	собою разумеется	2	2
61	совершенно не	2	2
62	не может	17	2
63	то же	3	2
64	все эти	5	2
65	у всех	3	2
66	при этом	3	2
67	в отличие	2	2
68	что такое	2	2
69	на этот	2	2
70	с точки	5	2
71	в результате	6	2
72	в себе	3	2
73	в один	2	2
74	в которую	2	2
75	как он	3	2
76	так как	4	2
77	само собою	3	2
78	отличие от	2	2
79	в области	3	2
