N	2gram	Losev_Prob_5	NovoeSre
1	а не	5	17
2	не может	5	16
3	и в	30	16
4	нового времени	4	12
5	совсем не	3	12
6	и не	12	11
7	что в	5	9
8	в эпоху	3	9
9	жизни и	2	8
10	он не	3	8
11	в том	12	8
12	не будет	2	7
13	как и	7	7
14	в этом	17	7
15	может быть	7	7
16	никогда не	7	6
17	не в	7	6
18	ни в	4	6
19	в нем	6	5
20	и к	4	5
21	в ней	3	5
22	не только	18	5
23	не менее	5	4
24	то что	18	4
25	в них	2	4
26	это не	2	4
27	и все	9	4
28	новое время	3	4
29	и для	6	4
30	потому что	13	4
31	прежде всего	6	4
32	о том	12	4
33	но и	13	3
34	в своей	22	3
35	жизни в	4	3
36	с другой	6	3
37	человека и	4	3
38	в духе	3	3
39	перейти к	3	3
40	к тому	2	3
41	в ее	3	3
42	с тем	5	3
43	смысле слова	3	3
44	конечно не	2	3
45	как в	2	3
46	еще не	3	3
47	наряду с	2	3
48	сказать что	9	3
49	в новое	3	3
50	я не	2	2
51	все время	3	2
52	у него	11	2
53	вместе с	7	2
54	так и	7	2
55	который в	9	2
56	другой стороны	6	2
57	а в	6	2
58	духа в	2	2
59	с одной	3	2
60	этом смысле	3	2
61	все эти	2	2
62	свободы и	4	2
63	истинного бога	2	2
64	уже не	6	2
65	того чтобы	2	2
66	одной стороны	3	2
67	и даже	14	2
68	хотя бы	2	2
69	но не	7	2
70	так же	5	2
71	по существу	2	2
72	время как	3	2
73	мы не	2	2
74	том что	17	2
75	в смысле	4	2
76	можно было	2	2
77	есть в	2	2
78	и с	5	2
79	и что	6	2
80	равно как	2	2
81	и на	6	2
82	не к	2	2
83	в себе	4	2
84	в то	4	2
85	как будто	3	2
86	такого рода	2	2
87	мира и	2	2
88	но для	2	2
89	хотя и	8	2
90	но в	9	2
91	еще до	2	2
