N	2gram	Tiupa_Lite_3	VrazhdaK
1	в году	5	18
2	не только	14	9
3	в этом	14	8
4	и в	16	8
5	но и	14	7
6	что в	2	7
7	то что	12	7
8	в нем	2	6
9	все же	2	6
10	и даже	2	6
11	в романе	3	6
12	как и	5	6
13	в начале	4	6
14	но в	3	6
15	и с	2	6
16	о нем	2	6
17	то же	9	5
18	и не	22	5
19	между тем	3	5
20	в то	9	5
21	же время	7	5
22	как бы	8	4
23	это не	5	4
24	что он	5	4
25	так же	2	4
26	х годов	15	4
27	в своих	2	4
28	может быть	12	4
29	при этом	15	4
30	несмотря на	2	4
31	о том	6	4
32	я не	2	3
33	с его	6	3
34	связи с	2	3
35	что у	2	3
36	эти слова	2	3
37	в конце	2	3
38	к этому	2	3
39	человека в	2	3
40	на то	2	3
41	в том	12	3
42	раз в	2	3
43	и его	6	3
44	том что	8	3
45	и как	3	3
46	чтобы он	2	3
47	тем что	2	3
48	в его	6	3
49	далеко не	2	3
50	его в	2	3
51	одним из	4	3
52	и т.п	6	2
53	место в	4	2
54	в своей	7	2
55	и а	3	2
56	из них	4	2
57	не менее	2	2
58	никогда не	4	2
59	вместе с	5	2
60	отнюдь не	3	2
61	как раз	2	2
62	не может	8	2
63	а в	5	2
64	тогда как	17	2
65	отношения к	3	2
66	о которой	2	2
67	уже не	3	2
68	к себе	8	2
69	с точки	3	2
70	же в	2	2
71	в глазах	3	2
72	в этой	8	2
73	что я	5	2
74	точки зрения	7	2
75	в свою	2	2
76	и ее	2	2
77	в себе	6	2
78	отношение к	2	2
79	для него	2	2
80	еще не	6	2
81	о чем	3	2
82	писателей в	2	2
83	в мире	16	2
84	а также	4	2
