N	2gram	Nazirov_Tr_1	Problema
1	и в	18	30
2	то есть	3	21
3	то что	4	18
4	не только	8	18
5	том что	4	17
6	в этом	9	17
7	и даже	4	14
8	но и	4	13
9	потому что	2	13
10	в том	2	12
11	в его	3	12
12	и не	7	12
13	о том	2	12
14	в своем	3	11
15	у него	6	11
16	так что	2	11
17	в виде	2	10
18	в этой	4	10
19	все же	5	9
20	который в	2	9
21	но в	6	9
22	и все	4	9
23	в конце	3	8
24	никогда не	2	7
25	что он	6	7
26	как и	5	7
27	в дальнейшем	5	7
28	может быть	7	7
29	так и	5	7
30	говорит о	2	7
31	не в	2	7
32	прежде всего	4	6
33	уже не	2	6
34	и как	3	6
35	несмотря на	5	6
36	как бы	7	6
37	в нем	4	6
38	что и	2	6
39	тут же	2	6
40	и что	4	6
41	и его	6	6
42	и на	7	6
43	его в	2	6
44	с тем	2	5
45	что в	4	5
46	так же	4	5
47	в самом	2	5
48	еще в	2	5
49	не может	5	5
50	не просто	2	5
51	в году	9	5
52	что этот	2	5
53	и то	2	5
54	он и	2	5
55	и с	7	5
56	в частности	2	4
57	отнюдь не	3	4
58	ни в	2	4
59	об этом	4	4
60	но все	2	4
61	любви и	2	4
62	при этом	3	4
63	и сам	3	4
64	не так	2	4
65	iii в	3	4
66	к людям	3	4
67	не мог	2	4
68	и он	3	4
69	в себе	4	4
70	в то	5	4
71	он сам	7	3
72	точно так	2	3
73	в ее	2	3
74	знает что	2	3
75	как будто	3	3
76	еще не	4	3
77	он не	2	3
78	к нему	3	3
79	жизнь и	3	3
80	с ним	3	3
81	в одном	2	3
82	я не	4	2
83	не могут	2	2
84	по словам	2	2
85	это уже	2	2
86	как в	3	2
87	это не	5	2
88	уже в	3	2
89	раз и	2	2
90	один из	3	2
91	к тому	2	2
92	то же	5	2
93	он был	2	2
94	в глаза	2	2
95	бросается в	2	2
96	по поводу	2	2
97	в это	2	2
98	в данном	2	2
99	и за	2	2
100	и до	2	2
101	данном случае	2	2
102	отношение к	2	2
103	этот образ	4	2
104	то и	2	2
105	по мнению	2	2
106	все эти	3	2
107	не за	2	2
108	в таком	2	2
109	тем что	2	2
110	его за	2	2
111	ничего не	2	2
