N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	56
2	в его	4	18
3	все эти	3	15
4	в этом	4	14
5	в том	3	13
6	так и	4	13
7	в этих	3	11
8	как бы	5	11
9	в них	3	11
10	еще не	8	10
11	только в	2	9
12	но и	5	9
13	и не	20	9
14	том что	2	8
15	не только	2	8
16	в нем	4	8
17	во всех	3	8
18	все это	5	8
19	прежде всего	2	6
20	потому что	4	6
21	и все	4	6
22	но в	3	6
23	но не	2	5
24	с его	3	5
25	никогда не	3	5
26	как и	4	5
27	один из	2	5
28	что в	3	5
29	не было	3	5
30	что все	4	4
31	в духе	2	4
32	конечно не	2	4
33	в ней	4	4
34	и потому	7	4
35	того чтобы	2	4
36	их в	3	4
37	так как	9	4
38	одна из	2	4
39	в образе	4	3
40	что и	3	3
41	то что	9	3
42	в форме	2	3
43	уже не	2	3
44	не в	3	3
45	между тем	2	3
46	его к	2	3
47	это не	2	2
48	и во	2	2
49	превращаются в	2	2
50	человека и	6	2
51	что он	4	2
52	бы и	3	2
53	ни в	3	2
54	но это	3	2
55	для него	2	2
56	когда в	2	2
57	и сам	2	2
58	а в	2	2
59	хотя и	5	2
60	в котором	4	2
61	в своей	3	2
62	в мире	5	2
63	а не	7	2
64	и для	3	2
65	мы не	2	2
66	никогда еще	2	2
67	и то	2	2
68	людей и	2	2
69	мир и	2	2
70	что они	7	2
71	с тем	2	2
72	с ним	2	2
73	не могли	2	2
