N	3gram	Losev_Prob_2	Stilisti
1	в то же	4	9
2	для того чтобы	2	7
3	того или иного	5	5
4	с самого начала	2	4
5	то же самое	5	4
6	то что мы	7	4
7	то или иное	2	3
8	не только в	2	3
9	в конце концов	7	3
10	в этом случае	7	3
11	на самом деле	2	3
12	но и в	3	3
13	или хотя бы	2	2
14	же самое время	4	2
15	что же такое	4	2
16	связи с этим	2	2
17	о том что	14	2
18	у нас не	2	2
19	должны были бы	2	2
20	тот или иной	4	2
21	можно сказать что	3	2
22	есть не что	3	2
23	не что иное	3	2
24	в связи с	5	2
25	что иное как	3	2
26	и той же	2	2
27	не может быть	3	2
28	одной и той	2	2
