N	3gram	Losev_Prob_2	VerxiiNi
1	с одной стороны	5	7
2	во всяком случае	10	6
3	в том числе	2	5
4	по крайней мере	6	5
5	до сих пор	4	5
6	более или менее	4	5
7	для того чтобы	2	5
8	том числе и	2	4
9	о том что	14	4
10	всяком случае не	2	3
11	в конце концов	7	3
12	точно так же	3	3
13	в связи с	5	3
14	тем не менее	12	3
15	в том что	4	3
16	так или иначе	6	3
17	можно сказать что	3	2
18	на то что	4	2
19	с самого начала	2	2
20	то или иное	2	2
21	бы то ни	2	2
22	и в этом	3	2
23	может быть и	2	2
24	в то же	4	2
25	то же самое	5	2
26	в значительной мере	3	2
27	ничего общего с	2	2
28	такое положение дела	2	2
