N	2gram	Tiupa_Lite_3	Analitik
1	не только	14	22
2	тогда как	17	20
3	и в	16	18
4	как и	5	14
5	так и	9	14
6	в этом	14	14
7	но и	14	13
8	и его	6	13
9	в частности	11	12
10	том что	8	12
11	в качестве	5	12
12	и не	22	12
13	при этом	15	11
14	коммуникативного события	5	11
15	а в	5	10
16	как бы	8	10
17	то есть	5	10
18	может быть	12	9
19	со стороны	7	9
20	в тексте	4	9
21	что в	2	9
22	а не	12	9
23	в том	12	9
24	с его	6	8
25	в первой	2	8
26	своего рода	10	8
27	и даже	2	8
28	не случайно	3	8
29	всего лишь	5	8
30	с другой	6	7
31	но не	4	7
32	в его	6	7
33	отношению к	4	7
34	во второй	2	7
35	как раз	2	7
36	по отношению	4	7
37	к тому	6	6
38	не в	10	6
39	в начале	4	6
40	для него	2	6
41	еще не	6	6
42	в этой	8	6
43	о том	6	6
44	никогда не	4	5
45	однако в	4	5
46	в случае	2	5
47	в конце	2	5
48	прежде всего	3	5
49	в свою	2	5
50	или иной	2	5
51	того же	2	5
52	такого рода	10	5
53	в самом	3	5
54	что и	2	5
55	в мире	16	5
56	и т.п	6	5
57	другой стороны	2	5
58	лишь в	5	5
59	уже не	3	5
60	той же	3	5
61	в слове	3	5
62	между тем	3	5
63	я в	7	5
64	представляет собой	2	5
65	не менее	2	4
66	о чем	3	4
67	отнюдь не	3	4
68	произведение искусства	6	4
69	в одном	4	4
70	состоит в	6	4
71	по себе	2	4
72	этого текста	2	4
73	что он	5	4
74	можно сказать	2	4
75	и к	3	4
76	и как	3	4
77	себя в	7	4
78	во втором	2	4
79	и сам	2	4
80	и а	3	4
81	все же	2	4
82	внимание на	2	4
83	а и	2	4
84	тем самым	7	4
85	и на	2	4
86	в данном	4	4
87	далеко не	2	4
88	в рамках	4	3
89	личности в	3	3
90	к этому	2	3
91	не всегда	2	3
92	в ее	5	3
93	восходящая к	3	3
94	тому же	5	3
95	было бы	2	3
96	же время	7	3
97	той или	2	3
98	лишь на	2	3
99	к жизни	2	3
100	с ее	3	3
101	в целом	5	3
102	данном случае	4	3
103	как в	5	3
104	то же	9	3
105	этом отношении	5	3
106	еще и	2	3
107	именно в	5	3
108	в году	5	3
109	что не	2	3
110	эстетического отношения	2	3
111	следует признать	2	3
112	точки зрения	7	3
113	подобно тому	2	3
114	он и	2	3
115	в то	9	3
116	его в	2	3
117	здесь не	2	3
118	едва ли	3	3
119	как это	3	3
120	я и	10	3
121	в противоположность	2	2
122	бы и	3	2
123	говоря словами	3	2
124	все они	2	2
125	читателя и	2	2
126	это не	5	2
127	не как	2	2
128	в жизни	8	2
129	себе самому	3	2
130	в нем	2	2
131	и ее	2	2
132	несмотря на	2	2
133	же в	2	2
134	в романе	3	2
135	субъекта и	5	2
136	в соответствии	3	2
137	вплоть до	2	2
138	то в	3	2
139	в противовес	7	2
140	мира и	2	2
141	одной стороны	4	2
142	со всеми	2	2
143	совершенно не	3	2
144	например в	3	2
145	на его	3	2
146	могли бы	2	2
147	хотя и	4	2
148	и потому	2	2
149	а также	4	2
150	по своей	3	2
151	даже в	4	2
152	я с	3	2
153	один из	2	2
154	не с	2	2
155	то что	12	2
156	в первом	2	2
157	когда он	2	2
158	во всех	2	2
159	вместе с	5	2
160	не может	8	2
161	в отличие	5	2
162	эстетического объекта	6	2
163	входит в	4	2
164	в глубине	2	2
165	отношения к	3	2
166	с одной	4	2
167	но с	2	2
168	и вот	2	2
169	о которой	2	2
170	самом деле	3	2
171	в принципе	2	2
172	с точки	3	2
173	и для	4	2
174	в глазах	3	2
175	тому как	3	2
176	обратим внимание	3	2
177	тем что	2	2
178	на себя	2	2
179	в себе	6	2
180	только в	7	2
181	там где	3	2
182	отличие от	5	2
183	но в	3	2
