N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	41
2	и т.п	2	19
3	во всех	3	17
4	в нем	5	16
5	и с	2	16
6	но и	3	13
7	в этом	7	12
8	все это	5	11
9	все эти	2	11
10	прежде всего	4	10
11	не только	5	10
12	то что	4	10
13	и на	2	9
14	и все	4	9
15	о том	4	9
16	никогда не	6	8
17	но в	2	8
18	у него	2	7
19	в них	4	7
20	том что	2	7
21	как и	7	7
22	что в	9	7
23	связаны с	2	7
24	вместе с	2	6
25	в эпоху	9	6
26	сказать что	3	6
27	в то	2	6
28	с его	6	5
29	в ее	3	5
30	так же	2	5
31	так и	2	5
32	и что	2	5
33	в себе	2	5
34	все время	2	4
35	средние века	7	4
36	с другой	3	4
37	нового времени	12	4
38	и от	2	4
39	роль в	2	4
40	не в	6	4
41	в средние	3	4
42	одной стороны	2	4
43	в ней	5	4
44	не может	16	4
45	с одной	2	4
46	как в	3	4
47	того чтобы	2	4
48	и даже	2	4
49	а в	2	4
50	в основе	3	4
51	с этим	2	3
52	в духе	3	3
53	но это	6	3
54	есть в	2	3
55	конечно не	3	3
56	жизни и	8	3
57	и для	4	3
58	и не	11	3
59	потому что	4	3
60	времени и	2	2
61	связана с	2	2
62	все они	2	2
63	для этого	2	2
64	духа в	2	2
65	человека и	3	2
66	что все	2	2
67	в том	8	2
68	это и	2	2
69	ведь и	2	2
70	но не	2	2
71	должна быть	3	2
72	может быть	7	2
73	за пределы	3	2
74	в своей	3	2
75	хотя и	2	2
76	он не	8	2
77	и потому	4	2
78	должен быть	5	2
79	себя в	2	2
80	другой стороны	2	2
81	в центре	2	2
82	для нового	2	2
83	как это	2	2
84	в истории	3	2
85	лишь в	6	2
86	а не	17	2
87	мы не	2	2
88	сильнее и	2	2
89	мира и	2	2
90	это было	3	2
91	в новом	2	2
