N	2gram	Kanaev_Sov_1	Mirosoze
1	и в	7	46
2	в нем	3	22
3	у него	2	22
4	может быть	12	21
5	в этом	7	20
6	и не	6	18
7	не только	4	18
8	не может	17	15
9	как и	6	13
10	а не	3	13
11	прежде всего	5	12
12	у нас	3	11
13	но в	3	10
14	в себе	3	10
15	не в	3	9
16	и есть	2	8
17	как бы	4	8
18	так как	4	8
19	в этой	3	7
20	в нашем	2	7
21	и к	3	7
22	и потому	3	7
23	вопрос о	4	6
24	что это	2	6
25	жизни и	4	6
26	то же	3	5
27	что все	2	5
28	в самом	2	5
29	что она	3	5
30	это не	4	5
31	в конце	3	5
32	и все	3	5
33	в его	2	5
34	что в	2	4
35	в свою	2	4
36	уже не	2	4
37	к чему	2	4
38	в каждом	8	3
39	в том	4	3
40	как он	3	3
41	и во	2	3
42	той же	2	3
43	он в	3	3
44	уже в	3	2
45	или иной	2	2
46	на его	2	2
47	такого рода	2	2
48	у всех	3	2
49	в новых	2	2
50	а в	4	2
51	точки зрения	12	2
52	на этом	2	2
53	мы видим	2	2
54	и что	2	2
55	тот же	2	2
56	вместе с	4	2
57	быть и	2	2
58	что же	5	2
59	еще более	2	2
60	в которой	2	2
61	ничего не	6	2
