N	2gram	Voloshinov_1	Dialekti
1	не есть	3	40
2	и не	26	30
3	это –	4	25
4	и есть	3	19
5	а не	7	18
6	может быть	26	17
7	ничего не	6	17
8	то что	8	16
9	и в	19	15
10	– в	10	15
11	как бы	15	14
12	не имеет	3	14
13	так как	2	14
14	точки зрения	34	14
15	того что	3	13
16	по себе	4	13
17	прежде всего	13	11
18	в том	6	11
19	не может	24	11
20	ясно что	5	11
21	и все	5	11
22	в этом	16	11
23	с ее	2	10
24	в основе	2	10
25	том что	3	10
26	было бы	4	9
27	в виду	2	9
28	все это	3	9
29	мы не	6	9
30	это и	3	9
31	то же	7	9
32	и пр	12	9
33	с точки	20	9
34	ни в	2	8
35	не в	5	8
36	в себе	2	8
37	не только	8	8
38	в чем	2	8
39	и ее	3	8
40	и это	3	8
41	что в	4	7
42	должна быть	2	7
43	не просто	2	7
44	что он	2	7
45	как и	12	7
46	теперь мы	3	7
47	и его	19	7
48	или в	2	7
49	и вообще	2	7
50	только в	9	7
51	же время	3	6
52	и даже	2	6
53	в результате	9	6
54	сказать что	4	6
55	вовсе не	5	6
56	если бы	2	6
57	в то	3	6
58	что и	2	6
59	нет ничего	3	6
60	сама по	2	5
61	так и	11	5
62	в своем	2	5
63	можно сказать	3	5
64	– как	2	5
65	как же	4	5
66	того чтобы	5	5
67	в ней	4	5
68	но если	2	5
69	в нем	10	5
70	другими словами	2	5
71	– не	6	5
72	таким образом	17	5
73	именно в	5	5
74	и на	4	5
75	о том	2	5
76	быть в	2	5
77	то в	2	5
78	в смысле	6	5
79	в сущности	3	5
80	– это	8	5
81	если мы	11	5
82	для того	4	5
83	что такое	2	5
84	и для	11	5
85	той же	2	5
86	в каком	3	5
87	что все	2	4
88	и как	3	4
89	жизни и	2	4
90	но и	8	4
91	так же	7	4
92	и с	2	4
93	мы должны	3	4
94	отнюдь не	6	4
95	не как	2	4
96	этом смысле	2	4
97	– и	4	4
98	то ни	8	4
99	ничего общего	5	4
100	она не	2	4
101	еще не	4	4
102	как раз	2	4
103	бы в	2	4
104	должны быть	3	4
105	хотя бы	5	4
106	в его	6	4
107	в свою	2	3
108	и той	2	3
109	для всех	2	3
110	и следовательно	3	3
111	совершенно не	3	3
112	ни о	2	3
113	все эти	7	3
114	с этим	4	3
115	в истории	3	3
116	нет ни	2	3
117	но в	7	3
118	от этого	2	3
119	сознания и	3	3
120	и та	2	3
121	к этому	5	3
122	от нее	2	3
123	может осуществиться	2	3
124	– то	3	3
125	у нас	2	3
126	этот момент	2	3
127	мы уже	2	3
128	общего с	3	3
129	за пределы	5	3
130	в своей	3	3
131	и потому	5	3
132	или вообще	2	3
133	быть и	3	3
134	бы и	2	3
135	как в	4	3
136	– все	3	3
137	одной и	2	3
138	что не	2	3
139	из которых	2	3
140	в данном	4	3
141	то мы	2	3
142	мы можем	2	3
143	могут быть	2	3
144	в области	3	3
145	от него	2	3
146	не менее	4	2
147	не могут	3	2
148	в частности	2	2
149	в отношении	4	2
150	с этой	2	2
151	из этих	2	2
152	вопрос о	4	2
153	по законам	3	2
154	к своему	2	2
155	слово –	4	2
156	но все	3	2
157	свою очередь	2	2
158	не дает	3	2
159	кроме того	6	2
160	при этом	8	2
161	мог бы	2	2
162	в самом	10	2
163	понять и	2	2
164	себе и	2	2
165	совпадает с	2	2
166	никогда не	2	2
167	в котором	3	2
168	из них	3	2
169	и их	2	2
170	другой стороны	6	2
171	и только	2	2
172	не было	3	2
173	от того	4	2
174	лишь в	9	2
175	в данный	2	2
176	должно быть	2	2
177	момент –	2	2
178	же и	2	2
179	необходимо чтобы	5	2
180	от одного	3	2
181	а как	3	2
182	чем же	4	2
183	и во	2	2
184	в ее	7	2
185	все же	8	2
186	самом же	2	2
187	не будет	4	2
188	в качестве	2	2
189	но именно	3	2
190	одной из	3	2
191	в целях	3	2
192	конечно не	5	2
193	как вещь	2	2
194	в каком-нибудь	2	2
195	нет и	4	2
196	тем не	2	2
197	нем нет	2	2
198	данный момент	2	2
199	во всех	7	2
200	что же	4	2
201	допустим что	2	2
202	или иначе	2	2
203	во всяком	5	2
204	тем что	2	2
205	но для	2	2
206	и при	3	2
207	и вне	2	2
208	отношении к	4	2
209	психической жизни	4	2
210	в которой	3	2
211	отличие от	5	2
