N	2gram	Medvedev_V_1	Istorich
1	и в	26	26
2	т е	18	22
3	мы имеем	3	14
4	никогда не	4	13
5	что в	10	12
6	таким образом	31	12
7	в том	15	12
8	в этом	26	12
9	мы видели	3	11
10	может быть	22	11
11	с другой	11	10
12	в образе	2	10
13	том что	8	10
14	и т	23	10
15	и не	19	10
16	не только	25	10
17	что он	4	9
18	еще не	2	9
19	но и	10	9
20	в нем	6	8
21	все же	5	8
22	вместе с	7	8
23	другой стороны	8	8
24	т д	14	8
25	все эти	6	8
26	с одной	2	7
27	одной стороны	2	7
28	например в	3	7
29	и его	6	7
30	у него	6	7
31	о том	10	7
32	но в	2	7
33	то что	6	6
34	ее в	4	6
35	не может	17	6
36	как он	2	6
37	у нас	2	5
38	как и	7	5
39	показывают что	3	5
40	в ней	2	5
41	в его	14	5
42	то это	2	5
43	так и	5	5
44	то же	10	5
45	как это	12	5
46	в то	6	5
47	только в	7	5
48	его в	3	5
49	с тем	3	4
50	это не	7	4
51	из этих	7	4
52	прежде всего	13	4
53	зависит от	2	4
54	с его	3	4
55	в книге	2	4
56	как бы	5	4
57	что и	3	4
58	после этого	2	4
59	что оно	3	4
60	и он	2	4
61	и по	3	4
62	у них	2	4
63	но как	3	4
64	например у	2	3
65	связана с	2	3
66	при помощи	3	3
67	видели что	3	3
68	и ее	4	3
69	если бы	3	3
70	в частности	11	3
71	могут быть	5	3
72	в них	4	3
73	и от	3	3
74	в одном	4	3
75	к этому	9	3
76	не в	6	3
77	же как	2	3
78	они не	2	3
79	в качестве	11	3
80	так например	2	3
81	она не	3	3
82	том как	3	3
83	главным образом	7	3
84	от того	2	3
85	один из	5	3
86	когда он	3	3
87	в своей	4	3
88	во сне	21	3
89	что она	2	3
90	и через	2	3
91	а в	3	3
92	из которых	2	3
93	и наконец	2	3
94	вот почему	4	3
95	как на	3	3
96	или в	3	3
97	в своих	2	3
98	их в	6	3
99	сказать что	5	3
100	в себе	6	3
101	не было	7	3
102	попал в	2	3
103	далеко не	2	3
104	перед нами	4	2
105	о чем	2	2
106	и как	3	2
107	в своем	8	2
108	что у	2	2
109	отличается от	2	2
110	с этим	3	2
111	вовсе не	3	2
112	стороны и	2	2
113	утверждать что	4	2
114	это мы	3	2
115	можно сказать	4	2
116	к тому	4	2
117	сводится к	3	2
118	мы знаем	3	2
119	по отношению	7	2
120	можно указать	2	2
121	что они	3	2
122	одна из	4	2
123	как у	2	2
124	но не	2	2
125	так же	3	2
126	такое понимание	2	2
127	в последнем	2	2
128	всех его	2	2
129	только то	2	2
130	что при	2	2
131	что мы	2	2
132	было бы	7	2
133	него в	3	2
134	но для	2	2
135	относится к	2	2
136	на эти	2	2
137	и др	9	2
138	даже в	5	2
139	отношению к	7	2
140	жизни и	3	2
141	в форме	3	2
142	он не	2	2
143	только что	4	2
144	человека в	2	2
145	а не	7	2
146	того что	3	2
147	что не	3	2
148	должны быть	2	2
149	его не	3	2
150	можно было	2	2
151	с ними	4	2
152	знаем что	2	2
153	он и	2	2
154	в которых	3	2
155	из его	3	2
156	самого себя	2	2
157	ту же	2	2
158	зависимости от	5	2
159	в этой	4	2
160	которые в	2	2
161	и формы	2	2
162	мира и	3	2
163	отметить что	2	2
164	не вполне	2	2
165	нет ни	2	2
166	е в	2	2
167	значит что	2	2
