N	2gram	Losev_Vlad_2	Myshleni
1	в том	18	42
2	том что	12	35
3	таким образом	3	25
4	точки зрения	7	24
5	в этом	20	24
6	и в	30	20
7	что в	12	19
8	заключается в	2	18
9	то же	4	16
10	то что	20	15
11	не только	12	15
12	как мы	11	13
13	при этом	5	12
14	в их	2	12
15	потому что	9	12
16	может быть	7	12
17	в целом	4	11
18	так же	4	11
19	в его	11	11
20	мы должны	4	11
21	с точки	3	11
22	того что	5	10
23	так как	5	10
24	в отношении	3	10
25	и то	5	10
26	в себе	6	10
27	только в	6	10
28	и как	3	9
29	но и	8	9
30	как это	7	9
31	как и	5	9
32	того же	5	9
33	тот же	5	9
34	что и	3	9
35	и не	18	8
36	и что	5	8
37	в результате	5	8
38	тогда когда	2	8
39	было бы	9	8
40	вместе с	8	8
41	как бы	5	7
42	в своей	5	7
43	а не	7	7
44	того чтобы	2	7
45	уже в	3	6
46	к тому	2	6
47	такого рода	2	6
48	мы видели	2	6
49	в самом	2	6
50	не может	9	6
51	те же	3	6
52	и на	4	6
53	сказать что	11	6
54	его в	4	6
55	с тем	2	6
56	что он	13	6
57	той же	4	6
58	можно было	2	6
59	в частности	2	5
60	никогда не	7	5
61	это не	2	5
62	на то	2	5
63	и его	6	5
64	с этим	5	5
65	и к	6	5
66	все же	9	5
67	о том	4	5
68	мы уже	2	5
69	так и	5	5
70	как в	3	5
71	для того	2	5
72	все эти	5	5
73	в своем	8	4
74	первый план	2	4
75	для нас	7	4
76	друг друга	2	4
77	с этой	4	4
78	как он	2	4
79	и с	14	4
80	к этому	6	4
81	на первый	2	4
82	и при	2	4
83	по своему	2	4
84	в сущности	2	4
85	не в	9	4
86	и для	3	4
87	во всяком	6	4
88	в области	3	4
89	на этом	2	3
90	не менее	7	3
91	в этих	4	3
92	и от	2	3
93	точно так	3	3
94	на все	2	3
95	так что	5	3
96	в этой	4	3
97	но что	5	3
98	себе и	2	3
99	в виду	2	3
100	всяком случае	6	3
101	со стороны	4	3
102	в связи	8	3
103	именно в	4	3
104	должно быть	3	3
105	на его	4	3
106	но в	8	3
107	и во	2	3
108	по двум	2	3
109	приходит к	2	3
110	по существу	3	3
111	но не	3	3
112	наряду с	2	3
113	себя в	2	3
114	на этот	4	3
115	нас в	2	3
116	ни в	7	3
117	в виде	3	3
118	связи с	8	3
119	в чем	2	3
120	в которой	4	3
121	содержит в	4	2
122	мы будем	3	2
123	прежде всего	6	2
124	в настоящее	2	2
125	это мы	5	2
126	что если	2	2
127	свою очередь	2	2
128	в свою	3	2
129	для него	9	2
130	что это	4	2
131	том чтобы	2	2
132	в ней	4	2
133	в нем	4	2
134	к нему	2	2
135	другими словами	5	2
136	данном случае	2	2
137	в отличие	3	2
138	здесь мы	3	2
139	не имеет	2	2
140	а в	11	2
141	во многих	2	2
142	также и	6	2
143	в данном	3	2
144	из этих	3	2
145	в начале	4	2
146	настоящее время	2	2
147	говоря о	3	2
148	что эти	2	2
149	их в	2	2
150	когда мы	3	2
151	под влиянием	3	2
152	нисколько не	2	2
153	уже и	2	2
154	это в	3	2
155	у него	19	2
156	в следующем	3	2
157	с которым	2	2
158	том же	3	2
159	никак не	3	2
160	которую он	7	2
161	а также	10	2
162	даже в	2	2
163	не есть	4	2
164	мысли и	2	2
165	того как	2	2
166	если не	2	2
167	в той	2	2
168	и он	4	2
169	к этим	2	2
170	в таком	3	2
171	это значит	2	2
172	на котором	2	2
173	и это	3	2
174	здесь не	4	2
175	едва ли	3	2
176	отличие от	3	2
