N	3gram	Tiupa_Teor_1	Analitik
1	кадров внутреннего зрения	7	7
2	в сочетании с	2	7
3	факторов художественного впечатления	3	6
4	в том что	8	6
5	в данном случае	5	5
6	с одной стороны	2	4
7	так и не	4	4
8	состоит в том	5	4
9	по отношению к	4	4
10	мы имеем дело	2	3
11	как и в	2	3
12	тем не менее	3	3
13	того или иного	3	3
14	в своем составе	3	3
15	в самом начале	2	3
16	то же время	5	2
17	в отличие от	6	2
18	организации феноменов ментального	2	2
19	феноменов ментального внутреннего	2	2
20	присутствия в мире	5	2
21	гостьи с дудочкой	2	2
22	с точки зрения	3	2
23	в то же	5	2
24	в этой системе	2	2
25	субъектной организации художественного	3	2
26	милой гостьи с	2	2
27	с другой стороны	5	2
28	не только не	2	2
29	организации художественного произведения	2	2
30	и тем самым	2	2
31	в конечном счете	6	2
32	в соответствии с	2	2
33	в этом смысле	2	2
34	тогда как в	2	2
35	бенвенист ритм манифестирован	2	2
36	тех или иных	3	2
