N	2gram	Vinokur_St_3	Dialekti
1	и не	10	30
2	т е	8	25
3	и т	8	21
4	т д	2	19
5	и в	25	18
6	ничего не	4	17
7	может быть	19	17
8	точки зрения	7	17
9	ни в	5	15
10	так что	11	15
11	не имеет	2	15
12	а не	5	14
13	потому что	5	14
14	что в	19	13
15	то что	12	13
16	не только	12	13
17	если бы	4	12
18	было бы	7	12
19	и что	3	12
20	с точки	4	12
21	в этом	24	12
22	не может	7	12
23	что это	16	11
24	что он	19	11
25	как бы	6	11
26	все это	8	11
27	так как	3	11
28	прежде всего	10	10
29	несмотря на	3	10
30	то же	5	10
31	что такое	7	10
32	сказать что	4	10
33	никогда не	2	9
34	это не	7	9
35	в том	20	9
36	это есть	4	9
37	так и	5	9
38	том что	15	9
39	но это	4	8
40	к нему	4	8
41	в каком	4	8
42	не просто	2	7
43	вовсе не	2	7
44	то в	4	7
45	но и	9	7
46	мы находим	2	7
47	что не	2	7
48	с другой	5	6
49	можно сказать	4	6
50	не было	4	6
51	не в	6	6
52	его не	2	6
53	в то	7	6
54	ни на	2	6
55	и ни	2	6
56	в чем	4	6
57	но в	5	6
58	в этих	11	5
59	на то	5	5
60	и пр	13	5
61	все же	4	5
62	отношение к	4	5
63	в отношении	2	5
64	в особенности	4	5
65	а в	6	5
66	и с	4	5
67	говорить о	3	5
68	в виду	2	5
69	и более	3	4
70	по крайней	4	4
71	у пушкина	22	4
72	в конце	6	4
73	к тому	2	4
74	что эта	2	4
75	во всяком	4	4
76	об этом	5	4
77	крайней мере	4	4
78	мы видим	4	4
79	но не	2	4
80	же время	3	4
81	в котором	5	4
82	другой стороны	5	4
83	как раз	3	4
84	как мы	2	4
85	к ней	4	4
86	о том	8	4
87	всех этих	3	3
88	тому что	3	3
89	в них	5	3
90	точку зрения	2	3
91	этом смысле	4	3
92	не буду	2	3
93	не является	3	3
94	или иной	2	3
95	что я	3	3
96	что они	2	3
97	говорит что	5	3
98	на себе	2	3
99	он не	5	3
100	в его	12	3
101	если в	2	3
102	гораздо более	2	3
103	один из	2	3
104	в их	3	3
105	в самом	2	3
106	но все	2	3
107	самом деле	2	3
108	была бы	4	3
109	только что	2	3
110	что для	3	3
111	конце концов	3	3
112	в ней	4	3
113	могут быть	2	3
114	только в	6	3
115	утверждать что	2	3
116	на этом	3	2
117	не менее	2	2
118	но они	2	2
119	не был	2	2
120	того что	5	2
121	в виде	3	2
122	в качестве	4	2
123	как в	6	2
124	с этой	3	2
125	не как	2	2
126	точка зрения	4	2
127	из этих	6	2
128	в каждом	4	2
129	к этому	3	2
130	о которых	3	2
131	как и	4	2
132	что именно	2	2
133	такой же	2	2
134	что если	2	2
135	что здесь	4	2
136	как о	2	2
137	для него	3	2
138	до сих	2	2
139	только тогда	2	2
140	еще не	2	2
141	одной стороны	3	2
142	и может	2	2
143	для того	2	2
144	но есть	2	2
145	это за	2	2
146	на что	2	2
147	исторической эпохи	2	2
148	относится к	4	2
149	всяком случае	4	2
150	тем более	3	2
151	как можно	2	2
152	в своей	4	2
153	дело не	2	2
154	сих пор	2	2
155	со стороны	3	2
156	и тогда	2	2
157	нас не	2	2
158	для этого	2	2
159	как например	8	2
160	т п	6	2
161	с этим	7	2
162	а с	2	2
163	этом отношении	4	2
164	с одной	2	2
165	все эти	3	2
166	мы имеем	5	2
167	уже не	3	2
168	и у	2	2
169	и для	4	2
170	отличается от	4	2
171	между собою	2	2
172	то он	2	2
173	то и	2	2
174	что касается	7	2
175	он и	2	2
176	в которых	2	2
177	но как	2	2
178	в другом	3	2
179	можно найти	2	2
180	и это	5	2
181	заметить что	2	2
182	время как	4	2
183	если и	2	2
184	это было	8	2
