N	2gram	Voloshinov_1	Dialekti
1	не есть	2	40
2	и не	4	30
3	и в	16	18
4	может быть	17	17
5	точки зрения	8	17
6	в нем	4	16
7	и есть	3	16
8	ни в	5	15
9	что в	3	13
10	то что	3	13
11	не только	7	13
12	и даже	4	13
13	было бы	2	12
14	с точки	6	12
15	в этом	9	12
16	не может	8	12
17	что это	2	11
18	что он	2	11
19	как бы	5	11
20	учение о	3	11
21	все это	4	11
22	так как	4	11
23	прежде всего	9	10
24	то же	2	10
25	что такое	5	10
26	сказать что	7	10
27	никогда не	2	9
28	отнюдь не	4	9
29	в том	3	9
30	так и	4	9
31	том что	3	9
32	но это	2	8
33	совершенно не	8	8
34	в каком	2	8
35	не существует	2	7
36	и как	3	7
37	но и	4	7
38	что не	2	7
39	можно сказать	4	6
40	хотя бы	4	6
41	и вот	3	6
42	в чем	5	6
43	с ним	2	6
44	но в	4	6
45	в этих	3	5
46	есть и	2	5
47	и мы	2	5
48	и пр	12	5
49	не нуждается	2	5
50	отношение к	5	5
51	что оно	2	5
52	а в	3	5
53	и с	8	5
54	говорить о	2	5
55	по крайней	3	4
56	быть может	2	4
57	во всяком	3	4
58	крайней мере	3	4
59	мы видим	2	4
60	только то	2	4
61	так же	2	4
62	и притом	3	4
63	только и	2	4
64	как мы	4	4
65	мы можем	9	4
66	и вообще	2	4
67	о том	2	4
68	как это	3	4
69	для меня	2	4
70	может иметь	2	3
71	сознания и	2	3
72	в них	2	3
73	этом смысле	3	3
74	что и	2	3
75	меньше всего	2	3
76	конечно не	6	3
77	и о	2	3
78	он не	2	3
79	в его	4	3
80	и потому	3	3
81	и всех	2	3
82	один из	2	3
83	нем нет	2	3
84	жизни и	3	3
85	отношения к	3	3
86	мысли и	4	3
87	даже не	3	3
88	только на	3	3
89	в самом	2	3
90	на самом	4	3
91	самом деле	6	3
92	в науке	2	3
93	в основе	3	3
94	могут быть	3	3
95	нуждается в	5	3
96	только в	4	3
97	и все	4	3
98	на этом	3	2
99	не менее	2	2
100	поэтому и	2	2
101	же как	2	2
102	в частности	2	2
103	не знает	2	2
104	сравнению с	3	2
105	и говорить	2	2
106	с этой	2	2
107	из этих	2	2
108	с другими	3	2
109	к этому	2	2
110	ни было	2	2
111	как и	2	2
112	связанные с	2	2
113	для него	6	2
114	до сих	3	2
115	еще не	5	2
116	только как	3	2
117	и может	4	2
118	по сравнению	3	2
119	к ним	2	2
120	в него	5	2
121	всяком случае	3	2
122	как не	2	2
123	другими словами	2	2
124	в своей	2	2
125	и их	4	2
126	сих пор	3	2
127	для этого	2	2
128	с этим	2	2
129	все эти	5	2
130	если мы	2	2
131	можем сказать	2	2
132	и для	2	2
133	между собою	2	2
134	с ними	4	2
135	и так	2	2
136	но как	2	2
137	об его	2	2
138	и это	6	2
139	почти не	2	2
140	как с	2	2
