N	2gram	Medvedev_F_1	EvropaiC
1	таким образом	13	32
2	в том	6	31
3	и в	24	24
4	все эти	6	19
5	не может	16	18
6	то что	8	17
7	может быть	14	15
8	все же	3	15
9	точки зрения	16	13
10	в своем	11	12
11	до сих	6	12
12	сих пор	6	12
13	самом деле	6	12
14	в этом	15	12
15	все это	9	11
16	между тем	2	11
17	с этим	2	11
18	отношению к	4	10
19	как бы	6	10
20	по отношению	4	10
21	во всех	5	10
22	так и	18	10
23	культуры и	3	10
24	при этом	5	9
25	в результате	2	9
26	как и	11	9
27	что в	4	9
28	не в	8	8
29	в самом	5	8
30	так же	4	8
31	если бы	4	8
32	и все	6	8
33	ясно что	3	8
34	с точки	13	8
35	не менее	11	7
36	для этого	4	7
37	к тому	3	7
38	но и	7	7
39	и не	20	7
40	и что	2	7
41	что он	3	7
42	по существу	2	7
43	или менее	6	7
44	на самом	7	7
45	более или	6	7
46	должна быть	7	6
47	с другой	5	6
48	в этой	6	6
49	в общем	3	6
50	друг от	2	6
51	от друга	2	6
52	отличается от	3	6
53	того что	5	6
54	как на	4	6
55	и на	8	6
56	с ним	2	6
57	еще не	6	6
58	что и	2	6
59	в мире	4	6
60	у них	3	6
61	только в	2	6
62	вместе с	2	6
63	именно в	8	5
64	и от	7	5
65	на все	3	5
66	в целом	6	5
67	и их	10	5
68	как к	3	5
69	и с	8	5
70	его в	3	5
71	но в	5	5
72	ничем не	3	5
73	и к	4	5
74	в то	9	5
75	и если	2	5
76	в его	23	5
77	не только	7	5
78	быть и	4	5
79	но все	2	5
80	лишь в	8	5
81	в себе	3	5
82	и истории	5	5
83	в которой	4	5
84	никогда не	4	4
85	отношение к	3	4
86	в их	11	4
87	не так	2	4
88	должно быть	11	4
89	всех этих	3	4
90	связи с	3	4
91	социальной жизни	11	4
92	он не	3	4
93	не есть	2	4
94	то же	10	4
95	если мы	2	4
96	хотя бы	5	4
97	в области	3	4
98	а лишь	2	3
99	же как	2	3
100	с одной	4	3
101	в нашем	2	3
102	целом ряде	2	3
103	вопрос о	2	3
104	в настоящее	10	3
105	в нем	14	3
106	от того	2	3
107	целый ряд	3	3
108	то ни	3	3
109	и других	3	3
110	и наконец	3	3
111	а в	6	3
112	это не	2	3
113	в истории	4	3
114	настоящее время	10	3
115	и потому	9	3
116	бы в	3	3
117	с тем	2	3
118	прежде всего	22	3
119	в жизни	3	3
120	таким же	2	3
121	у нас	5	3
122	во всем	2	3
123	и может	4	3
124	конечно не	4	3
125	на почве	13	3
126	жизнь и	3	3
127	должны быть	5	3
128	ко всем	2	3
129	или иначе	2	3
130	в связи	4	3
131	и это	2	3
132	свою очередь	6	2
133	независимо от	4	2
134	в частности	4	2
135	с этой	4	2
136	как мы	5	2
137	сводится к	3	2
138	все в	2	2
139	для него	3	2
140	же время	8	2
141	в свою	8	2
142	одной стороны	4	2
143	том чтобы	2	2
144	но для	3	2
145	в ней	10	2
146	своем целом	2	2
147	всяком случае	4	2
148	с ее	7	2
149	мы видели	2	2
150	бы то	3	2
151	и до	5	2
152	культуры с	2	2
153	в самой	2	2
154	они не	3	2
155	ни было	2	2
156	для этой	2	2
157	и те	2	2
158	не было	3	2
159	на нее	2	2
160	во всяком	4	2
161	в основе	3	2
162	и более	2	2
163	только не	2	2
164	отнюдь не	6	2
165	при таком	4	2
166	от нее	2	2
167	в них	3	2
168	он должен	3	2
169	должен быть	5	2
170	если он	3	2
171	вовсе не	10	2
172	одна из	2	2
173	но не	3	2
174	тех же	2	2
175	она не	6	2
176	было бы	6	2
177	жизни и	7	2
178	не от	2	2
179	и развитие	2	2
180	входящих в	2	2
181	и особенно	2	2
182	в процессе	9	2
183	на него	2	2
184	тем самым	3	2
185	между ними	3	2
186	из этой	2	2
187	и ее	10	2
188	этого слова	3	2
189	если же	2	2
190	в эту	2	2
