N	2gram	Tiupa_Vved_1	Marksizm
1	может быть	18	28
2	и в	13	19
3	как бы	4	19
4	и не	12	19
5	не может	7	18
6	то же	5	16
7	и его	5	16
8	как мы	3	15
9	в этом	21	15
10	таким образом	4	14
11	лишь в	2	14
12	так сказать	2	14
13	чужого слова	3	13
14	не только	20	13
15	в нем	5	11
16	если бы	7	11
17	не в	6	10
18	в пределах	2	10
19	но и	19	10
20	том что	7	10
21	так и	8	10
22	и т.п	9	10
23	для него	3	9
24	при этом	26	9
25	в основе	3	9
26	как и	11	9
27	самом деле	3	9
28	а не	15	9
29	слова в	2	8
30	отнюдь не	7	8
31	же время	3	8
32	не является	3	8
33	по отношению	7	8
34	в то	4	8
35	отношению к	7	8
36	только в	6	8
37	никогда не	4	7
38	высказывания как	3	7
39	в том	10	7
40	но в	6	7
41	и более	3	7
42	прежде всего	7	7
43	одна из	4	7
44	на самом	4	7
45	и для	3	7
46	язык как	2	6
47	к тому	6	6
48	в свою	4	6
49	в самом	2	6
50	в направлении	2	6
51	и все	4	6
52	во всех	2	6
53	быть и	2	6
54	мы можем	2	6
55	свою очередь	4	5
56	или иной	3	5
57	и на	3	5
58	к этому	2	5
59	и того	2	5
60	в его	4	5
61	все же	6	5
62	в той	4	5
63	в данном	13	5
64	должна быть	2	4
65	это не	6	4
66	той или	3	4
67	то что	6	4
68	и тем	2	4
69	мы видели	2	4
70	того что	6	4
71	бы в	3	4
72	как раз	2	4
73	было бы	4	4
74	в данной	2	4
75	в слове	3	4
76	в себе	5	4
77	и т.д	5	4
78	не существует	2	3
79	перед нами	6	3
80	в этих	3	3
81	в какой	4	3
82	с другой	5	3
83	и от	2	3
84	высшей степени	2	3
85	одной стороны	5	3
86	в ней	4	3
87	в котором	8	3
88	а в	6	3
89	с одной	5	3
90	не имеет	2	3
91	не было	2	3
92	о том	5	3
93	в высшей	2	3
94	не как	2	3
95	по себе	2	3
96	в качестве	8	3
97	связано с	3	3
98	еще не	7	3
99	не к	4	3
100	он не	3	3
101	что и	2	3
102	в своей	5	3
103	в отличие	2	3
104	могут быть	4	3
105	отличие от	2	3
106	место в	2	2
107	что в	3	2
108	в нашем	6	2
109	в одной	2	2
110	тому же	4	2
111	более или	2	2
112	как о	2	2
113	до конца	3	2
114	о чем	2	2
115	одним из	5	2
116	жизни и	7	2
117	в своем	5	2
118	не следует	3	2
119	установкой на	2	2
120	и с	2	2
121	он и	2	2
122	к его	3	2
123	в начале	3	2
124	то есть	8	2
125	но они	2	2
126	однако и	2	2
127	и чужого	2	2
128	в жизни	4	2
129	не с	3	2
130	но не	5	2
131	ли это	2	2
132	или менее	2	2
133	приводит к	2	2
134	бы не	2	2
135	а с	2	2
136	сводится к	4	2
137	в речи	2	2
138	мы не	4	2
139	без исключения	2	2
140	свидетельствует о	4	2
141	тем что	2	2
142	границы между	2	2
143	далеко не	4	2
144	бытия в	2	2
