N	2gram	Tiupa_Vved_1	EvropaiC
1	таким образом	4	32
2	в том	10	31
3	и в	13	24
4	том что	7	20
5	не может	7	18
6	то что	6	17
7	может быть	18	15
8	все же	6	15
9	в своем	5	12
10	самом деле	3	12
11	в этом	21	12
12	отношению к	7	10
13	как бы	4	10
14	по отношению	7	10
15	все что	3	10
16	во всех	2	10
17	так и	8	10
18	при этом	26	9
19	в результате	3	9
20	как и	11	9
21	что в	3	9
22	не в	6	8
23	в самом	2	8
24	если бы	7	8
25	и все	4	8
26	не менее	4	7
27	к тому	6	7
28	но и	19	7
29	и не	12	7
30	из этих	3	7
31	по своей	3	7
32	о котором	2	7
33	о том	5	7
34	в силу	2	7
35	или менее	2	7
36	на самом	4	7
37	более или	2	7
38	должна быть	2	6
39	все они	2	6
40	с другой	5	6
41	того что	6	6
42	и на	3	6
43	что касается	5	6
44	с ним	3	6
45	в сознании	4	6
46	начало и	2	6
47	еще не	7	6
48	что и	2	6
49	тогда как	10	6
50	в мире	8	6
51	мы можем	2	6
52	только в	6	6
53	и от	2	5
54	тому же	4	5
55	в целом	3	5
56	другой стороны	2	5
57	и с	2	5
58	потому что	5	5
59	но в	6	5
60	к этому	2	5
61	и к	2	5
62	в то	4	5
63	по своему	2	5
64	в его	4	5
65	не только	20	5
66	быть и	2	5
67	и для	3	5
68	между двумя	3	5
69	лишь в	2	5
70	в себе	5	5
71	как будто	4	5
72	далеко не	4	5
73	никогда не	4	4
74	тем не	3	4
75	одним из	5	4
76	хотя и	7	4
77	отношение к	2	4
78	между собой	2	4
79	иначе говоря	6	4
80	он не	3	4
81	то же	5	4
82	а с	2	4
83	и конец	2	4
84	и т.д	5	4
85	в области	3	4
86	а лишь	2	3
87	с одной	5	3
88	в нашем	6	3
89	в этих	3	3
90	для нас	2	3
91	не вполне	3	3
92	в нем	5	3
93	данном случае	6	3
94	целый ряд	2	3
95	и наконец	2	3
96	и по	3	3
97	а в	6	3
98	это не	6	3
99	в начале	3	3
100	что мы	2	3
101	бы в	3	3
102	прежде всего	7	3
103	в жизни	4	3
104	и того	2	3
105	как для	2	3
106	может служить	4	3
107	или иначе	2	3
108	в данном	13	3
109	отличие от	2	3
110	свою очередь	4	2
111	но на	2	2
112	в частности	13	2
113	двух или	3	2
114	о них	3	2
115	вследствие этого	3	2
116	что на	2	2
117	как мы	3	2
118	сводится к	4	2
119	при отсутствии	2	2
120	для него	3	2
121	мы и	2	2
122	или нескольких	2	2
123	же время	3	2
124	в свою	4	2
125	одной стороны	5	2
126	том чтобы	2	2
127	к ним	2	2
128	в ней	4	2
129	в котором	8	2
130	мы видели	2	2
131	то и	2	2
132	имеет место	4	2
133	те же	2	2
134	во втором	2	2
135	не следует	3	2
136	говорить о	2	2
137	не было	2	2
138	также и	4	2
139	то есть	8	2
140	в основе	3	2
141	и более	3	2
142	отнюдь не	7	2
143	в них	2	2
144	представить себе	2	2
145	а к	3	2
146	одна из	4	2
147	но не	5	2
148	было бы	4	2
149	жизни и	7	2
150	нашем случае	2	2
151	на него	2	2
152	что же	3	2
153	о которой	2	2
154	тем самым	5	2
155	есть в	2	2
